logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.3354e-01,-1.0151e+00,2.2427e+00,1.3357e+00,1.9757e+00,3.9694e+00,5.6738e+00,-1.0199e+02
-2.1626e-01,-1.0427e+00,2.1771e+00,1.0663e+00,3.7096e+00,4.0538e+00,5.6258e+00,-9.8785e+01
8.2754e-03,-1.3871e+00,2.2614e+00,2.4240e+00,1.3959e+00,3.0327e+00,5.7116e+00,-1.0146e+02
-1.4912e-02,-1.3587e+00,2.2561e+00,2.4542e+00,1.3254e+00,3.9043e+00,5.7027e+00,-1.0184e+02
-2.1292e-01,-1.0554e+00,2.2531e+00,1.6091e+00,3.3153e+00,2.7686e+00,5.6659e+00,-1.0183e+02
-2.0924e-02,-1.3302e+00,2.2490e+00,1.8230e+00,3.6602e+00,3.0413e+00,5.7015e+00,-1.0218e+02
-7.2932e-03,-1.3945e+00,2.2424e+00,1.9423e+00,2.5100e+00,3.2969e+00,5.7126e+00,-1.0219e+02
-2.1278e-01,-1.0265e+00,2.2416e+00,1.9042e+00,2.4352e+00,4.1050e+00,5.6576e+00,-1.0210e+02
-3.9684e-02,-1.3912e+00,2.2604e+00,7.7223e-01,2.6491e+00,2.7534e+00,5.7134e+00,-1.0200e+02
-2.9280e-01,-1.0448e+00,2.1932e+00,1.1634e+00,2.0555e+00,3.2611e+00,5.6793e+00,-1.0193e+02
-1.5390e-02,-1.4257e+00,2.2634e+00,1.8245e+00,1.6311e+00,3.1695e+00,5.7077e+00,-1.0211e+02
-7.4510e-02,-1.2527e+00,2.2101e+00,7.6215e-01,3.5173e+00,3.6257e+00,5.6850e+00,-1.0199e+02
-1.3618e-01,-1.1641e+00,2.2426e+00,1.7836e+00,3.4956e+00,3.2734e+00,5.6781e+00,-9.9421e+01
-1.9924e-01,-1.0409e+00,2.2042e+00,2.3208e+00,1.3282e+00,4.2967e+00,5.6646e+00,-1.0220e+02
-1.2593e-01,-1.1809e+00,2.2400e+00,1.2859e+00,2.4714e+00,3.4066e+00,5.6942e+00,-1.0135e+02
3.3011e-02,-1.2826e+00,2.2451e+00,2.3031e+00,3.0569e+00,4.4600e+00,5.6739e+00,-1.0200e+02
-3.0966e-01,-1.0181e+00,2.1293e+00,7.7400e-01,3.9362e+00,3.7594e+00,5.6044e+00,-9.8797e+01
