logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.7947e-01,-1.4455e+00,-2.0104e-01,2.1467e+00,1.5546e+00,1.9041e+00,3.6479e+00,2.8941e+01,-5.6831e+02
8.8139e-02,-1.0950e+00,1.7273e-01,2.0357e+00,9.1464e-01,3.1710e+00,3.3538e+00,2.8911e+01,-8.0158e+02
1.4150e-01,-1.3265e+00,-2.2068e-01,2.0994e+00,2.2578e+00,2.4017e+00,3.5480e+00,2.8925e+01,-7.5318e+02
2.0487e-01,-1.5501e+00,-5.4694e-01,2.1249e+00,1.0691e+00,3.0210e+00,3.5630e+00,2.9038e+01,-5.8151e+02
1.9850e-01,-1.4809e+00,-6.6386e-01,2.0224e+00,1.1629e+00,2.9625e+00,3.4030e+00,2.8719e+01,-6.9970e+02
-6.0798e-02,-1.5492e+00,-1.6703e-01,2.3121e+00,1.3310e+00,1.7882e+00,3.8601e+00,2.9567e+01,-5.6279e+02
8.9098e-02,-1.8295e+00,-8.9479e-01,2.0291e+00,2.5888e+00,1.9129e+00,3.5689e+00,2.9076e+01,-7.8482e+02
-1.1275e-01,-1.9734e+00,-6.6937e-01,2.1721e+00,1.8082e+00,2.6628e+00,3.7615e+00,2.9450e+01,-7.9294e+02
1.4302e-01,-1.9220e+00,2.6593e-01,1.9723e+00,2.5092e+00,1.8584e+00,3.5768e+00,2.8975e+01,-6.3045e+02
1.9550e-01,-1.0229e+00,-7.3659e-01,2.1797e+00,2.7462e+00,2.3571e+00,3.6003e+00,2.9191e+01,-5.3792e+02
9.6883e-02,-1.3807e+00,3.6501e-01,2.2446e+00,1.1283e+00,3.6018e+00,3.1722e+00,2.9552e+01,-7.3920e+02
-2.5290e-01,-1.3516e+00,8.7820e-01,2.1902e+00,1.0794e+00,1.8000e+00,3.8616e+00,2.9644e+01,-8.1090e+02
5.6574e-02,-1.7701e+00,5.8384e-01,1.9910e+00,1.6962e+00,3.3928e+00,3.3661e+00,2.9296e+01,-7.7278e+02
-1.9271e-01,-1.2849e+00,8.8197e-01,2.1308e+00,4.1184e-01,2.8945e+00,3.7793e+00,2.9554e+01,-6.2276e+02
2.8767e-03,-1.9726e+00,-2.1850e-01,2.1777e+00,1.2435e+00,2.8200e+00,3.7371e+00,2.9377e+01,-5.4022e+02
-1.3873e-01,-1.4679e+00,-7.2861e-01,2.1951e+00,1.5714e+00,2.5790e+00,3.7453e+00,2.9413e+01,-6.5845e+02
-8.2626e-02,-1.6130e+00,-1.1330e+00,2.1560e+00,5.0077e-01,3.2899e+00,3.5139e+00,2.9392e+01,-8.0433e+02
-1.0069e-01,-1.0444e+00,4.2084e-01,2.1844e+00,7.0327e-01,3.2658e+00,3.5334e+00,2.9370e+01,-5.7098e+02
1.9589e-01,-1.6936e+00,-4.5376e-01,2.1238e+00,1.6528e+00,1.6584e+00,3.6275e+00,2.8872e+01,-6.7318e+02
