logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
6.7665e-02,-1.9428e+00,3.0878e-01,2.3104e+00,2.0521e+00,3.4605e+00,2.0135e+00,2.9477e+01,-1.6786e+03
-4.3708e-01,-1.6641e+00,1.5432e+00,2.1581e+00,1.9613e+00,3.6363e+00,3.4614e+00,3.0265e+01,-1.0220e+03
4.3018e-01,-1.6087e+00,2.1125e+00,2.4281e+00,3.7795e+00,2.6522e+00,3.6176e+00,3.1221e+01,-1.6610e+03
-2.1260e-01,-1.7269e+00,1.4750e+00,2.7293e-01,2.6544e+00,2.2000e+00,3.4564e+00,2.9301e+01,-1.7586e+03
-5.0152e-01,-1.8892e+00,1.6739e+00,1.6181e+00,1.0225e+00,3.6498e+00,3.3663e+00,3.0199e+01,-1.3069e+03
1.8054e-01,-1.1546e+00,1.5171e+00,2.2650e+00,2.8017e+00,1.8930e+00,3.7471e+00,2.9815e+01,-1.0416e+03
-2.2012e-01,-1.1151e+00,1.9060e+00,1.1778e+00,3.3847e+00,3.3709e+00,2.8935e+00,3.0557e+01,-1.2469e+03
-5.7592e-01,-1.0081e+00,1.3646e+00,1.6576e+00,2.8331e+00,2.2509e+00,3.3799e+00,2.9442e+01,-1.9567e+03
2.3702e-02,-9.2264e-01,1.9408e+00,2.8073e+00,3.3746e+00,3.6481e+00,3.7728e+00,3.1065e+01,-1.4487e+03
-3.6366e-01,-1.5157e+00,1.7960e+00,5.2990e-01,3.2788e+00,3.7715e+00,2.9945e+00,3.0787e+01,-1.3115e+03
-3.3627e-01,-1.1943e+00,2.2241e+00,1.9088e+00,1.6745e+00,3.5889e+00,4.2038e+00,3.1079e+01,-1.4015e+03
-4.6545e-01,-1.7635e+00,1.7736e+00,1.9057e+00,3.0294e+00,3.8129e+00,3.4651e+00,3.0824e+01,-1.4136e+03
4.0729e-01,-1.0422e+00,1.9056e+00,2.5383e+00,3.3829e+00,2.1786e+00,3.9690e+00,3.0708e+01,-1.3282e+03
-5.2580e-01,-5.4380e-01,2.5284e+00,2.4474e+00,2.7690e+00,4.3957e+00,2.5430e+00,3.1760e+01,-1.8830e+03
-3.8411e-02,-1.2464e+00,1.8150e+00,4.6353e-01,2.1708e+00,2.3522e+00,3.8056e+00,2.9738e+01,-1.7684e+03
4.2661e-02,-1.6348e+00,6.1010e-01,1.8868e+00,2.0370e+00,3.1820e+00,2.3888e+00,2.8786e+01,-1.8205e+03
3.1925e-01,-1.4585e+00,1.6932e+00,3.9393e-01,3.2268e+00,3.0670e+00,2.6997e+00,2.9818e+01,-1.3329e+03
-4.1105e-01,-1.4417e+00,1.8270e+00,2.1383e+00,3.6169e+00,1.6981e+00,3.6350e+00,3.1029e+01,-1.8229e+03
-4.6460e-01,-1.8260e+00,1.8775e+00,1.9611e+00,2.0478e+00,3.6639e+00,3.9676e+00,3.0773e+01,-1.5557e+03
-6.9162e-01,-1.8943e+00,1.4634e+00,9.4254e-01,6.4257e-01,3.3914e+00,3.1607e+00,2.9530e+01,-1.9522e+03
-3.5604e-01,-1.2454e+00,2.0712e+00,1.3505e-01,6.5765e-01,3.1599e+00,4.1368e+00,3.0665e+01,-1.4094e+03
-9.3799e-01,-1.2161e+00,1.6186e+00,5.9952e-01,2.2505e+00,3.4235e+00,3.5681e+00,3.0051e+01,-1.2262e+03
