logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.5320e-01,-1.2253e+00,1.6478e+00,2.1003e+00,2.4591e+00,3.5751e+00,2.5141e+00,-9.0578e+02
5.1685e-03,-1.3192e+00,1.4967e+00,1.8918e+00,3.1936e+00,2.3824e+00,3.0886e+00,-9.4320e+02
2.9852e-02,-1.0862e+00,1.5986e+00,2.1452e+00,1.6582e+00,3.5938e+00,2.6714e+00,-7.4064e+02
-4.2410e-01,-1.2851e+00,1.5146e+00,2.1495e+00,1.1580e+00,2.8108e+00,3.6803e+00,-8.3719e+02
-9.0402e-01,-1.1337e+00,1.4849e+00,1.8463e+00,6.9013e-01,2.9509e+00,3.6335e+00,-9.5856e+02
-1.1723e-01,-1.1833e+00,1.4685e+00,2.2469e+00,6.8776e-01,3.5108e+00,2.9739e+00,-9.1646e+02
1.8630e-01,-1.5814e+00,1.5450e+00,1.5263e+00,3.3248e+00,2.1654e+00,2.6042e+00,-9.1796e+02
1.2513e-01,-1.8592e+00,1.4786e+00,1.5898e+00,3.2174e+00,2.4134e+00,3.2345e+00,-9.9321e+02
9.3908e-02,-1.0720e+00,1.4175e+00,2.4902e+00,1.7585e+00,2.5964e+00,3.7924e+00,-9.9955e+02
-1.9885e-01,-1.0231e+00,1.4131e+00,2.3478e+00,1.3381e+00,3.4832e+00,2.9462e+00,-7.2051e+02
1.0781e-01,-1.9956e+00,1.5807e+00,1.4868e+00,3.1273e+00,3.0942e+00,3.0369e+00,-7.5777e+02
-1.2186e-01,-1.6176e+00,1.5155e+00,2.2418e+00,2.0321e+00,2.4254e+00,3.7255e+00,-5.9523e+02
-6.8218e-01,-1.8837e+00,1.4308e+00,1.9952e+00,1.0260e+00,2.7184e+00,3.6810e+00,-9.6606e+02
1.7449e-01,-1.4069e+00,1.5286e+00,2.1908e+00,2.4915e+00,3.4852e+00,3.1556e+00,-9.0057e+02
