logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.2706e-01,-5.0582e-01,2.2475e+00,3.8986e-01,1.3512e+00,1.9445e+00,4.3150e+00,2.9333e+01,-4.5405e+03
8.8629e-02,-6.0003e-01,2.2367e+00,1.0606e+00,7.7580e-01,1.7492e+00,4.3483e+00,2.9460e+01,-4.5439e+03
1.4560e-01,-5.4057e-01,2.2179e+00,9.3695e-01,1.9309e+00,2.0133e+00,4.3150e+00,2.9366e+01,-4.5110e+03
7.6687e-02,-5.0021e-01,2.2586e+00,3.0671e-01,1.3681e+00,3.0483e+00,4.3177e+00,2.9451e+01,-4.4783e+03
2.4675e-01,-5.0688e-01,2.1933e+00,8.7501e-01,1.3828e+00,2.5953e+00,4.2733e+00,2.9237e+01,-4.4962e+03
8.8224e-02,-5.4840e-01,2.2063e+00,-4.1098e-02,5.2778e-01,2.0442e+00,4.2886e+00,2.9296e+01,-4.5357e+03
4.2414e-02,-5.8880e-01,2.1825e+00,1.7054e+00,1.8206e+00,2.1662e+00,4.3027e+00,2.9382e+01,-4.5467e+03
1.5647e-01,-5.0989e-01,2.2185e+00,1.2279e+00,2.2022e+00,1.9238e+00,4.3076e+00,2.9358e+01,-4.5283e+03
1.8694e-02,-5.4055e-01,2.2635e+00,3.9700e-01,1.5888e+00,1.4625e+00,4.3616e+00,2.9506e+01,-4.5048e+03
1.1289e-01,-5.5905e-01,2.1220e+00,1.7706e+00,5.7880e-01,2.9362e+00,4.2163e+00,2.9200e+01,-4.5255e+03
8.9775e-02,-5.8493e-01,2.1792e+00,9.0236e-01,8.3555e-01,1.9141e+00,4.2819e+00,2.9286e+01,-4.5424e+03
4.4848e-02,-5.0459e-01,2.2061e+00,1.6547e+00,2.1844e+00,2.4147e+00,4.3047e+00,2.9391e+01,-4.5295e+03
1.4841e-01,-5.6993e-01,2.2096e+00,2.7963e-01,5.2464e-01,1.8634e+00,4.3117e+00,2.9337e+01,-4.5294e+03
-1.8012e-02,-5.1157e-01,2.1975e+00,3.8351e-01,8.0522e-01,1.6751e+00,4.2893e+00,2.9312e+01,-4.5335e+03
1.7630e-01,-5.0453e-01,2.2595e+00,1.3236e+00,9.0205e-01,1.7392e+00,4.3478e+00,2.9419e+01,-4.5431e+03
9.1622e-02,-5.0950e-01,2.1674e+00,1.3150e+00,5.3103e-01,2.5761e+00,4.2617e+00,2.9244e+01,-4.5413e+03
1.7589e-02,-5.6944e-01,2.2112e+00,7.4486e-01,2.0272e+00,2.1009e+00,4.2990e+00,2.9384e+01,-4.5507e+03
-3.9868e-02,-5.4263e-01,2.1695e+00,5.7776e-01,2.0126e+00,1.4744e+00,4.2661e+00,2.9309e+01,-4.5422e+03
8.4117e-02,-5.6242e-01,2.1902e+00,3.4924e-01,9.1352e-01,1.6533e+00,4.3154e+00,2.9361e+01,-4.5014e+03
1.8093e-01,-5.8706e-01,2.2084e+00,4.2911e-02,2.0564e+00,2.2191e+00,4.3132e+00,2.9367e+01,-4.5078e+03
2.1030e-01,-5.0476e-01,2.2428e+00,2.7147e-01,6.1048e-01,1.7532e+00,4.3440e+00,2.9378e+01,-4.5120e+03
7.3319e-02,-5.1569e-01,2.2065e+00,3.2879e-01,1.4476e+00,3.0544e+00,4.2654e+00,2.9333e+01,-4.5121e+03
7.2007e-02,-5.5022e-01,2.1292e+00,1.6325e+00,1.7619e+00,2.4102e+00,4.2438e+00,2.9227e+01,-4.4917e+03
-4.5028e-02,-5.9621e-01,2.1836e+00,2.8910e-01,6.6434e-01,1.6967e+00,4.2950e+00,2.9375e+01,-4.5337e+03
6.6397e-02,-5.4040e-01,2.2401e+00,9.8776e-01,8.8406e-01,2.5921e+00,4.3288e+00,2.9433e+01,-4.5161e+03
