logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-9.1409e-02,-5.0900e-01,2.5140e+00,1.7029e-01,1.0076e+00,2.7336e+00,3.9583e+00,2.9703e+01,-7.8611e+02
6.8225e-02,-5.3812e-01,2.2994e+00,9.9391e-01,2.1389e+00,2.6963e+00,3.6983e+00,2.9130e+01,-8.2133e+02
-3.4914e-01,-5.8869e-01,2.3719e+00,-2.1956e-02,2.0226e+00,2.8690e+00,3.7582e+00,2.9419e+01,-7.3385e+02
-4.8099e-01,-7.1984e-01,2.4315e+00,2.0002e+00,2.2353e+00,1.6864e+00,3.9712e+00,2.9812e+01,-7.9883e+02
-4.8587e-01,-5.7651e-01,2.3884e+00,-1.6929e-02,1.0999e+00,3.7481e+00,1.8626e+00,2.9624e+01,-7.8870e+02
-6.9659e-01,-7.1484e-01,2.1089e+00,5.0297e-01,2.1562e+00,2.8144e+00,3.5266e+00,2.8908e+01,-8.0544e+02
-6.2746e-01,-8.6399e-01,2.2029e+00,1.1946e+00,2.5034e+00,2.4262e+00,3.6798e+00,2.9262e+01,-7.9417e+02
-6.4344e-01,-6.7284e-01,1.9857e+00,7.6266e-01,1.5809e+00,3.2603e+00,2.6467e+00,2.8522e+01,-8.1042e+02
-5.0603e-01,-6.5852e-01,2.4543e+00,7.7303e-01,1.0416e+00,3.4316e+00,3.7024e+00,2.9718e+01,-8.1301e+02
-2.1554e-01,-5.7500e-01,2.3806e+00,4.5044e-01,1.5298e+00,1.7034e+00,3.8450e+00,2.9375e+01,-7.5014e+02
-3.0683e-01,-6.4562e-01,2.3505e+00,1.6729e+00,2.4680e+00,3.6282e+00,2.0513e+00,2.9541e+01,-8.2403e+02
-4.8293e-01,-7.9515e-01,2.2936e+00,6.8252e-01,8.2491e-01,3.2445e+00,3.6842e+00,2.9444e+01,-7.9535e+02
-7.3282e-01,-6.6475e-01,2.2203e+00,4.0332e-01,1.2821e+00,3.2669e+00,3.4719e+00,2.9147e+01,-7.6352e+02
-1.7753e-01,-6.5693e-01,2.2844e+00,5.0587e-01,6.7085e-01,3.1877e+00,3.5634e+00,2.9167e+01,-8.1113e+02
-3.2798e-01,-8.4071e-01,2.3058e+00,1.8829e+00,1.3595e+00,3.0339e+00,3.7958e+00,2.9551e+01,-7.9767e+02
-3.2290e-01,-5.2148e-01,2.4456e+00,1.6133e+00,1.4590e+00,3.0474e+00,3.8240e+00,2.9602e+01,-7.3737e+02
-1.8928e-01,-5.6742e-01,2.4048e+00,9.2370e-01,1.4250e+00,3.6858e+00,2.8670e+00,2.9518e+01,-8.0610e+02
