logfeh,logdust,logNpix,tau,dmod,logl
1.6970e-01,-1.8614e+00,3.5058e+00,2.5398e+00,2.4380e+01,-1.6383e+03
1.5984e-01,-1.7765e+00,3.5061e+00,2.5569e+00,2.4383e+01,-1.6461e+03
1.5976e-01,-1.7651e+00,3.5040e+00,2.5591e+00,2.4375e+01,-1.6445e+03
1.6717e-01,-1.8440e+00,3.5064e+00,2.5451e+00,2.4382e+01,-1.6468e+03
1.5757e-01,-1.7652e+00,3.5056e+00,2.5607e+00,2.4382e+01,-1.6273e+03
1.6758e-01,-1.8568e+00,3.5062e+00,2.5416e+00,2.4382e+01,-1.6420e+03
1.5776e-01,-1.7392e+00,3.5062e+00,2.5591e+00,2.4381e+01,-1.6460e+03
1.6630e-01,-1.8408e+00,3.5066e+00,2.5493e+00,2.4384e+01,-1.6357e+03
1.7006e-01,-1.8380e+00,3.5061e+00,2.5388e+00,2.4376e+01,-1.6434e+03
1.5448e-01,-1.7560e+00,3.5055e+00,2.5619e+00,2.4386e+01,-1.6420e+03
1.5574e-01,-1.7351e+00,3.5064e+00,2.5515e+00,2.4381e+01,-1.6428e+03
1.5526e-01,-1.7379e+00,3.5063e+00,2.5538e+00,2.4383e+01,-1.6460e+03
1.4601e-01,-1.7063e+00,3.5080e+00,2.5484e+00,2.4391e+01,-1.6324e+03
1.4664e-01,-1.7348e+00,3.5094e+00,2.5253e+00,2.4395e+01,-1.6453e+03
1.5379e-01,-1.7505e+00,3.5062e+00,2.5594e+00,2.4388e+01,-1.6390e+03
1.6713e-01,-1.8501e+00,3.5061e+00,2.5458e+00,2.4383e+01,-1.6351e+03
1.5720e-01,-1.7443e+00,3.5059e+00,2.5596e+00,2.4382e+01,-1.6421e+03
1.6949e-01,-1.8406e+00,3.5058e+00,2.5383e+00,2.4377e+01,-1.6355e+03
1.5985e-01,-1.7737e+00,3.5059e+00,2.5581e+00,2.4381e+01,-1.6427e+03
1.6715e-01,-1.8716e+00,3.5062e+00,2.5482e+00,2.4385e+01,-1.6415e+03
1.4933e-01,-1.7407e+00,3.5087e+00,2.5436e+00,2.4394e+01,-1.6436e+03
1.5042e-01,-1.7170e+00,3.5086e+00,2.5413e+00,2.4389e+01,-1.6377e+03
1.5088e-01,-1.7356e+00,3.5083e+00,2.5442e+00,2.4391e+01,-1.6176e+03
1.4944e-01,-1.7403e+00,3.5090e+00,2.5410e+00,2.4395e+01,-1.6312e+03
1.6926e-01,-1.8245e+00,3.5061e+00,2.5389e+00,2.4376e+01,-1.6379e+03
1.4183e-01,-1.7037e+00,3.5101e+00,2.5438e+00,2.4400e+01,-1.6471e+03
1.6780e-01,-1.8618e+00,3.5060e+00,2.5503e+00,2.4385e+01,-1.6444e+03
1.6720e-01,-1.8739e+00,3.5061e+00,2.5464e+00,2.4387e+01,-1.6329e+03
1.5101e-01,-1.7376e+00,3.5070e+00,2.5579e+00,2.4388e+01,-1.6460e+03
1.5786e-01,-1.7534e+00,3.5053e+00,2.5544e+00,2.4381e+01,-1.6323e+03
1.5936e-01,-1.7801e+00,3.5059e+00,2.5542e+00,2.4383e+01,-1.6385e+03
1.5927e-01,-1.7708e+00,3.5059e+00,2.5579e+00,2.4383e+01,-1.6349e+03
1.6701e-01,-1.8276e+00,3.5061e+00,2.5467e+00,2.4381e+01,-1.6401e+03
1.5804e-01,-1.7575e+00,3.5064e+00,2.5574e+00,2.4382e+01,-1.6372e+03
1.4757e-01,-1.7089e+00,3.5073e+00,2.5495e+00,2.4390e+01,-1.6426e+03
1.5443e-01,-1.7396e+00,3.5064e+00,2.5549e+00,2.4385e+01,-1.6430e+03
1.5798e-01,-1.7464e+00,3.5055e+00,2.5614e+00,2.4380e+01,-1.6430e+03
1.5756e-01,-1.7569e+00,3.5055e+00,2.5594e+00,2.4381e+01,-1.6219e+03
1.5468e-01,-1.7393e+00,3.5056e+00,2.5582e+00,2.4381e+01,-1.6438e+03
1.5807e-01,-1.7357e+00,3.5036e+00,2.5594e+00,2.4374e+01,-1.6234e+03
1.5441e-01,-1.7383e+00,3.5060e+00,2.5605e+00,2.4384e+01,-1.6373e+03
1.4705e-01,-1.7281e+00,3.5078e+00,2.5510e+00,2.4394e+01,-1.6367e+03
1.5773e-01,-1.7552e+00,3.5056e+00,2.5594e+00,2.4380e+01,-1.6223e+03
1.6696e-01,-1.8252e+00,3.5063e+00,2.5488e+00,2.4381e+01,-1.6304e+03
1.6676e-01,-1.8537e+00,3.5064e+00,2.5462e+00,2.4384e+01,-1.6250e+03
1.6786e-01,-1.8267e+00,3.5059e+00,2.5421e+00,2.4377e+01,-1.6446e+03
1.5861e-01,-1.7506e+00,3.5050e+00,2.5592e+00,2.4377e+01,-1.6469e+03
1.4584e-01,-1.7133e+00,3.5083e+00,2.5453e+00,2.4393e+01,-1.6390e+03
1.6263e-01,-1.7996e+00,3.5049e+00,2.5560e+00,2.4379e+01,-1.6469e+03
1.5320e-01,-1.7387e+00,3.5062e+00,2.5606e+00,2.4386e+01,-1.6382e+03
1.4839e-01,-1.7225e+00,3.5070e+00,2.5503e+00,2.4389e+01,-1.6439e+03
1.7068e-01,-1.8406e+00,3.5060e+00,2.5370e+00,2.4376e+01,-1.6440e+03
1.4615e-01,-1.7038e+00,3.5078e+00,2.5475e+00,2.4392e+01,-1.6439e+03
1.4483e-01,-1.7099e+00,3.5084e+00,2.5458e+00,2.4394e+01,-1.6466e+03
1.5658e-01,-1.7741e+00,3.5072e+00,2.5557e+00,2.4390e+01,-1.6281e+03
1.6631e-01,-1.8520e+00,3.5065e+00,2.5461e+00,2.4385e+01,-1.6079e+03
1.6736e-01,-1.8236e+00,3.5060e+00,2.5405e+00,2.4377e+01,-1.6393e+03
1.5781e-01,-1.7427e+00,3.5051e+00,2.5568e+00,2.4378e+01,-1.6403e+03
1.6682e-01,-1.8449e+00,3.5062e+00,2.5476e+00,2.4383e+01,-1.6325e+03
1.4813e-01,-1.7395e+00,3.5094e+00,2.5413e+00,2.4398e+01,-1.6429e+03
1.5472e-01,-1.7442e+00,3.5060e+00,2.5587e+00,2.4385e+01,-1.6359e+03
1.5739e-01,-1.7618e+00,3.5061e+00,2.5583e+00,2.4384e+01,-1.6440e+03
1.6943e-01,-1.8392e+00,3.5056e+00,2.5406e+00,2.4377e+01,-1.6317e+03
1.6069e-01,-1.7909e+00,3.5055e+00,2.5548e+00,2.4381e+01,-1.6421e+03
1.6376e-01,-1.7987e+00,3.5047e+00,2.5562e+00,2.4377e+01,-1.6372e+03
1.4259e-01,-1.6994e+00,3.5098e+00,2.5418e+00,2.4399e+01,-1.6466e+03
1.5727e-01,-1.7560e+00,3.5058e+00,2.5603e+00,2.4381e+01,-1.6420e+03
1.5879e-01,-1.7436e+00,3.5054e+00,2.5593e+00,2.4378e+01,-1.6434e+03
1.5364e-01,-1.7534e+00,3.5060e+00,2.5602e+00,2.4387e+01,-1.6468e+03
1.6732e-01,-1.8307e+00,3.5060e+00,2.5391e+00,2.4379e+01,-1.6431e+03
1.5671e-01,-1.7695e+00,3.5056e+00,2.5587e+00,2.4384e+01,-1.6385e+03
1.5470e-01,-1.7511e+00,3.5064e+00,2.5603e+00,2.4387e+01,-1.6460e+03
1.6761e-01,-1.8279e+00,3.5061e+00,2.5464e+00,2.4382e+01,-1.6463e+03
1.5619e-01,-1.7765e+00,3.5071e+00,2.5554e+00,2.4390e+01,-1.6465e+03
1.5456e-01,-1.7514e+00,3.5058e+00,2.5596e+00,2.4385e+01,-1.6210e+03
1.5845e-01,-1.7727e+00,3.5058e+00,2.5601e+00,2.4384e+01,-1.6399e+03
1.5739e-01,-1.7719e+00,3.5054e+00,2.5600e+00,2.4383e+01,-1.6315e+03
1.6667e-01,-1.8474e+00,3.5065e+00,2.5449e+00,2.4385e+01,-1.6374e+03
1.5484e-01,-1.7579e+00,3.5063e+00,2.5589e+00,2.4387e+01,-1.6433e+03
1.6142e-01,-1.7751e+00,3.5056e+00,2.5576e+00,2.4380e+01,-1.6366e+03
1.6878e-01,-1.8410e+00,3.5060e+00,2.5399e+00,2.4378e+01,-1.6441e+03
1.5765e-01,-1.7654e+00,3.5052e+00,2.5567e+00,2.4381e+01,-1.6398e+03
1.5800e-01,-1.7422e+00,3.5052e+00,2.5589e+00,2.4378e+01,-1.6306e+03
1.5761e-01,-1.7809e+00,3.5062e+00,2.5577e+00,2.4385e+01,-1.6435e+03
1.5937e-01,-1.7692e+00,3.5040e+00,2.5590e+00,2.4375e+01,-1.6468e+03
1.6770e-01,-1.8300e+00,3.5056e+00,2.5401e+00,2.4378e+01,-1.6460e+03
1.5053e-01,-1.7328e+00,3.5078e+00,2.5508e+00,2.4391e+01,-1.6469e+03
1.5775e-01,-1.7502e+00,3.5052e+00,2.5606e+00,2.4377e+01,-1.6390e+03
1.5841e-01,-1.7542e+00,3.5054e+00,2.5590e+00,2.4380e+01,-1.6388e+03
1.5338e-01,-1.7592e+00,3.5059e+00,2.5596e+00,2.4387e+01,-1.6356e+03
1.5699e-01,-1.7605e+00,3.5056e+00,2.5560e+00,2.4381e+01,-1.6428e+03
1.5900e-01,-1.7818e+00,3.5057e+00,2.5589e+00,2.4384e+01,-1.6362e+03
1.6521e-01,-1.8224e+00,3.5067e+00,2.5476e+00,2.4384e+01,-1.6453e+03
1.5869e-01,-1.7425e+00,3.5058e+00,2.5597e+00,2.4378e+01,-1.6400e+03
1.6824e-01,-1.8170e+00,3.5060e+00,2.5385e+00,2.4376e+01,-1.6416e+03
1.4597e-01,-1.7021e+00,3.5076e+00,2.5480e+00,2.4389e+01,-1.6467e+03
1.4673e-01,-1.7246e+00,3.5079e+00,2.5482e+00,2.4396e+01,-1.6427e+03
1.6149e-01,-1.7908e+00,3.5055e+00,2.5545e+00,2.4381e+01,-1.6460e+03
1.5308e-01,-1.7333e+00,3.5060e+00,2.5609e+00,2.4385e+01,-1.6426e+03
1.6665e-01,-1.8317e+00,3.5062e+00,2.5406e+00,2.4380e+01,-1.6389e+03
1.6673e-01,-1.8531e+00,3.5062e+00,2.5454e+00,2.4383e+01,-1.6442e+03
1.6715e-01,-1.8433e+00,3.5059e+00,2.5385e+00,2.4379e+01,-1.6449e+03
1.4066e-01,-1.6825e+00,3.5094e+00,2.5457e+00,2.4398e+01,-1.6363e+03
1.4648e-01,-1.7258e+00,3.5078e+00,2.5494e+00,2.4395e+01,-1.6414e+03
1.5819e-01,-1.7500e+00,3.5058e+00,2.5609e+00,2.4380e+01,-1.6442e+03
1.5746e-01,-1.7521e+00,3.5060e+00,2.5574e+00,2.4384e+01,-1.6437e+03
1.5108e-01,-1.7362e+00,3.5083e+00,2.5438e+00,2.4390e+01,-1.6409e+03
1.4681e-01,-1.7054e+00,3.5075e+00,2.5478e+00,2.4391e+01,-1.6463e+03
1.4817e-01,-1.7384e+00,3.5093e+00,2.5414e+00,2.4397e+01,-1.6409e+03
1.5902e-01,-1.7695e+00,3.5052e+00,2.5620e+00,2.4380e+01,-1.6421e+03
