logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.4601e-01,-1.1067e+00,7.1668e-01,2.1107e+00,2.1340e+00,2.4346e+00,3.9595e+00,3.0038e+01,-1.4878e+03
-8.2316e-02,-1.3414e+00,4.4863e-01,2.3699e+00,1.3990e+00,3.1799e+00,3.8005e+00,2.9801e+01,-1.3541e+03
1.1612e-01,-1.7706e+00,8.3912e-01,2.1644e+00,1.1297e+00,3.6908e+00,3.1916e+00,2.9723e+01,-1.4452e+03
-3.1510e-01,-1.1307e+00,1.3880e+00,8.9953e-01,2.1067e+00,3.6315e+00,3.1872e+00,2.9772e+01,-1.5387e+03
-1.4513e-01,-1.5316e+00,3.7333e-01,2.4590e+00,1.7088e+00,1.7345e+00,4.0381e+00,3.0051e+01,-1.1120e+03
-7.3261e-01,-1.4702e+00,1.4012e+00,1.1586e+00,8.5011e-01,2.3786e+00,4.1273e+00,3.0385e+01,-1.4147e+03
1.1312e-01,-1.1412e+00,-1.5484e-02,1.9750e+00,1.3973e+00,3.3343e+00,2.7300e+00,2.8755e+01,-8.8351e+02
1.1888e-01,-1.1261e+00,-4.8677e-01,2.0302e+00,1.6613e+00,3.0927e+00,3.2638e+00,2.8754e+01,-7.3687e+02
-8.2021e-01,-1.0770e+00,1.0648e+00,1.1524e+00,2.3915e+00,2.5413e+00,3.8757e+00,2.9883e+01,-1.6484e+03
5.7375e-02,-1.2655e+00,-2.6338e-02,1.9225e+00,1.0521e+00,3.4215e+00,2.7828e+00,2.8952e+01,-1.1372e+03
-5.5606e-01,-1.3836e+00,1.5922e+00,1.8244e+00,2.3538e+00,2.3312e+00,4.1746e+00,3.0541e+01,-1.3513e+03
-1.9500e-01,-1.4526e+00,6.3546e-01,1.7930e+00,1.1684e+00,3.3663e+00,3.0900e+00,2.9118e+01,-1.2909e+03
-5.6884e-01,-1.1599e+00,3.2216e-01,2.0658e+00,1.5431e+00,2.5590e+00,3.7977e+00,2.9621e+01,-1.1548e+03
1.6781e-01,-1.6461e+00,-8.8548e-02,1.6452e+00,2.5468e+00,3.2308e+00,2.5967e+00,2.8725e+01,-1.3833e+03
-6.8470e-01,-1.1267e+00,8.7511e-01,1.9863e+00,8.6152e-01,1.6530e+00,3.8296e+00,2.9653e+01,-1.1367e+03
