,NGC4993,NGC3377,M49,M87
4,1138.4907221307292,1854.573995861804,1808.2408705674538,1859.819653511302
5,1164.5722426977352,1797.3512301032943,1805.7323982026237,1845.1368817216728
6,1245.9605577212367,1826.7709220550666,1772.0049180243502,1854.2620738762616
7,1081.7777320211276,1811.7774027871665,1813.2202178891134,1867.1818171690873
8,1117.3870579456884,1839.368557499542,1802.4228992458952,1852.2552620783624
9,1129.781632836144,1771.7296173887846,1795.9983521219565,1833.9210212820599
10,1191.932521039744,1799.937199111249,1762.9403272576965,1845.6037052777604
11,1054.020428935577,1791.8614704024983,1804.1229494767504,1857.6497595730455
12,1089.2596310495758,1813.962789778965,1795.767375308868,1844.7177730619792
13,1077.658735033897,1732.8120018877194,1782.439094674354,1823.0688358631703
14,1123.4242328207065,1758.900434888703,1756.4050676667189,1838.9353981382105
15,1021.269054804673,1757.4799921785773,1791.2096841548425,1847.7220751508642
16,1066.4544079848974,1765.4729173370054,1780.7372373124,1836.0959952388052
17,1013.9871521492503,1693.2108504796238,1766.5154643515616,1812.0122006630975
18,1069.493436036386,1717.3831770868435,1741.7095251182127,1830.0408068693066
19,987.7501719911858,1723.044885671047,1769.6956456460914,1836.7336293124943
20,1023.4440413309285,1717.3913927237954,1764.380245577319,1827.2244905377113
21,955.8944868578402,1667.6823214498222,1748.3090194819124,1799.4433647323428
22,1020.1666748043812,1689.2744983484802,1724.1809216219863,1820.7052410169665
23,949.9485123293556,1695.405494549716,1750.4253447106944,1824.3893470924531
24,916.2553289847959,1685.8935535892108,1744.1975961270132,1817.9374404639595
25,909.3845701909562,1634.2954504495463,1728.4338187861354,1787.6164563379282
26,906.6449963469311,1659.2990481466818,1704.3653377732487,1811.2965411505265
27,901.1367255884315,1662.0649874349647,1734.4371099330979,1813.419478852614
28,893.1602069370381,1655.5014269790138,1723.7733232239048,1806.011943688456
29,857.4500618652122,1604.4266358519094,1709.0764896856829,1776.4948646028045
30,878.1687859550564,1628.3711977942758,1682.564217994967,1798.1149786585695
31,867.6311566739005,1633.3185934994644,1722.056729246184,1801.84263062726
32,849.1334007513699,1625.405877314278,1704.359441999895,1792.7226153794913
33,812.0290811549157,1572.6225731022173,1688.7220929126524,1763.0017195277578
34,836.0941317432615,1600.167280913391,1662.0911094004077,1784.086434407203
35,834.6701082430106,1605.378119461033,1706.3972447142976,1788.3090273233774
36,759.0142776160989,1585.0440554966758,1682.4367336113037,1780.3530137840742
37,751.5502417951083,1523.0345346137224,1664.8969837208267,1750.4572968225802
38,761.6751848864332,1562.3010289239198,1640.647975109746,1771.8628236383424
39,779.7074194100015,1552.4009950212135,1679.0826202598535,1776.0595732789604
40,743.1623504431192,1613.2210858033889,1660.3110260543276,1766.7795242297905
41,733.0370182562234,1494.4006325802131,1641.8290909439006,1737.012910214778
42,748.9107251768231,1556.6211844592797,1616.036367049596,1758.6115362074527
43,769.2599491445794,1540.3190299194914,1651.097383137053,1762.054317574805
44,715.4247570755743,1578.6431057377029,1636.059086044447,1752.5299756641816
45,696.1649182711046,1467.3472346521874,1619.6483480398756,1720.3792714333345
46,706.016576192462,1526.6276375705493,1592.2846978711696,1743.7087829693444
47,732.1598216728532,1511.9852890241848,1623.5755083417716,1745.3883050163845
48,691.1210547485156,1535.0387944865865,1612.740865968467,1738.0103956733221
49,663.1957072499939,1437.3031299411855,1596.7567134977849,1703.153659227276
50,673.6037759809346,1489.9392659751693,1570.165690452587,1728.4618031376588
51,697.1471101542387,1472.3736826714483,1595.2067096576754,1727.774920182649
52,660.3672565228173,1502.4981102128374,1589.2005837355125,1722.9615279009724
53,634.3566949469582,1400.7512406512308,1571.1374159796915,1686.4904710636574
54,643.2143991281254,1465.2181703275985,1546.6478841215473,1713.1152421731804
55,661.4397056265793,1434.6822387587008,1567.572471648866,1711.074701388864
56,625.651368501586,1465.9734640706556,1564.5268989501287,1706.790182671257
57,606.4421549938379,1375.0841420161844,1546.694914886889,1669.552122700385
58,598.7833383069069,1438.8755739777935,1522.3771105327994,1696.1534645651268
59,625.3011907693549,1407.6231293049075,1541.1286807220229,1693.7755258708025
60,584.4113457125137,1409.8552794140537,1537.9602132460502,1669.998442431164
61,573.474683479053,1373.070438377106,1520.1883469699424,1665.6507596006566
62,556.1416467022532,1384.2369672234372,1495.1194229851283,1659.6184016220345
63,582.5505772890842,1393.4735023002795,1514.8060517994395,1690.8607797050722
64,593.1210584146073,1398.953421905501,1523.0940278174544,1653.9431141305079
65,519.8877716778982,1306.9678482820798,1483.5931388428457,1646.9669922463365
66,546.4837017932141,1370.7750619784235,1477.1088463409046,1644.3309613690417
67,535.3369222862186,1337.5568330789945,1478.768159801529,1671.8389098095777
68,560.7267878508711,1371.352031244928,1480.6191986920026,1635.685049328347
69,487.8205443617054,1276.9401412869875,1474.235924210958,1627.8782627466267
70,512.2594230202714,1346.6989470694155,1433.449516994511,1624.4136001828917
71,500.4408700376703,1312.5244093520414,1468.9078880672346,1651.633169090014
72,475.35077828346607,1343.079509710731,1423.3477467912862,1618.4783374226988
73,481.3169224415929,1284.9944567629861,1469.0679842627383,1606.7975840470494
74,448.60224683393363,1320.1654705826077,1375.1539014169443,1606.0687592600277
75,482.2159417979808,1316.4330363972524,1460.662672429479,1631.2280258166768
76,481.17863334800495,1308.3330434486995,1386.2139243577046,1600.2032221129712
77,438.24465948250116,1260.8964499120243,1450.7379536887715,1584.9040482397704
78,455.78508559213077,1284.4289683859386,1334.976516381381,1587.6774175042071
79,439.27983001157844,1288.3020262758969,1439.7253233321496,1611.0464630193721
80,421.4874649661752,1278.7453992233352,1424.4010236274737,1581.564419453021
81,421.18363626691837,1230.880244286081,1362.2727727728925,1563.7236613494733
82,407.81442320213176,1253.898010385207,1380.246927461097,1567.8496472541187
83,409.2053119652039,1258.3650426843562,1357.5138770751316,1589.303617922602
84,401.86857246318186,1252.2415633217508,1391.0044890311515,1557.4785693132799
85,,1200.0835427208756,1334.6221761800773,1544.4870290136528
86,381.83354275248865,1231.8418522220484,1346.36187548017,1543.2719852912103
87,373.7703995077679,1231.8023919207062,1330.9497199750915,1570.2749047232396
88,388.02065352163174,1214.953145955527,1362.440366780587,1533.1522910985673
89,,1177.763931743211,1307.0802032433405,1522.0327554048188
90,369.9124575810257,1198.6428346012472,1315.3545213163632,1518.3283745823046
91,350.4412096030251,1202.5044162200645,1305.7402069896898,1546.4668634270993
92,353.56913879200545,1180.6425220290043,1332.9242203742929,1510.3889043419074
93,,1149.1492281099804,1275.6058985704506,1497.6512749579588
94,343.14432295692234,1166.7909439289433,1285.6105045064533,1492.943275911258
95,327.0498120735049,1168.2542939680966,1275.1472824458785,1521.9338391492963
96,336.33481267584824,1151.3219907697596,1288.1421968296352,1487.3416817099119
97,356.4470777218687,1117.4975707618714,1258.0595065404227,1470.9852190826034
98,322.1334477681785,1136.8101403051137,1239.5674986147887,1468.2761140760886
99,305.899493983513,1136.328752673687,1255.2749281936156,1495.6768339902271
100,323.6650065616062,1124.1249955622857,1253.6944024570241,1464.4142015455545
101,336.1365927427286,1089.8684209405844,1231.2206539951758,1445.51207811078
102,301.80883661546204,1111.3180599938803,1205.4287274085887,1443.6620596724647
103,284.63742780435496,1111.445422456822,1225.7731505528766,1470.060056631045
104,310.12677405557287,1092.6320306095554,1225.080584949509,1441.8864642896924
105,305.18336796665426,1063.2550102256337,1198.6874881547506,1419.196665235047
106,283.9421151357738,1077.7147793398342,1175.5046103891618,1418.1790567691799
107,284.4977785463853,1074.0259789290205,1191.769476327003,1442.9965527813708
108,277.20158751416596,1066.1119726864927,1195.7515628844749,1412.3847362369431
109,273.29279416826984,1035.630496241607,1164.28841430375,1395.140492657045
110,262.111632806384,1049.6696782976317,1148.9739592266503,1386.7352951932783
111,246.74209712518515,1044.6224781099727,1158.5754471920893,1418.1891023452697
112,243.98457617820324,1044.5928043354631,1166.4699693533512,1398.0320906818101
113,240.5255969653252,1019.3037858468247,1129.0194718320045,1352.05734526708
114,236.17239226849824,1027.651897909816,1120.9224558753995,1372.4901339426713
115,227.65146807026642,1033.207396437183,1126.1231507654031,1374.773973720705
116,227.3156017783907,1016.5520906252016,1142.1413902076654,1369.8824332581787
117,218.8350847297993,988.2003553834052,1096.396397712988,1325.549017015803
118,225.14823227520947,999.8005960619478,1097.435590974018,1342.91647846162
119,218.40973819245522,1003.1271028893808,1094.3637532562486,1349.1048230677047
120,217.39788875884733,985.0108353416895,1113.6354738067162,1338.1978440464795
121,210.07631155531126,958.0331196795698,1067.80774698226,1296.4812539948186
122,215.9295575135398,969.1525350563782,1068.1680494231427,1310.8873714807496
123,209.8599563615806,960.4988828234816,1064.7805948253388,1319.1206024666656
124,209.70629952935442,955.9250071212529,1078.5606259692547,1308.0825087304966
125,201.50950989840734,927.4324256203578,1043.3738808765274,1260.4309455507855
126,205.73642862494438,938.867101661192,1031.456948837366,1279.7826831690977
127,200.82715230877278,923.3954873237383,1039.720955272754,1281.2990414015476
128,200.2184928562342,935.8930117766818,1036.7432603389514,1276.2131796700146
129,190.91661653624982,905.6484315122278,1020.0875917065929,1233.4363912041092
130,193.53580417239644,918.4607086854911,990.0425556670262,1248.9743108603793
131,189.57208211753834,919.2743696082348,1017.3403786916573,1254.4617197346045
132,188.05410769044045,910.0370791907881,1019.7690394157669,1246.5716794214143
133,181.07313909468098,853.5664913443998,976.7273419795188,1203.0261402841393
134,177.85184823192404,886.7304215393467,972.0285038067979,1220.0411263611002
135,179.3085424888498,890.1274551730899,974.1329571784368,1223.1395752360222
136,175.23520755630298,885.078109491973,991.3212152548651,1211.0611668252554
137,166.3526854969421,844.3940235999247,943.9150335895039,1172.6396052541388
138,161.21379974837038,865.2388193511383,944.2723938705814,1186.0895934044536
139,163.1699387650238,869.2250332696309,944.4207699277927,1192.0676896681923
140,161.0563328026401,860.9473520001958,966.5893768939773,1176.4279686962818
141,150.56392938523547,820.570753705487,912.5586529198197,1146.8161335322775
142,141.96535729817086,838.7378851590868,919.6123207701746,1152.3138741689854
143,145.61291610282774,840.2228886996968,915.018891203756,1165.3675805788725
144,146.24017273754154,834.5790470519507,940.1277406326137,1136.3006341397506
145,132.32162922481118,802.832273380701,882.7686518290772,1121.8710670366204
146,121.58403318498702,814.1992286676493,892.3538294961438,1114.5538127733655
147,125.97724388130777,815.5442922419377,884.5277481566957,1138.6362377722721
