logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.7979e-01,-6.2545e-01,2.4914e+00,2.0988e+00,1.4034e+00,4.1267e+00,3.4176e+00,3.0533e+01,-3.8024e+02
1.0204e-01,-1.2784e+00,2.3568e+00,1.5331e+00,3.0640e+00,2.7732e+00,4.2001e+00,3.0441e+01,-3.9845e+02
1.8211e-01,-1.0010e+00,2.3998e+00,7.1361e-01,3.0657e+00,3.1330e+00,4.2198e+00,3.0460e+01,-3.9659e+02
1.7056e-01,-9.7755e-01,2.4489e+00,7.5785e-01,2.7207e+00,2.6470e+00,4.3161e+00,3.0491e+01,-3.9396e+02
1.2896e-01,-8.1062e-01,2.5467e+00,4.4804e-01,1.2069e+00,2.8044e+00,4.3913e+00,3.0643e+01,-3.9202e+02
2.4003e-01,-6.8913e-01,2.6231e+00,6.7827e-01,1.7601e+00,2.3753e+00,4.5095e+00,3.0783e+01,-3.8568e+02
1.0774e-01,-1.0570e+00,2.2148e+00,2.4365e+00,5.5729e-01,2.1888e+00,4.1779e+00,3.0142e+01,-3.9967e+02
1.7574e-01,-5.5185e-01,2.3967e+00,1.8869e+00,2.2025e+00,4.0211e+00,2.3408e+00,3.0182e+01,-3.8286e+02
1.9494e-01,-1.0604e+00,2.2188e+00,2.2479e+00,2.0069e+00,2.1412e+00,4.1548e+00,3.0044e+01,-3.8936e+02
1.6566e-01,-7.1423e-01,2.3666e+00,1.9016e+00,8.2864e-01,4.0123e+00,3.2663e+00,3.0256e+01,-3.9424e+02
2.4700e-01,-6.4447e-01,2.4540e+00,7.6236e-01,2.6989e+00,4.0267e+00,3.5481e+00,3.0372e+01,-3.8101e+02
1.1964e-01,-8.6393e-01,2.4390e+00,1.6268e+00,1.1302e+00,2.7172e+00,4.3091e+00,3.0428e+01,-3.9207e+02
1.2894e-01,-6.2771e-01,2.6518e+00,2.1658e+00,2.6009e+00,3.1767e+00,4.4418e+00,3.0871e+01,-3.9129e+02
1.8316e-01,-6.7344e-01,2.5297e+00,1.4660e+00,1.0680e+00,3.6999e+00,4.2281e+00,3.0547e+01,-3.7850e+02
1.4638e-01,-6.8159e-01,2.6254e+00,2.2539e+00,8.1131e-01,2.4055e+00,4.4718e+00,3.0825e+01,-3.9839e+02
1.7107e-01,-1.1982e+00,2.3687e+00,1.0596e+00,2.6745e+00,3.9967e+00,3.5886e+00,3.0450e+01,-3.8495e+02
1.9241e-01,-8.0520e-01,2.4500e+00,1.0049e+00,1.3261e+00,4.1353e+00,3.1071e+00,3.0501e+01,-3.6832e+02
2.4849e-01,-6.1996e-01,2.4775e+00,1.6103e+00,2.2436e+00,4.1525e+00,2.7753e+00,3.0450e+01,-3.7063e+02
2.1652e-01,-7.8635e-01,2.3604e+00,2.1812e+00,1.7578e+00,4.0903e+00,2.9473e+00,3.0338e+01,-3.9605e+02
2.3088e-01,-5.7139e-01,2.5976e+00,5.6209e-02,1.7272e+00,2.6493e+00,4.4414e+00,3.0600e+01,-3.8844e+02
1.4222e-01,-1.0851e+00,2.3517e+00,1.9396e+00,1.3820e+00,3.9016e+00,3.8189e+00,3.0373e+01,-3.9904e+02
1.4800e-01,-9.5256e-01,2.2747e+00,1.6882e+00,2.4114e+00,3.9826e+00,2.5120e+00,3.0171e+01,-3.8921e+02
1.3504e-01,-5.7205e-01,2.6218e+00,9.4541e-01,8.9081e-01,4.2609e+00,2.1050e+00,3.0777e+01,-3.9601e+02
2.2979e-01,-7.8932e-01,2.4934e+00,1.2728e+00,2.5493e+00,4.1421e+00,3.5896e+00,3.0616e+01,-3.9243e+02
1.9158e-01,-7.8230e-01,2.2399e+00,2.1861e+00,2.5181e+00,3.8831e+00,3.2241e+00,3.0038e+01,-3.7104e+02
1.5895e-01,-7.3827e-01,2.4722e+00,1.4728e+00,2.9348e+00,4.0199e+00,3.5337e+00,3.0528e+01,-3.8632e+02
1.3984e-01,-1.1217e+00,2.3737e+00,1.8866e+00,1.3260e+00,2.7955e+00,4.2738e+00,3.0364e+01,-3.9688e+02
1.6367e-01,-6.8092e-01,2.5555e+00,9.4573e-01,1.9502e+00,3.1475e+00,4.3706e+00,3.0599e+01,-3.8828e+02
1.6019e-01,-8.1309e-01,2.3121e+00,2.0957e+00,1.1503e+00,4.0324e+00,1.9634e+00,3.0233e+01,-3.9622e+02
2.8425e-01,-9.3114e-01,2.2585e+00,2.1807e+00,8.6212e-01,4.0173e+00,2.3623e+00,3.0143e+01,-3.9578e+02
2.7478e-01,-7.5270e-01,2.4049e+00,1.8732e+00,5.0121e-01,4.1115e+00,2.9699e+00,3.0367e+01,-3.8039e+02
2.3602e-01,-7.9999e-01,2.2602e+00,1.9020e+00,1.5176e+00,3.9368e+00,3.2728e+00,3.0018e+01,-3.9529e+02
2.7591e-01,-9.0085e-01,2.2497e+00,1.7764e+00,2.8312e+00,3.9431e+00,2.6431e+00,3.0094e+01,-3.8791e+02
2.0572e-01,-8.0977e-01,2.2867e+00,2.2404e+00,3.0598e+00,3.1266e+00,4.0675e+00,3.0165e+01,-3.9127e+02
1.8783e-01,-1.0568e+00,2.3200e+00,1.9932e+00,2.4884e+00,3.8155e+00,3.9142e+00,3.0337e+01,-3.9427e+02
2.4397e-01,-7.2200e-01,2.5021e+00,1.4046e+00,2.2796e+00,4.2019e+00,2.7714e+00,3.0597e+01,-3.8188e+02
1.9553e-01,-7.6455e-01,2.4714e+00,1.1743e+00,1.0654e+00,3.8249e+00,4.0722e+00,3.0442e+01,-3.9209e+02
2.0550e-01,-5.7421e-01,2.2097e+00,2.2301e+00,2.9997e+00,3.7725e+00,2.8956e+00,2.9858e+01,-3.8956e+02
1.4960e-01,-6.0880e-01,2.6523e+00,7.9455e-01,2.5478e+00,2.8680e+00,4.4590e+00,3.0814e+01,-3.8965e+02
1.9445e-01,-1.0215e+00,2.5352e+00,9.2536e-01,1.8019e+00,2.5407e+00,4.4555e+00,3.0744e+01,-3.8616e+02
1.5761e-01,-7.7882e-01,2.5215e+00,4.1608e-01,2.3310e+00,3.2344e+00,4.3353e+00,3.0587e+01,-3.7612e+02
1.5557e-01,-1.0623e+00,2.3882e+00,2.2330e+00,1.8188e+00,3.6667e+00,4.1636e+00,3.0510e+01,-3.9666e+02
2.3459e-01,-5.8204e-01,2.4312e+00,1.5554e+00,3.5970e+00,3.6433e+00,3.4587e+00,3.0413e+01,-3.8553e+02
1.9020e-01,-5.8519e-01,2.3808e+00,2.4470e+00,2.7379e+00,2.8843e+00,4.1930e+00,3.0265e+01,-3.7174e+02
1.1094e-01,-7.6863e-01,2.6750e+00,1.3906e+00,1.3467e+00,2.6838e+00,4.5250e+00,3.0976e+01,-3.9350e+02
1.5263e-01,-1.5730e+00,2.1948e+00,1.4031e+00,2.7227e+00,3.8534e+00,3.3778e+00,3.0109e+01,-3.9306e+02
1.2323e-01,-8.1634e-01,2.4741e+00,8.4346e-01,2.9924e+00,4.1284e+00,2.1869e+00,3.0623e+01,-3.9814e+02
1.3001e-01,-1.2038e+00,2.2981e+00,1.3974e+00,3.3143e+00,1.7092e+00,4.0682e+00,3.0314e+01,-3.9470e+02
1.4787e-01,-1.1296e+00,2.0979e+00,2.4257e+00,1.6261e+00,2.2539e+00,4.0624e+00,2.9871e+01,-3.9167e+02
2.9340e-01,-6.3635e-01,2.5077e+00,1.2245e+00,1.5791e+00,4.0144e+00,3.9162e+00,3.0480e+01,-3.8913e+02
1.9603e-01,-5.5443e-01,2.5921e+00,1.8773e+00,1.5996e+00,4.2199e+00,3.3594e+00,3.0722e+01,-3.7045e+02
1.9500e-01,-8.2099e-01,2.3024e+00,1.1485e+00,3.1009e+00,3.3458e+00,3.9464e+00,3.0111e+01,-3.8313e+02
2.1302e-01,-5.8429e-01,2.3767e+00,2.0892e+00,1.4752e+00,4.0123e+00,3.1546e+00,3.0161e+01,-3.7713e+02
1.9109e-01,-5.7629e-01,2.4642e+00,1.4010e+00,3.1091e+00,4.0541e+00,2.4908e+00,3.0440e+01,-3.8040e+02
1.7265e-01,-1.6534e+00,2.3310e+00,3.8580e-01,2.3625e+00,4.1206e+00,1.8616e+00,3.0476e+01,-3.9499e+02
2.9881e-01,-5.3889e-01,2.3244e+00,2.3987e+00,1.3299e+00,4.0149e+00,1.9581e+00,3.0090e+01,-3.8352e+02
2.1856e-01,-6.3924e-01,2.5999e+00,6.1688e-01,1.6218e+00,3.1503e+00,4.4409e+00,3.0666e+01,-3.8624e+02
1.7424e-01,-1.0462e+00,2.3679e+00,3.7345e-01,1.9794e+00,4.0752e+00,3.2699e+00,3.0422e+01,-3.9970e+02
1.7475e-01,-8.3888e-01,2.2686e+00,5.5988e-02,3.3992e+00,3.7263e+00,2.3979e+00,3.0164e+01,-3.9478e+02
1.5642e-01,-7.3604e-01,2.5328e+00,5.1829e-01,2.0400e+00,3.4280e+00,4.3229e+00,3.0606e+01,-3.9853e+02
2.2134e-01,-5.6490e-01,2.7107e+00,1.0584e+00,2.6397e+00,2.1819e+00,4.5669e+00,3.0935e+01,-3.9808e+02
1.3933e-01,-6.7833e-01,2.6379e+00,7.3620e-01,1.5392e+00,2.4241e+00,4.4858e+00,3.0820e+01,-3.9693e+02
1.2973e-01,-1.0055e+00,2.3924e+00,1.0597e+00,3.0477e+00,3.6982e+00,3.9869e+00,3.0460e+01,-3.8985e+02
1.7518e-01,-8.8406e-01,2.5328e+00,1.3543e-01,1.9416e+00,4.1721e+00,3.6977e+00,3.0771e+01,-3.9429e+02
1.5306e-01,-5.0794e-01,2.7764e+00,2.2740e+00,2.5652e+00,3.0382e+00,4.5616e+00,3.1091e+01,-3.9828e+02
1.9348e-01,-7.0601e-01,2.2294e+00,2.3535e+00,2.7537e+00,3.7328e+00,3.5328e+00,2.9987e+01,-3.8063e+02
1.0409e-01,-9.2556e-01,2.5458e+00,6.1904e-03,2.1705e+00,1.9654e+00,4.4277e+00,3.0725e+01,-3.9640e+02
1.8335e-01,-9.4407e-01,2.3704e+00,8.5411e-02,3.3023e+00,3.8703e+00,3.4578e+00,3.0423e+01,-3.8368e+02
2.4854e-01,-6.4353e-01,2.1304e+00,2.5293e+00,2.6952e+00,3.3637e+00,3.8144e+00,2.9783e+01,-3.9172e+02
2.5844e-01,-5.6944e-01,2.6150e+00,5.1607e-01,2.6381e+00,2.9951e+00,4.4479e+00,3.0698e+01,-3.8474e+02
1.6641e-01,-7.5307e-01,2.2241e+00,2.4499e+00,5.2240e-01,2.2702e+00,4.1312e+00,2.9986e+01,-3.7597e+02
1.4823e-01,-8.3366e-01,2.4816e+00,3.0537e-01,5.6776e-01,4.0186e+00,3.8849e+00,3.0576e+01,-3.8945e+02
1.2389e-01,-1.8190e+00,2.2758e+00,1.9743e+00,1.2002e+00,3.3112e+00,4.1746e+00,3.0304e+01,-3.9472e+02
2.8857e-01,-7.2049e-01,2.5173e+00,-4.4769e-02,3.4862e+00,2.1868e+00,4.2272e+00,3.0613e+01,-3.9793e+02
1.9086e-01,-1.0111e+00,2.3396e+00,2.0169e+00,2.4549e+00,1.6836e+00,4.2583e+00,3.0295e+01,-3.9398e+02
2.6016e-01,-7.4840e-01,2.5501e+00,1.4623e+00,9.2876e-01,4.2129e+00,3.4675e+00,3.0701e+01,-3.9536e+02
1.9197e-01,-5.7593e-01,2.7785e+00,1.7347e+00,1.0689e+00,3.3398e+00,4.5931e+00,3.1141e+01,-3.9475e+02
1.5173e-01,-7.3383e-01,2.5334e+00,1.2434e+00,1.9349e+00,4.1601e+00,3.5436e+00,3.0680e+01,-3.9054e+02
2.0297e-01,-7.1143e-01,2.3429e+00,1.6358e+00,2.4073e+00,3.9952e+00,3.1720e+00,3.0166e+01,-3.8815e+02
2.2831e-01,-5.3699e-01,2.5608e+00,1.1892e+00,1.0598e+00,2.9580e+00,4.3915e+00,3.0499e+01,-3.9375e+02
2.1023e-01,-5.9438e-01,2.6859e+00,2.1224e-01,2.3719e+00,4.1967e+00,4.0747e+00,3.0952e+01,-3.9410e+02
1.7748e-01,-1.4531e+00,2.3233e+00,4.5277e-02,2.4190e+00,3.9758e+00,3.6696e+00,3.0390e+01,-3.9482e+02
1.1494e-01,-1.0088e+00,2.3949e+00,1.7675e+00,2.9211e+00,2.9531e+00,4.2097e+00,3.0421e+01,-3.9495e+02
1.8802e-01,-9.2151e-01,2.4424e+00,1.3420e+00,2.1599e+00,3.5538e+00,4.2246e+00,3.0468e+01,-3.9539e+02
1.6760e-01,-8.3818e-01,2.4187e+00,1.8535e+00,2.5308e+00,3.5397e+00,4.1616e+00,3.0412e+01,-3.7714e+02
1.7964e-01,-1.3734e+00,2.2773e+00,2.7535e-01,2.7987e+00,4.0029e+00,2.9390e+00,3.0307e+01,-3.8837e+02
