logfeh,logdust_med,logNpix,tau,dmod,logl
3.0390e-01,-1.9161e+00,3.8020e+00,9.9611e+00,2.8335e+01,-6.2614e+03
3.0748e-01,-1.9599e+00,3.8089e+00,9.9858e+00,2.8360e+01,-6.2320e+03
3.0323e-01,-1.9603e+00,3.8023e+00,9.9381e+00,2.8340e+01,-6.2625e+03
3.0439e-01,-1.8934e+00,3.8026e+00,9.9723e+00,2.8334e+01,-6.2543e+03
3.0672e-01,-1.9093e+00,3.8083e+00,9.9649e+00,2.8340e+01,-6.2404e+03
2.8427e-01,-1.9741e+00,3.7259e+00,9.9949e+00,2.8161e+01,-6.2620e+03
3.0438e-01,-1.9937e+00,3.8082e+00,9.9853e+00,2.8351e+01,-6.2559e+03
3.0397e-01,-1.9852e+00,3.8017e+00,9.9625e+00,2.8336e+01,-6.2444e+03
3.0392e-01,-1.9845e+00,3.8011e+00,9.9477e+00,2.8332e+01,-6.2368e+03
3.0846e-01,-1.9574e+00,3.8083e+00,9.9753e+00,2.8343e+01,-6.2665e+03
2.1262e-01,-1.9622e+00,3.7259e+00,9.9957e+00,2.8163e+01,-6.2465e+03
3.0601e-01,-1.9740e+00,3.8080e+00,9.9833e+00,2.8350e+01,-6.1731e+03
3.0440e-01,-1.9641e+00,3.8021e+00,9.9486e+00,2.8330e+01,-6.2352e+03
3.0659e-01,-1.9584e+00,3.8087e+00,9.9946e+00,2.8346e+01,-6.2515e+03
3.0342e-01,-1.9204e+00,3.8018e+00,9.9823e+00,2.8337e+01,-6.2663e+03
3.0403e-01,-1.9882e+00,3.8025e+00,9.9912e+00,2.8337e+01,-6.2118e+03
3.0351e-01,-1.9691e+00,3.8013e+00,9.9421e+00,2.8334e+01,-6.2604e+03
3.0195e-01,-1.9842e+00,3.8013e+00,9.8887e+00,2.8336e+01,-6.2610e+03
3.0281e-01,-1.9876e+00,3.8082e+00,9.9731e+00,2.8351e+01,-6.2489e+03
3.0269e-01,-1.9911e+00,3.8014e+00,9.9802e+00,2.8334e+01,-6.2493e+03
3.0174e-01,-1.9837e+00,3.8016e+00,9.9479e+00,2.8335e+01,-6.2622e+03
3.0699e-01,-1.9630e+00,3.8090e+00,9.9480e+00,2.8345e+01,-6.2408e+03
3.0389e-01,-1.9255e+00,3.8020e+00,9.9548e+00,2.8333e+01,-6.2638e+03
3.0724e-01,-1.9768e+00,3.8053e+00,9.9662e+00,2.8340e+01,-6.2514e+03
3.0800e-01,-1.9315e+00,3.8083e+00,9.9753e+00,2.8351e+01,-6.2366e+03
2.3286e-01,-1.9766e+00,3.7259e+00,9.9941e+00,2.8162e+01,-6.2624e+03
2.2968e-01,-1.9856e+00,3.7260e+00,9.9973e+00,2.8167e+01,-6.2652e+03
3.0329e-01,-1.9982e+00,3.8021e+00,9.9634e+00,2.8335e+01,-6.2574e+03
3.0390e-01,-1.9083e+00,3.8023e+00,9.9838e+00,2.8336e+01,-6.2092e+03
