niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4493e+05,-1.4493e+05,-2.4969e-03,-1.4493e+05,1.2922e-01,6.6871e+00,inf,7.7035e-01,-5.9412e-01,-1.2165e+00,-1.3730e+00,2.1208e+00,3.4124e+00,3.3768e+00,5.9135e+00,2.8715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4471e+05,-1.4472e+05,-4.9938e-03,-1.4472e+05,1.2924e-01,6.6896e+00,1.3623e+05,3.1836e+00,1.4012e-01,-7.5109e-01,4.7346e-01,1.4416e+00,2.2282e+00,1.2092e+00,5.8919e+00,2.8283e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4365e+05,-1.4366e+05,-7.4906e-03,-1.4366e+05,1.2926e-01,6.6921e+00,1.3602e+05,3.9465e+00,-1.9678e-01,-1.3328e+00,-1.6779e+00,1.6902e+00,3.7355e+00,4.9790e+00,5.6556e+00,2.8739e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4359e+05,-1.4360e+05,-9.9875e-03,-1.4360e+05,1.2929e-01,6.6946e+00,1.3496e+05,4.9757e+00,4.7627e-01,-1.0842e+00,8.4048e-01,1.8841e+00,2.0856e+00,1.8515e+00,5.8594e+00,2.8384e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4283e+05,-1.4283e+05,-1.2484e-02,-1.4283e+05,1.2931e-01,6.6971e+00,1.3490e+05,5.9771e+00,3.5482e-01,-8.8113e-01,-3.7248e-01,-6.9641e-01,2.5213e+00,4.2131e+00,5.6420e+00,2.8438e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.4255e+05,-1.4256e+05,-1.4981e-02,-1.4256e+05,1.2934e-01,6.6996e+00,1.3413e+05,6.7956e+00,-9.0637e-01,-1.6110e+00,3.6241e-01,1.2378e+00,3.6061e+00,1.3303e+00,5.7618e+00,2.9360e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.4222e+05,-1.4223e+05,-1.7478e-02,-1.4223e+05,1.2936e-01,6.7021e+00,1.3386e+05,7.6433e+00,-7.4482e-01,-9.2243e-01,1.7129e+00,-2.1655e-01,3.7725e+00,4.1255e+00,5.6022e+00,2.8151e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.4216e+05,-1.4217e+05,-1.9975e-02,-1.4217e+05,1.2939e-01,6.7046e+00,1.3352e+05,8.4698e+00,-4.3809e-01,-1.9054e+00,-5.0476e-02,2.1451e+00,2.9484e+00,1.8861e+00,5.3870e+00,2.8115e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.4146e+05,-1.4147e+05,-2.2472e-02,-1.4147e+05,1.2941e-01,6.7071e+00,1.3347e+05,9.3066e+00,-3.7116e-01,-1.1470e+00,-1.5995e+00,3.2487e+00,2.3523e+00,4.2265e+00,5.6609e+00,2.9366e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.4141e+05,-1.4141e+05,-2.4969e-02,-1.4141e+05,1.2943e-01,6.7096e+00,1.3276e+05,1.0189e+01,-1.6083e-01,-1.8590e+00,1.3955e+00,1.3099e+00,6.3682e-01,3.6947e+00,5.6680e+00,2.8792e+01
