logfeh,logdust,logNpix,tau,logl
-3.0848e-01,-1.0668e+00,3.3132e+00,3.9483e+00,-7.7506e+04
2.7998e-01,-1.5911e+00,2.8294e+00,4.0292e+00,-8.1418e+04
4.4228e-01,-8.5275e-01,2.3245e+00,8.9407e-01,-8.1932e+04
1.8346e-01,-9.3095e-01,3.1108e+00,2.8499e+00,-8.1656e+04
5.3464e-02,-8.4785e-01,2.1315e+00,1.7063e+00,-8.1699e+04
-1.3511e-01,-1.0769e+00,2.2261e+00,1.9072e+00,-8.1489e+04
1.5946e-01,-1.2255e+00,2.9333e+00,3.4927e+00,-8.1360e+04
-2.9162e-01,-1.7482e+00,2.4312e+00,2.3189e+00,-8.1026e+04
1.4921e-01,-8.2765e-01,2.0160e+00,3.5908e+00,-8.1742e+04
-2.8121e-01,-6.1270e-01,3.3264e+00,4.5556e+00,-7.7403e+04
-4.4019e-01,-1.7236e+00,2.1421e+00,3.4069e+00,-8.1177e+04
9.4625e-02,-1.2000e+00,2.1300e+00,2.8510e+00,-8.1644e+04
-1.7033e-01,-1.2455e+00,2.3357e+00,3.0752e+00,-8.1333e+04
-2.0721e-02,-1.3246e+00,3.0953e+00,1.1653e+00,-8.0924e+04
-1.7362e-01,-1.5412e+00,4.6239e+00,4.3371e+00,-3.6068e+04
-2.1475e-01,-1.0626e+00,3.4343e+00,1.0588e+00,-8.0117e+04
-1.1768e-01,-1.9192e+00,3.3549e+00,4.9118e+00,-7.7531e+04
-3.4982e-01,-1.6489e+00,2.3455e+00,1.5364e+00,-8.1126e+04
-2.8367e-02,-1.8393e+00,2.6877e+00,4.5098e+00,-8.0731e+04
-8.3246e-02,-1.1962e+00,2.0186e+00,1.5731e+00,-8.1604e+04
2.2251e-01,-5.3143e-01,2.1809e+00,3.6031e+00,-8.1778e+04
-1.3085e-01,-1.5837e+00,2.7021e+00,4.5839e+00,-8.0022e+04
1.3373e-01,-1.3425e+00,2.4577e+00,2.8852e+00,-8.1572e+04
2.8224e-02,-5.7286e-01,3.4411e+00,2.5625e+00,-8.1097e+04
3.6878e-02,-7.7120e-01,2.1713e+00,3.3802e+00,-8.1621e+04
2.2011e-02,-5.7988e-01,3.5445e+00,1.9386e+00,-8.1500e+04
4.6584e-01,-1.7793e+00,2.0889e+00,3.0101e+00,-8.1878e+04
-3.8593e-01,-5.7379e-01,2.9771e+00,1.0487e+00,-8.0792e+04
-2.9058e-01,-1.9573e+00,3.3161e+00,1.6108e+00,-7.9495e+04
-1.5199e-01,-1.7261e+00,4.7054e+00,3.5620e+00,-1.8842e+04
-2.2588e-01,-1.9563e+00,4.6420e+00,4.5672e+00,-2.4947e+04
-2.0887e-01,-1.7729e+00,3.0055e+00,3.3220e+00,-7.9106e+04
-4.2666e-01,-1.9175e+00,2.9696e+00,2.9934e+00,-7.9427e+04
3.5390e-01,-1.5694e+00,2.5192e+00,7.5670e-01,-8.1912e+04
1.8591e-02,-1.4798e+00,3.0590e+00,4.4382e+00,-7.9817e+04
-4.9887e-01,-1.7012e+00,3.5143e+00,3.8133e+00,-7.9410e+04
-3.1977e-01,-6.3341e-01,3.9340e+00,4.5711e+00,-8.1019e+04
5.2469e-02,-1.5904e+00,4.9235e+00,3.3722e+00,-3.6955e+04
3.0576e-01,-1.7676e+00,3.1400e+00,4.9151e+00,-8.0783e+04
3.1134e-01,-1.3858e+00,2.8371e+00,4.1143e+00,-8.1595e+04
-2.9824e-01,-9.5256e-01,4.8566e+00,4.4608e+00,-5.3649e+04
-3.5719e-01,-6.9041e-01,2.7240e+00,4.6544e+00,-7.9797e+04
-7.1217e-02,-1.8658e+00,2.1151e+00,1.4514e+00,-8.1550e+04
-1.7691e-01,-6.9287e-01,2.6469e+00,3.7012e+00,-8.0822e+04
-4.8985e-01,-1.1607e+00,3.4431e+00,1.5881e+00,-7.9857e+04
-7.7731e-02,-5.5921e-01,3.1355e+00,4.7217e+00,-8.0000e+04
-5.6091e-02,-1.9534e+00,3.0897e+00,3.6805e+00,-7.9683e+04
2.8630e-01,-6.1227e-01,3.0128e+00,3.6285e+00,-8.1906e+04
-3.2853e-01,-8.9437e-01,2.3811e+00,1.9113e+00,-8.1255e+04
-1.7618e-01,-1.8607e+00,2.5527e+00,4.1639e+00,-8.0398e+04
-2.5734e-01,-1.9469e+00,2.3253e+00,3.8077e+00,-8.0814e+04
2.2479e-01,-9.2498e-01,2.1232e+00,2.2535e+00,-8.1802e+04
-2.1793e-01,-1.4975e+00,2.2506e+00,3.8282e+00,-8.1042e+04
-4.8162e-01,-7.1682e-01,3.7182e+00,4.5061e+00,-8.0473e+04
-5.3260e-02,-1.3773e+00,3.4412e+00,4.9183e+00,-7.8667e+04
-1.2658e-01,-1.9814e+00,4.7657e+00,4.3791e+00,-1.6412e+04
-1.4825e-01,-1.0548e+00,3.0735e+00,1.1428e+00,-8.0545e+04
-2.7668e-01,-1.3707e+00,2.2187e+00,3.2891e+00,-8.1178e+04
4.7335e-01,-1.4181e+00,2.2444e+00,1.7944e+00,-8.1914e+04
-4.9230e-01,-5.3944e-01,3.6302e+00,6.0513e-01,-8.0832e+04
