logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-5.0895e-02,-1.0207e+00,7.7603e-01,2.3965e+00,6.5133e-01,2.2398e+00,3.9091e+00,-5.0170e+02
-6.8495e-02,-1.0298e+00,7.6092e-01,2.3726e+00,2.0985e+00,2.1583e+00,3.8823e+00,-5.0133e+02
-8.1345e-02,-1.0260e+00,7.7931e-01,2.3685e+00,1.9523e+00,2.2630e+00,3.8831e+00,-5.0197e+02
-8.9505e-02,-1.0070e+00,8.5313e-01,2.3751e+00,1.0346e+00,2.1343e+00,3.9042e+00,-4.9174e+02
-1.1918e-01,-1.0284e+00,8.0545e-01,2.3603e+00,1.7294e+00,2.0039e+00,3.8901e+00,-4.9863e+02
-1.0522e-01,-1.0112e+00,7.6605e-01,2.3755e+00,1.9120e+00,2.3051e+00,3.8734e+00,-5.0332e+02
-9.7001e-02,-1.0566e+00,7.1557e-01,2.3635e+00,2.1019e+00,1.6173e+00,3.8812e+00,-5.0248e+02
-9.7327e-02,-1.0329e+00,7.9845e-01,2.3572e+00,1.9459e+00,2.4470e+00,3.8705e+00,-5.0226e+02
-7.5472e-02,-1.0416e+00,7.6934e-01,2.3654e+00,2.0219e+00,2.2373e+00,3.8810e+00,-4.9819e+02
-8.2074e-02,-1.0648e+00,7.5811e-01,2.3456e+00,2.3063e+00,1.8735e+00,3.8680e+00,-5.0103e+02
-6.7519e-02,-1.0565e+00,7.4926e-01,2.3603e+00,2.1689e+00,2.0748e+00,3.8807e+00,-5.0296e+02
-7.2982e-02,-1.0107e+00,7.7185e-01,2.3884e+00,1.5301e+00,1.9216e+00,3.9074e+00,-5.0113e+02
-1.2012e-01,-1.0394e+00,7.9434e-01,2.3635e+00,1.7952e+00,1.9601e+00,3.8851e+00,-5.0212e+02
-8.9464e-02,-1.0418e+00,6.6941e-01,2.3887e+00,1.7977e+00,1.7213e+00,3.8951e+00,-5.0255e+02
-9.4632e-02,-1.0826e+00,8.1908e-01,2.3550e+00,1.7313e+00,1.9766e+00,3.8946e+00,-5.0055e+02
-9.9304e-02,-1.0113e+00,9.0775e-01,2.3491e+00,1.8686e+00,2.2665e+00,3.8846e+00,-5.0266e+02
-6.3944e-02,-1.1363e+00,7.2577e-01,2.3462e+00,2.1776e+00,1.9340e+00,3.8813e+00,-5.0403e+02
-1.1944e-01,-1.0940e+00,8.2432e-01,2.3407e+00,1.7733e+00,1.8237e+00,3.8891e+00,-5.0165e+02
-1.2687e-01,-1.0288e+00,8.2883e-01,2.3563e+00,1.6739e+00,1.9227e+00,3.8897e+00,-5.0320e+02
-7.6822e-02,-1.0333e+00,7.8352e-01,2.3758e+00,1.8652e+00,2.0679e+00,3.8927e+00,-5.0239e+02
-1.1151e-01,-1.0328e+00,8.4969e-01,2.3591e+00,1.7316e+00,1.9454e+00,3.8902e+00,-5.0411e+02
-8.7829e-02,-1.2194e+00,7.8941e-01,2.3185e+00,2.1110e+00,1.9661e+00,3.8771e+00,-5.0209e+02
-5.9361e-02,-1.0060e+00,6.8114e-01,2.4020e+00,1.8438e+00,2.0643e+00,3.8980e+00,-5.0025e+02
-6.9229e-02,-1.0030e+00,7.9312e-01,2.3888e+00,1.6674e+00,2.1829e+00,3.9004e+00,-5.0065e+02
-1.2301e-01,-1.0016e+00,8.1112e-01,2.3585e+00,1.8789e+00,2.1560e+00,3.8803e+00,-5.0236e+02
-5.3359e-02,-1.0043e+00,7.9721e-01,2.3978e+00,8.1240e-01,2.2563e+00,3.9085e+00,-5.0073e+02
-1.3617e-01,-1.0106e+00,8.7808e-01,2.3529e+00,1.3250e+00,1.7717e+00,3.8983e+00,-5.0347e+02
-5.6533e-02,-1.0533e+00,7.9669e-01,2.3795e+00,1.5403e+00,2.2204e+00,3.9033e+00,-5.0403e+02
-9.3791e-02,-1.0489e+00,7.6399e-01,2.3610e+00,1.8997e+00,2.4280e+00,3.8724e+00,-5.0430e+02
-8.7382e-02,-1.1012e+00,7.2927e-01,2.3509e+00,2.0634e+00,1.8506e+00,3.8844e+00,-5.0260e+02
-7.7307e-02,-1.0062e+00,7.5218e-01,2.3853e+00,1.8491e+00,2.0742e+00,3.8953e+00,-5.0160e+02
-7.3911e-02,-1.1101e+00,8.1372e-01,2.3655e+00,1.2911e+00,1.8228e+00,3.9081e+00,-5.0201e+02
-7.5444e-02,-1.0062e+00,7.7874e-01,2.3768e+00,2.0686e+00,2.2867e+00,3.8754e+00,-4.9554e+02
-8.9244e-02,-1.0228e+00,7.9670e-01,2.3636e+00,1.9002e+00,2.2483e+00,3.8873e+00,-4.9866e+02
-7.9580e-02,-1.0086e+00,7.1126e-01,2.3773e+00,2.2050e+00,1.7004e+00,3.8796e+00,-5.0033e+02
-7.1320e-02,-1.0036e+00,8.3682e-01,2.3792e+00,1.5639e+00,2.1860e+00,3.9018e+00,-4.9807e+02
-5.3664e-02,-1.0163e+00,7.8338e-01,2.3718e+00,2.1987e+00,2.0463e+00,3.8841e+00,-5.0354e+02
-7.8237e-02,-1.0384e+00,8.0832e-01,2.3663e+00,1.9488e+00,2.2162e+00,3.8862e+00,-5.0140e+02
-9.1791e-02,-1.1010e+00,8.5962e-01,2.3493e+00,1.6776e+00,2.0406e+00,3.8936e+00,-5.0286e+02
-8.3206e-02,-1.0357e+00,8.1015e-01,2.3538e+00,1.9827e+00,2.4312e+00,3.8762e+00,-5.0357e+02
-9.3675e-02,-1.0338e+00,9.1034e-01,2.3529e+00,1.6865e+00,1.7398e+00,3.9024e+00,-5.0282e+02
-5.3129e-02,-1.0324e+00,8.6170e-01,2.3543e+00,2.1491e+00,2.2736e+00,3.8822e+00,-5.0154e+02
-1.1328e-01,-1.1025e+00,7.6128e-01,2.3471e+00,1.8675e+00,2.0906e+00,3.8812e+00,-5.0072e+02
-8.2812e-02,-1.0508e+00,7.0524e-01,2.3692e+00,2.1208e+00,1.8359e+00,3.8822e+00,-5.0414e+02
-5.8488e-02,-1.0189e+00,8.6587e-01,2.3629e+00,2.1148e+00,1.9132e+00,3.8929e+00,-5.0339e+02
-8.8521e-02,-1.0112e+00,7.9515e-01,2.3693e+00,1.9769e+00,2.4493e+00,3.8703e+00,-5.0197e+02
-7.9637e-02,-1.0613e+00,7.4997e-01,2.3576e+00,2.0566e+00,2.2107e+00,3.8816e+00,-5.0420e+02
-7.1654e-02,-1.0426e+00,7.4527e-01,2.3726e+00,2.1295e+00,1.9372e+00,3.8826e+00,-5.0182e+02
-5.1783e-02,-1.0324e+00,8.0097e-01,2.3622e+00,2.2007e+00,2.1910e+00,3.8817e+00,-5.0190e+02
-1.1113e-01,-1.0113e+00,8.2177e-01,2.3623e+00,1.9356e+00,1.8278e+00,3.8852e+00,-5.0061e+02
-1.0848e-01,-1.0615e+00,7.4692e-01,2.3568e+00,1.9136e+00,1.9740e+00,3.8846e+00,-5.0028e+02
-6.5257e-02,-1.0609e+00,8.1405e-01,2.3577e+00,2.2134e+00,1.7214e+00,3.8829e+00,-5.0157e+02
-8.6761e-02,-1.0477e+00,8.1686e-01,2.3658e+00,1.8424e+00,1.9801e+00,3.8944e+00,-5.0326e+02
-6.5443e-02,-1.0871e+00,7.9099e-01,2.3469e+00,2.2640e+00,1.8612e+00,3.8770e+00,-5.0321e+02
-5.4672e-02,-1.0232e+00,7.9778e-01,2.3738e+00,2.1772e+00,2.2208e+00,3.8799e+00,-5.0011e+02
-9.4510e-02,-1.0049e+00,8.0261e-01,2.3700e+00,1.8306e+00,2.1711e+00,3.8908e+00,-5.0440e+02
-6.3999e-02,-1.0212e+00,8.4942e-01,2.3560e+00,2.1063e+00,2.2138e+00,3.8851e+00,-4.9599e+02
-7.0517e-02,-1.1377e+00,7.5573e-01,2.3473e+00,2.0568e+00,2.0842e+00,3.8854e+00,-5.0271e+02
-1.1293e-01,-1.0339e+00,7.7801e-01,2.3633e+00,1.8941e+00,1.9387e+00,3.8839e+00,-4.9539e+02
-1.1216e-01,-1.0982e+00,7.6596e-01,2.3380e+00,2.0106e+00,2.3632e+00,3.8647e+00,-5.0385e+02
-1.3171e-01,-1.0254e+00,8.0676e-01,2.3521e+00,1.2316e+00,2.0197e+00,3.8976e+00,-5.0331e+02
-1.0008e-01,-1.0038e+00,8.4478e-01,2.3600e+00,1.9820e+00,1.6687e+00,3.8907e+00,-5.0012e+02
-6.4631e-02,-1.0304e+00,7.8506e-01,2.3616e+00,2.1253e+00,2.0649e+00,3.8869e+00,-5.0018e+02
-9.4282e-02,-1.0524e+00,9.0461e-01,2.3516e+00,1.4999e+00,2.1519e+00,3.8974e+00,-5.0412e+02
-8.9737e-02,-1.0198e+00,8.8186e-01,2.3558e+00,1.9235e+00,2.2653e+00,3.8846e+00,-5.0009e+02
-7.1534e-02,-1.0098e+00,7.7351e-01,2.3739e+00,2.0321e+00,2.0384e+00,3.8894e+00,-5.0265e+02
