niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9960e-01,-1.5612e+05,-1.5612e+05,-1.9980e-03,-1.5612e+05,1.1750e-01,6.9098e+00,inf,7.2018e-01,8.7972e-02,-1.9623e+00,4.9673e+00,4.4679e-01
2.0000e+00,1.0000e+00,3.9841e-01,-1.5601e+05,-1.5602e+05,-3.9960e-03,-1.5602e+05,1.1751e-01,6.9118e+00,1.5216e+05,1.4419e+00,5.2327e-02,-1.7214e+00,4.9429e+00,5.7009e-01
3.0000e+00,1.0000e+00,5.9642e-01,-1.5590e+05,-1.5591e+05,-5.9940e-03,-1.5591e+05,1.1753e-01,6.9138e+00,1.5205e+05,1.9860e+00,3.8404e-01,-1.1494e+00,4.9834e+00,9.7582e-01
4.0000e+00,1.0000e+00,7.9365e-01,-1.5548e+05,-1.5549e+05,-7.9920e-03,-1.5549e+05,1.1755e-01,6.9157e+00,1.5195e+05,2.7118e+00,-2.9966e-01,-1.0144e+00,4.8296e+00,1.8482e+00
5.0000e+00,1.0000e+00,9.9010e-01,-1.5545e+05,-1.5545e+05,-9.9900e-03,-1.5545e+05,1.1757e-01,6.9177e+00,1.5153e+05,3.4379e+00,-2.0285e-01,-9.2302e-01,4.9934e+00,2.8043e+00
6.0000e+00,1.0000e+00,1.1858e+00,-1.5543e+05,-1.5543e+05,-1.1988e-02,-1.5543e+05,1.1758e-01,6.9197e+00,1.5149e+05,3.9907e+00,3.3435e-01,-9.0293e-01,4.8843e+00,6.6187e-01
7.0000e+00,1.0000e+00,1.3807e+00,-1.5540e+05,-1.5541e+05,-1.3986e-02,-1.5541e+05,1.1760e-01,6.9217e+00,1.5147e+05,4.5443e+00,-2.2405e-01,-1.1254e+00,4.7899e+00,3.8075e-01
8.0000e+00,2.0000e+00,1.5717e+00,-1.5519e+05,-1.5519e+05,-1.5984e-02,-1.5519e+05,1.1762e-01,6.9237e+00,1.5144e+05,5.8142e+00,9.1166e-02,-1.5327e+00,4.7553e+00,3.4819e-01
9.0000e+00,1.0000e+00,1.7647e+00,-1.5515e+05,-1.5516e+05,-1.7982e-02,-1.5516e+05,1.1763e-01,6.9257e+00,1.5123e+05,6.3702e+00,-4.9065e-01,-6.4903e-01,4.9317e+00,2.8288e+00
1.0000e+01,1.0000e+00,1.9569e+00,-1.5512e+05,-1.5513e+05,-1.9980e-02,-1.5513e+05,1.1765e-01,6.9277e+00,1.5120e+05,7.2067e+00,2.9108e-01,-8.1907e-01,4.8433e+00,2.0610e+00
1.1000e+01,1.0000e+00,2.1484e+00,-1.5507e+05,-1.5508e+05,-2.1978e-02,-1.5508e+05,1.1767e-01,6.9297e+00,1.5117e+05,7.7573e+00,1.1900e-01,-8.3080e-01,4.7940e+00,1.7739e+00
