logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-4.0525e-01,-1.1583e+00,-7.4416e-01,1.4963e+00,1.9621e+00,2.6783e+00,4.4979e+00,3.0597e+01,-1.9638e+03
-1.2640e-02,-1.6775e+00,-2.8224e-01,9.4417e-01,1.5092e+00,4.2323e+00,4.5317e+00,3.1167e+01,-6.5700e+03
-8.9474e-02,-1.7999e+00,-1.0498e-01,1.6269e+00,7.5527e-01,2.9491e+00,4.3555e+00,3.0220e+01,-4.7619e+03
8.7798e-02,-1.7117e+00,-1.0552e+00,1.0646e-01,1.3281e+00,4.0341e+00,4.7450e+00,3.1271e+01,-1.0829e+04
2.4131e-01,-1.9083e+00,5.9771e-01,1.9093e+00,2.4234e+00,3.9780e+00,4.1313e+00,3.0339e+01,-1.0825e+04
1.9621e-01,-1.8413e+00,8.5454e-02,7.9624e-01,1.2822e+00,4.0147e+00,4.2408e+00,3.0422e+01,-1.9296e+03
-2.9949e-01,-1.2058e+00,-6.2243e-01,7.8503e-01,1.8441e+00,3.3855e+00,4.6757e+00,3.1069e+01,-1.7425e+03
-3.0885e-01,-1.4316e+00,-7.2200e-01,1.2590e+00,1.8647e+00,3.0579e+00,4.6685e+00,3.1061e+01,-3.9699e+03
4.2608e-02,-1.7777e+00,3.8645e-02,6.8028e-01,1.0943e+00,4.1838e+00,4.5811e+00,3.1153e+01,-5.8260e+03
1.9908e-01,-1.4531e+00,-4.3887e-01,1.4606e+00,1.4919e+00,4.2213e+00,3.9149e+00,3.0455e+01,-7.2471e+02
-4.6601e-01,-1.1216e+00,5.0577e-01,6.9365e-01,2.0445e+00,2.3754e+00,4.6839e+00,3.1057e+01,-1.0361e+03
-1.9522e-01,-1.4133e+00,-2.3313e-02,5.7619e-01,2.5544e+00,2.6709e+00,4.6150e+00,3.0853e+01,-8.2327e+02
-1.5605e-01,-1.4493e+00,-4.8393e-01,5.2464e-01,2.1800e+00,2.9018e+00,4.2806e+00,3.0021e+01,-8.6217e+03
-2.0927e-01,-1.4892e+00,-1.2027e-01,1.4285e+00,2.2879e+00,2.9183e+00,4.6625e+00,3.0961e+01,-6.5254e+03
-1.0548e-01,-1.2259e+00,1.5996e-01,3.1882e-01,2.5179e+00,4.2144e+00,4.4376e+00,3.1030e+01,-5.6425e+03
2.1846e-02,-1.5854e+00,-7.5013e-01,1.3479e+00,1.4292e+00,3.6250e+00,4.6402e+00,3.0938e+01,-8.8641e+03
-6.0680e-01,-1.0155e+00,6.9506e-02,1.4453e+00,2.4714e+00,2.3491e+00,4.4866e+00,3.0653e+01,-1.0348e+04
-5.5948e-01,-1.1186e+00,-3.5322e-01,6.6705e-01,1.9151e+00,3.3537e+00,4.5514e+00,3.0881e+01,-9.4271e+03
-7.5675e-03,-1.6876e+00,1.9911e-01,1.7952e+00,2.5971e+00,3.0221e+00,4.7235e+00,3.1104e+01,-1.2938e+04
-2.4490e-01,-1.8362e+00,-8.8608e-01,3.3761e-01,8.9316e-01,2.8318e+00,4.5796e+00,3.0824e+01,-6.5694e+03
