niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.3052e+05,-1.3053e+05,-2.4969e-03,-1.3053e+05,1.2922e-01,6.6871e+00,inf,7.2125e-01,1.4012e-01,-7.5109e-01,4.7346e-01,1.4416e+00,2.2282e+00,1.2092e+00,5.8919e+00,2.8283e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.2995e+05,-1.2996e+05,-4.9938e-03,-1.2996e+05,1.2924e-01,6.6896e+00,1.2808e+05,1.7237e+00,-5.9412e-01,-1.2165e+00,-1.3730e+00,2.1208e+00,3.4124e+00,3.3768e+00,5.9135e+00,2.8715e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.2885e+05,-1.2885e+05,-7.4906e-03,-1.2885e+05,1.2926e-01,6.6921e+00,1.2751e+05,2.4501e+00,4.7627e-01,-1.0842e+00,8.4048e-01,1.8841e+00,2.0856e+00,1.8515e+00,5.8594e+00,2.8384e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.2848e+05,-1.2849e+05,-9.9875e-03,-1.2849e+05,1.2929e-01,6.6946e+00,1.2640e+05,3.4885e+00,-1.9678e-01,-1.3328e+00,-1.6779e+00,1.6902e+00,3.7355e+00,4.9790e+00,5.6556e+00,2.8739e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.2714e+05,-1.2715e+05,-1.2484e-02,-1.2715e+05,1.2931e-01,6.6971e+00,1.2604e+05,4.4628e+00,3.5482e-01,-8.8113e-01,-3.7248e-01,-6.9641e-01,2.5213e+00,4.2131e+00,5.6420e+00,2.8438e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.2705e+05,-1.2706e+05,-1.4981e-02,-1.2706e+05,1.2934e-01,6.6996e+00,1.2470e+05,5.1888e+00,-9.0637e-01,-1.6110e+00,3.6241e-01,1.2378e+00,3.6061e+00,1.3303e+00,5.7618e+00,2.9360e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.2478e+05,-1.2479e+05,-1.7478e-02,-1.2479e+05,1.2936e-01,6.7021e+00,1.2461e+05,5.9293e+00,-5.8994e-02,-1.6075e+00,5.6386e-01,1.4858e+00,6.7763e-01,3.7369e+00,5.7084e+00,2.9427e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.2448e+05,-1.2449e+05,-1.9975e-02,-1.2449e+05,1.2939e-01,6.7046e+00,1.2234e+05,6.6489e+00,-3.7116e-01,-1.1470e+00,-1.5995e+00,3.2487e+00,2.3523e+00,4.2265e+00,5.6609e+00,2.9366e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.2437e+05,-1.2438e+05,-2.2472e-02,-1.2438e+05,1.2941e-01,6.7071e+00,1.2204e+05,7.3815e+00,-1.6083e-01,-1.8590e+00,1.3955e+00,1.3099e+00,6.3682e-01,3.6947e+00,5.6680e+00,2.8792e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.2429e+05,-1.2430e+05,-2.4969e-02,-1.2430e+05,1.2943e-01,6.7096e+00,1.2193e+05,8.1437e+00,-7.4482e-01,-9.2243e-01,1.7129e+00,-2.1655e-01,3.7725e+00,4.1255e+00,5.6022e+00,2.8151e+01
