logfeh,logdust_med,logNpix,tau,dmod,logl
-3.6089e-02,-1.2394e+00,3.7740e+00,7.5555e+00,2.9472e+01,-7.2553e+02
-1.1888e-02,-1.6566e+00,3.7463e+00,7.0357e+00,2.9404e+01,-7.1360e+02
4.9135e-02,-1.9935e+00,3.7572e+00,6.8369e+00,2.9431e+01,-7.2220e+02
7.4096e-03,-1.8448e+00,3.8118e+00,6.9296e+00,2.9574e+01,-7.1992e+02
-3.1028e-02,-1.9287e+00,3.7779e+00,6.8439e+00,2.9481e+01,-7.2380e+02
3.0619e-02,-1.7732e+00,3.7768e+00,7.0576e+00,2.9486e+01,-7.2287e+02
1.1147e-03,-1.8232e+00,3.7725e+00,6.9519e+00,2.9473e+01,-7.2305e+02
4.1187e-02,-1.6984e+00,3.7735e+00,6.9066e+00,2.9461e+01,-7.2293e+02
2.3546e-02,-1.6563e+00,3.7778e+00,7.0447e+00,2.9482e+01,-6.9924e+02
8.2656e-03,-1.7547e+00,3.7675e+00,6.8928e+00,2.9455e+01,-7.2155e+02
-3.8129e-02,-1.9400e+00,3.7552e+00,6.9114e+00,2.9429e+01,-7.2305e+02
-4.4398e-02,-1.7581e+00,3.7780e+00,7.0397e+00,2.9490e+01,-7.0802e+02
-3.2731e-02,-1.7038e+00,3.7894e+00,6.9469e+00,2.9510e+01,-7.2510e+02
1.3323e-02,-1.5886e+00,3.7787e+00,7.0253e+00,2.9479e+01,-7.1979e+02
2.6085e-03,-1.7051e+00,3.8083e+00,7.0119e+00,2.9563e+01,-7.2599e+02
-1.2254e-02,-1.3274e+00,3.7593e+00,7.3387e+00,2.9431e+01,-7.2358e+02
2.1783e-02,-1.5107e+00,3.7532e+00,7.1266e+00,2.9421e+01,-7.2585e+02
-5.0202e-02,-1.3472e+00,3.8708e+00,7.7622e+00,2.9793e+01,-7.2321e+02
2.4175e-02,-1.7173e+00,3.7851e+00,6.9808e+00,2.9507e+01,-7.2440e+02
1.1728e-02,-1.6224e+00,3.7570e+00,7.1042e+00,2.9433e+01,-7.2387e+02
-1.9066e-02,-1.6630e+00,3.7651e+00,7.0817e+00,2.9452e+01,-7.2220e+02
-5.9453e-03,-1.9581e+00,3.7706e+00,6.8767e+00,2.9469e+01,-7.2306e+02
2.4296e-02,-1.4909e+00,3.7609e+00,7.1221e+00,2.9440e+01,-7.2434e+02
1.0381e-02,-1.5124e+00,3.7615e+00,7.0732e+00,2.9437e+01,-7.2513e+02
-4.8598e-02,-1.8865e+00,3.7582e+00,6.8843e+00,2.9431e+01,-7.1054e+02
1.0564e-03,-1.3442e+00,3.7590e+00,7.4209e+00,2.9438e+01,-7.1687e+02
3.4856e-02,-1.9577e+00,3.7781e+00,6.7994e+00,2.9478e+01,-7.1356e+02
-4.9726e-02,-1.9612e+00,3.7637e+00,6.7788e+00,2.9439e+01,-6.9744e+02
-2.2823e-02,-1.3965e+00,3.7578e+00,7.2702e+00,2.9426e+01,-7.1984e+02
-1.3241e-02,-1.8130e+00,3.7823e+00,6.9048e+00,2.9492e+01,-7.2505e+02
2.2399e-02,-1.9055e+00,3.7630e+00,6.8233e+00,2.9442e+01,-7.2250e+02
-3.8839e-03,-1.9023e+00,3.7720e+00,6.9236e+00,2.9473e+01,-7.1856e+02
3.1350e-02,-1.5268e+00,3.7813e+00,7.1803e+00,2.9495e+01,-7.2256e+02
-8.6298e-03,-1.8092e+00,3.7741e+00,6.9184e+00,2.9476e+01,-7.1099e+02
-1.6615e-02,-1.7983e+00,3.7911e+00,6.9700e+00,2.9524e+01,-7.1551e+02
2.1914e-02,-1.8910e+00,3.7637e+00,6.8663e+00,2.9449e+01,-7.1328e+02
4.4073e-03,-1.3982e+00,3.7746e+00,7.2516e+00,2.9473e+01,-7.2138e+02
-4.7440e-02,-1.7619e+00,3.7754e+00,7.0356e+00,2.9486e+01,-7.2072e+02
4.4274e-02,-1.2354e+00,3.7726e+00,7.5753e+00,2.9474e+01,-7.2234e+02
-4.0490e-02,-1.7375e+00,3.7773e+00,7.1105e+00,2.9490e+01,-7.2235e+02
4.5874e-03,-1.7421e+00,3.7507e+00,6.9457e+00,2.9416e+01,-7.2311e+02
6.6638e-03,-1.3396e+00,3.7390e+00,7.4583e+00,2.9387e+01,-7.2443e+02
-3.3764e-02,-1.7106e+00,3.8133e+00,6.9661e+00,2.9574e+01,-7.2022e+02
3.7232e-02,-1.3199e+00,3.7596e+00,7.4508e+00,2.9443e+01,-7.1915e+02
-3.4156e-02,-1.6248e+00,3.7626e+00,7.0298e+00,2.9445e+01,-7.1768e+02
1.5842e-02,-1.7085e+00,3.7517e+00,6.9255e+00,2.9413e+01,-7.2520e+02
-3.7301e-02,-1.5627e+00,3.7778e+00,7.0157e+00,2.9475e+01,-7.1477e+02
4.4269e-02,-1.7135e+00,3.7773e+00,6.9368e+00,2.9483e+01,-7.2129e+02
-1.2761e-02,-1.9537e+00,3.7807e+00,6.7783e+00,2.9486e+01,-7.1635e+02
-4.3666e-02,-1.6650e+00,3.7624e+00,6.9587e+00,2.9442e+01,-7.1789e+02
-4.0002e-02,-1.5358e+00,3.7805e+00,7.1304e+00,2.9487e+01,-7.2116e+02
3.9135e-02,-1.6687e+00,3.7788e+00,7.0825e+00,2.9487e+01,-7.2348e+02
6.2953e-03,-1.8856e+00,3.7676e+00,6.8842e+00,2.9459e+01,-7.2441e+02
-1.3727e-02,-1.5879e+00,3.7751e+00,7.0117e+00,2.9470e+01,-7.1847e+02
-3.4496e-02,-1.2422e+00,3.7706e+00,7.6573e+00,2.9472e+01,-7.2440e+02
1.8613e-02,-1.4262e+00,3.7615e+00,7.2618e+00,2.9441e+01,-7.2586e+02
-3.9401e-02,-1.5174e+00,3.7570e+00,7.1471e+00,2.9432e+01,-7.2208e+02
-2.4588e-02,-1.3466e+00,3.7618e+00,7.2741e+00,2.9431e+01,-7.2214e+02
-2.4810e-02,-1.9731e+00,3.8132e+00,6.8304e+00,2.9572e+01,-7.1975e+02
4.5446e-02,-1.5291e+00,3.7488e+00,7.2099e+00,2.9415e+01,-7.2249e+02
3.2890e-02,-1.7372e+00,3.7729e+00,6.9784e+00,2.9472e+01,-7.1402e+02
-4.4196e-02,-1.8532e+00,3.7727e+00,6.9493e+00,2.9479e+01,-7.2428e+02
-5.6328e-04,-1.4246e+00,3.7598e+00,7.2709e+00,2.9438e+01,-7.2318e+02
-3.5000e-02,-1.7146e+00,3.7756e+00,6.9654e+00,2.9478e+01,-7.0466e+02
-4.9783e-03,-1.7296e+00,3.7757e+00,7.0081e+00,2.9475e+01,-7.2474e+02
7.5792e-03,-1.3828e+00,3.7575e+00,7.3601e+00,2.9430e+01,-7.1171e+02
-1.2471e-02,-1.4619e+00,3.7570e+00,7.1486e+00,2.9430e+01,-7.2455e+02
2.8167e-02,-1.9293e+00,3.7729e+00,6.9352e+00,2.9477e+01,-7.1978e+02
4.7971e-02,-1.3775e+00,3.7612e+00,7.3012e+00,2.9441e+01,-7.0669e+02
3.1590e-02,-1.6780e+00,3.7764e+00,7.0019e+00,2.9481e+01,-7.1739e+02
-9.0258e-03,-1.9018e+00,3.7712e+00,6.7429e+00,2.9456e+01,-7.2125e+02
-2.4680e-02,-1.9487e+00,3.7576e+00,6.7957e+00,2.9431e+01,-7.1424e+02
-4.9320e-02,-1.7729e+00,3.7454e+00,6.9259e+00,2.9400e+01,-7.2454e+02
3.8222e-04,-1.5081e+00,3.7757e+00,7.0597e+00,2.9472e+01,-7.1491e+02
2.3182e-03,-1.6434e+00,3.7650e+00,7.0472e+00,2.9446e+01,-7.2333e+02
2.6784e-02,-1.9240e+00,3.7472e+00,6.9152e+00,2.9411e+01,-7.2291e+02
