niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.2863e+05,-1.2864e+05,-2.4969e-03,-1.2864e+05,1.2922e-01,6.6871e+00,inf,8.3994e-01,-2.6831e-02,-1.4816e+00,1.1163e+00,3.4556e+00,3.9445e+00,5.2893e+00,5.7827e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.2718e+05,-1.2718e+05,-4.9938e-03,-1.2718e+05,1.2924e-01,6.6896e+00,1.2604e+05,1.6589e+00,-6.6183e-01,-1.3484e+00,-1.2528e-01,3.2593e+00,4.0279e+00,4.6402e+00,5.7024e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.2640e+05,-1.2640e+05,-7.4906e-03,-1.2640e+05,1.2926e-01,6.6921e+00,1.2459e+05,2.4795e+00,-6.3093e-01,-1.9361e+00,-6.5729e-02,1.2572e-01,3.2840e+00,4.7218e+00,5.5938e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.2633e+05,-1.2634e+05,-9.9875e-03,-1.2634e+05,1.2929e-01,6.6946e+00,1.2381e+05,3.3119e+00,-2.5311e-01,-1.4600e+00,-4.1343e-01,2.8512e+00,3.8032e+00,2.6584e+00,5.7695e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.2591e+05,-1.2591e+05,-1.2484e-02,-1.2591e+05,1.2931e-01,6.6971e+00,1.2375e+05,4.1527e+00,-5.1427e-01,-1.8607e+00,-3.2001e-01,3.2631e+00,7.6673e-01,3.4692e+00,5.7935e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.2572e+05,-1.2572e+05,-1.4981e-02,-1.2572e+05,1.2934e-01,6.6996e+00,1.2332e+05,4.9983e+00,-9.2384e-01,-5.6973e-01,-3.4134e-01,2.5267e-01,4.2093e+00,4.7262e+00,5.7477e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.2567e+05,-1.2568e+05,-1.7478e-02,-1.2568e+05,1.2936e-01,6.7021e+00,1.2313e+05,5.6433e+00,-7.2510e-02,-1.0289e+00,5.1031e-01,3.8653e+00,2.2395e+00,4.6136e+00,5.7358e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.2536e+05,-1.2537e+05,-1.9975e-02,-1.2537e+05,1.2939e-01,6.7046e+00,1.2308e+05,6.2965e+00,8.0521e-02,-6.4461e-01,5.3542e-02,9.7232e-01,3.2609e+00,4.9892e+00,5.7920e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.2503e+05,-1.2504e+05,-2.2472e-02,-1.2504e+05,1.2941e-01,6.7071e+00,1.2277e+05,6.9816e+00,-9.6318e-01,-1.6140e+00,5.8355e-01,-2.0750e-02,2.3483e+00,4.7926e+00,5.5499e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.2502e+05,-1.2502e+05,-2.4969e-02,-1.2502e+05,1.2943e-01,6.7096e+00,1.2244e+05,7.6948e+00,-1.0303e-01,-1.4857e+00,1.2817e-02,3.6097e-01,1.1306e+00,2.3266e+00,5.6605e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.2478e+05,-1.2479e+05,-2.7466e-02,-1.2479e+05,1.2946e-01,6.7121e+00,1.2243e+05,8.5431e+00,-5.2262e-01,-8.1771e-01,1.2008e+00,1.6080e+00,1.7738e+00,5.0655e+00,5.5791e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.2452e+05,-1.2453e+05,-2.9963e-02,-1.2453e+05,1.2948e-01,6.7146e+00,1.2219e+05,9.3693e+00,-1.0873e-01,-1.7345e+00,6.2655e-01,9.0515e-01,9.7222e-01,4.9653e+00,5.4975e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.2444e+05,-1.2445e+05,-3.2459e-02,-1.2445e+05,1.2951e-01,6.7171e+00,1.2193e+05,1.0042e+01,1.4539e-01,-1.1995e+00,1.8312e+00,2.3362e+00,2.1536e+00,5.1169e+00,5.8331e+00
1.4000e+01,1.0000e+00,3.3816e+00,-1.2375e+05,-1.2376e+05,-3.4956e-02,-1.2376e+05,1.2953e-01,6.7196e+00,1.2185e+05,1.0913e+01,-3.3407e-01,-6.1285e-01,1.6288e+00,2.7175e-01,2.7527e+00,1.8656e+00,5.8571e+00
1.5000e+01,1.0000e+00,3.6145e+00,-1.2367e+05,-1.2368e+05,-3.7453e-02,-1.2368e+05,1.2955e-01,6.7221e+00,1.2116e+05,1.1749e+01,2.0650e-01,-1.3703e+00,2.9995e-01,1.1342e+00,3.3341e+00,5.3742e+00,4.0648e+00
1.6000e+01,1.0000e+00,3.8462e+00,-1.2366e+05,-1.2367e+05,-3.9950e-02,-1.2367e+05,1.2958e-01,6.7244e+00,1.2109e+05,1.2570e+01,-7.8162e-01,-1.5957e+00,-7.2130e-01,7.2863e-01,4.2522e+00,5.2619e+00,1.8728e+00
1.7000e+01,1.0000e+00,4.0767e+00,-1.2348e+05,-1.2348e+05,-4.2447e-02,-1.2348e+05,1.2960e-01,6.7271e+00,1.2107e+05,1.3422e+01,-8.9726e-01,-1.2969e+00,3.6084e-01,2.7646e-01,1.0054e+00,5.0338e+00,5.3449e+00
