niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.9431e+05,-1.9432e+05,-2.4969e-03,-1.9432e+05,1.2922e-01,6.6871e+00,inf,1.5647e+00,1.4012e-01,-7.5109e-01,-5.2654e-01,4.4162e-01,1.2282e+00,2.0921e-01,4.8919e+00,2.2354e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.9431e+05,-1.9432e+05,-4.9938e-03,-1.9432e+05,1.2213e-01,5.9738e+00,1.4587e+05,2.8683e+00,-5.9412e-01,-1.2165e+00,-2.3730e+00,1.1208e+00,2.4124e+00,2.3768e+00,4.9135e+00,2.2894e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.9395e+05,-1.9395e+05,-7.4906e-03,-1.9395e+05,1.2926e-01,6.6921e+00,1.4587e+05,4.2758e+00,4.7627e-01,-1.0842e+00,-1.5952e-01,8.8407e-01,1.0856e+00,8.5151e-01,4.8594e+00,2.2480e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.9366e+05,-1.9367e+05,-9.9875e-03,-1.9367e+05,1.2929e-01,6.6946e+00,1.4550e+05,5.7015e+00,-7.4482e-01,-9.2243e-01,7.1288e-01,-1.2165e+00,2.7725e+00,3.1255e+00,4.6022e+00,2.2189e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.9338e+05,-1.9339e+05,-1.2484e-02,-1.9339e+05,1.2931e-01,6.6971e+00,1.4522e+05,6.9811e+00,-1.9678e-01,-1.3328e+00,-2.6779e+00,6.9017e-01,2.7355e+00,3.9790e+00,4.6556e+00,2.2923e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.9330e+05,-1.9331e+05,-1.4981e-02,-1.9331e+05,1.2934e-01,6.6996e+00,1.4494e+05,8.4045e+00,-4.1416e-01,-7.7647e-01,1.1283e+00,1.9487e+00,-7.2781e-01,5.8241e-01,4.8574e+00,2.2722e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.9298e+05,-1.9299e+05,-1.7478e-02,-1.9299e+05,1.2936e-01,6.7021e+00,1.4486e+05,9.7223e+00,4.9157e-01,-1.1494e+00,6.7993e-01,-1.3691e+00,-4.4808e-01,1.4310e+00,4.7544e+00,2.2518e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.9289e+05,-1.9289e+05,-1.9975e-02,-1.9289e+05,1.2939e-01,6.7046e+00,1.4454e+05,1.1128e+01,-4.3809e-01,-1.9054e+00,-1.0505e+00,1.1451e+00,1.9484e+00,8.8607e-01,4.3870e+00,2.2144e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.9279e+05,-1.9279e+05,-2.2472e-02,-1.9279e+05,1.2941e-01,6.7071e+00,1.4444e+05,1.2544e+01,3.5482e-01,-8.8113e-01,-1.3725e+00,-1.6964e+00,1.5213e+00,3.2131e+00,4.6420e+00,2.2547e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.9269e+05,-1.9269e+05,-2.4969e-02,-1.9269e+05,1.2943e-01,6.7096e+00,1.4434e+05,1.4188e+01,4.5366e-01,-8.7605e-01,9.6463e-01,-1.3801e+00,2.2137e+00,3.0341e+00,4.7813e+00,2.2573e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.9248e+05,-1.9249e+05,-2.7466e-02,-1.9249e+05,1.2946e-01,6.7121e+00,1.4424e+05,1.5505e+01,-1.6083e-01,-1.8590e+00,3.9547e-01,3.0989e-01,-3.6318e-01,2.6947e+00,4.6680e+00,2.2991e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.9229e+05,-1.9230e+05,-2.9963e-02,-1.9230e+05,1.2948e-01,6.7146e+00,1.4404e+05,1.6908e+01,-9.0637e-01,-1.6110e+00,-6.3759e-01,2.3779e-01,2.6061e+00,3.3028e-01,4.7618e+00,2.3700e+01
1.3000e+01,1.0000e+00,3.1477e+00,-1.9193e+05,-1.9193e+05,-3.2459e-02,-1.9193e+05,1.2951e-01,6.7171e+00,1.4385e+05,1.8175e+01,3.3783e-01,-7.8447e-01,1.0901e+00,2.0971e+00,1.2409e+00,1.3546e+00,4.6092e+00,2.2253e+01
1.4000e+01,1.0000e+00,3.3816e+00,-1.9175e+05,-1.9175e+05,-3.4956e-02,-1.9175e+05,1.2953e-01,6.7196e+00,1.4348e+05,1.9578e+01,-9.8817e-01,-1.0616e+00,-4.5909e-01,-7.9293e-01,1.6191e+00,4.0218e+00,3.6724e+00,2.2651e+01
1.5000e+01,1.0000e+00,3.6145e+00,-1.9168e+05,-1.9169e+05,-3.7453e-02,-1.9169e+05,1.2955e-01,6.7221e+00,1.4330e+05,2.0856e+01,-6.7716e-01,-1.9724e+00,6.8563e-01,-1.2890e+00,-1.1546e-01,4.0785e+00,4.2470e+00,2.3225e+01
1.6000e+01,1.0000e+00,3.8462e+00,-1.9148e+05,-1.9148e+05,-3.9950e-02,-1.9148e+05,1.2958e-01,6.7246e+00,1.4324e+05,2.2259e+01,1.8598e-01,-1.2359e+00,-9.6886e-02,4.2504e-01,-7.7875e-01,2.3800e+00,4.2139e+00,2.2021e+01
1.7000e+01,1.0000e+00,4.0767e+00,-1.9148e+05,-1.9148e+05,-4.2447e-02,-1.9148e+05,1.1964e-01,5.7323e+00,1.4303e+05,2.3665e+01,-3.7116e-01,-1.1470e+00,-2.5995e+00,2.2487e+00,1.3523e+00,3.2265e+00,4.6609e+00,2.3708e+01
1.8000e+01,1.0000e+00,4.3062e+00,-1.9145e+05,-1.9145e+05,-4.4944e-02,-1.9145e+05,1.2963e-01,6.7296e+00,1.4303e+05,2.5187e+01,-5.8994e-02,-1.6075e+00,-4.3614e-01,4.8582e-01,-3.2237e-01,2.7369e+00,4.7084e+00,2.3784e+01
1.9000e+01,1.0000e+00,4.5346e+00,-1.9140e+05,-1.9140e+05,-4.7441e-02,-1.9140e+05,1.2965e-01,6.7321e+00,1.4300e+05,2.6480e+01,-8.0872e-01,-1.8307e+00,1.5535e-01,-7.7629e-01,2.4826e+00,1.4226e+00,4.4317e+00,2.3183e+01
2.0000e+01,1.0000e+00,4.7619e+00,-1.9139e+05,-1.9140e+05,-4.9938e-02,-1.9140e+05,1.2479e-01,6.2372e+00,1.4295e+05,2.7925e+01,-9.0816e-01,-1.9653e+00,-7.3675e-01,-6.6742e-01,6.5749e-01,4.0030e+00,4.1266e+00,2.3421e+01
2.1000e+01,1.0000e+00,4.9881e+00,-1.9126e+05,-1.9126e+05,-5.2434e-02,-1.9126e+05,1.2970e-01,6.7370e+00,1.4295e+05,2.9444e+01,2.6437e-01,-1.0077e+00,-2.9719e-01,2.2176e+00,1.5412e+00,9.7044e-01,4.6095e+00,2.3309e+01
2.2000e+01,1.0000e+00,5.2133e+00,-1.9108e+05,-1.9108e+05,-5.4931e-02,-1.9108e+05,1.2972e-01,6.7395e+00,1.4281e+05,3.0844e+01,2.7714e-01,-1.3851e+00,-1.7207e+00,1.2854e+00,2.0406e+00,3.2578e+00,4.7267e+00,2.4001e+01
2.3000e+01,1.0000e+00,5.4374e+00,-1.9097e+05,-1.9097e+05,-5.7428e-02,-1.9097e+05,1.2975e-01,6.7420e+00,1.4263e+05,3.2276e+01,-8.3699e-01,-1.2845e+00,1.1627e+00,-1.4663e+00,2.2853e+00,4.0508e+00,1.8057e+00,2.2224e+01
2.4000e+01,1.0000e+00,5.6604e+00,-1.9092e+05,-1.9093e+05,-5.9925e-02,-1.9093e+05,1.2977e-01,6.7445e+00,1.4252e+05,3.3547e+01,-4.0902e-01,-1.3151e+00,-9.1214e-02,1.6974e-01,1.9970e+00,3.4927e+00,4.1987e+00,2.2990e+01
2.5000e+01,2.0000e+00,5.8685e+00,-1.9087e+05,-1.9088e+05,-6.2422e-02,-1.9088e+05,1.2979e-01,6.7470e+00,1.4248e+05,3.6546e+01,-8.6234e-02,-1.0700e+00,-1.0003e+00,-9.3870e-01,6.5208e-01,3.8077e+00,3.6213e+00,2.2408e+01
2.6000e+01,2.0000e+00,6.0748e+00,-1.9086e+05,-1.9086e+05,-6.4919e-02,-1.9086e+05,1.2982e-01,6.7494e+00,1.4242e+05,3.9238e+01,-3.7174e-01,-1.1661e+00,-1.2245e+00,-1.0138e+00,8.6863e-01,1.8804e+00,4.5344e+00,2.3741e+01
2.7000e+01,1.0000e+00,6.2937e+00,-1.9083e+05,-1.9084e+05,-6.7416e-02,-1.9084e+05,1.2984e-01,6.7520e+00,1.4241e+05,4.0626e+01,4.9674e-01,-1.3983e+00,7.6703e-01,5.4277e-01,2.6892e+00,3.6501e+00,4.0527e+00,2.2159e+01
2.8000e+01,1.0000e+00,6.5116e+00,-1.9082e+05,-1.9082e+05,-6.9913e-02,-1.9082e+05,1.2987e-01,6.7544e+00,1.4239e+05,4.2046e+01,-5.7578e-01,-1.6373e+00,7.1910e-01,-2.6541e-01,2.4284e+00,3.9081e+00,4.4266e+00,2.3860e+01
2.9000e+01,1.0000e+00,6.7285e+00,-1.9078e+05,-1.9079e+05,-7.2410e-02,-1.9079e+05,1.2989e-01,6.7570e+00,1.4237e+05,4.3332e+01,-6.9246e-01,-1.6479e+00,-3.7842e-01,7.8008e-01,2.8069e+00,8.1386e-01,4.1354e+00,2.2776e+01
3.0000e+01,1.0000e+00,6.9444e+00,-1.9077e+05,-1.9078e+05,-7.4906e-02,-1.9078e+05,1.2972e-01,6.7394e+00,1.4233e+05,4.4627e+01,-4.2551e-01,-1.0129e+00,7.5854e-01,5.5690e-01,5.8843e-01,1.1421e+00,4.3966e+00,2.2866e+01
3.1000e+01,1.0000e+00,7.1594e+00,-1.9070e+05,-1.9071e+05,-7.7403e-02,-1.9071e+05,1.2994e-01,6.7620e+00,1.4233e+05,4.5916e+01,-3.6660e-01,-5.5921e-01,-1.2524e+00,2.0390e+00,2.1490e+00,2.3310e+00,4.6988e+00,2.3987e+01
3.2000e+01,1.0000e+00,7.3733e+00,-1.9068e+05,-1.9069e+05,-7.9900e-02,-1.9069e+05,1.2996e-01,6.7645e+00,1.4226e+05,4.7200e+01,-8.6043e-01,-1.2291e+00,-1.9766e+00,1.8729e-01,-1.5649e-02,1.5053e-01,4.4867e+00,2.3869e+01
3.3000e+01,1.0000e+00,7.5862e+00,-1.9063e+05,-1.9064e+05,-8.2397e-02,-1.9064e+05,1.2999e-01,6.7670e+00,1.4224e+05,4.8509e+01,-8.7022e-01,-8.7048e-01,2.0284e-01,-4.7176e-01,2.2575e+00,2.2468e+00,4.2658e+00,2.2930e+01
3.4000e+01,1.0000e+00,7.7982e+00,-1.9054e+05,-1.9055e+05,-8.4894e-02,-1.9055e+05,1.3001e-01,6.7695e+00,1.4219e+05,5.0063e+01,4.9198e-01,-1.7308e+00,-1.4961e+00,5.3938e-01,-1.0863e+00,3.7112e+00,4.8445e+00,2.4784e+01
3.5000e+01,1.0000e+00,8.0092e+00,-1.9047e+05,-1.9048e+05,-8.7391e-02,-1.9048e+05,1.3003e-01,6.7720e+00,1.4210e+05,5.1473e+01,-7.5791e-02,-1.6711e+00,7.2378e-01,8.5767e-01,7.6828e-01,1.0454e+00,4.2708e+00,2.2493e+01
3.6000e+01,1.0000e+00,8.2192e+00,-1.9045e+05,-1.9046e+05,-8.9888e-02,-1.9046e+05,1.3006e-01,6.7745e+00,1.4203e+05,5.3054e+01,-7.3454e-01,-1.3687e+00,-1.8068e+00,-1.2237e+00,2.4587e+00,3.7489e+00,3.4511e+00,2.2788e+01
3.7000e+01,1.0000e+00,8.4282e+00,-1.9040e+05,-1.9040e+05,-9.2385e-02,-1.9040e+05,1.3008e-01,6.7770e+00,1.4201e+05,5.4389e+01,-9.1195e-01,-1.9115e+00,-2.5584e+00,3.3016e-01,4.9625e-01,4.1072e+00,1.3698e+00,2.3637e+01
3.8000e+01,1.0000e+00,8.6364e+00,-1.9030e+05,-1.9030e+05,-9.4881e-02,-1.9030e+05,1.3011e-01,6.7795e+00,1.4195e+05,5.5928e+01,-9.4816e-01,-1.9023e+00,-4.5059e-01,-6.5775e-01,7.9311e-01,1.3631e+00,4.4247e+00,2.4035e+01
3.9000e+01,1.0000e+00,8.8435e+00,-1.9027e+05,-1.9027e+05,-9.7378e-02,-1.9027e+05,1.3013e-01,6.7820e+00,1.4185e+05,5.7473e+01,1.7782e-01,-1.8480e+00,-1.1546e+00,1.2358e+00,-1.0740e+00,3.8213e+00,2.7764e+00,2.2348e+01
4.0000e+01,1.0000e+00,9.0498e+00,-1.9025e+05,-1.9025e+05,-9.9875e-02,-1.9025e+05,1.3015e-01,6.7845e+00,1.4182e+05,5.8984e+01,1.8765e-01,-1.1502e+00,5.4336e-01,2.1659e+00,2.7372e+00,3.9074e+00,3.1427e+00,2.2463e+01
4.1000e+01,2.0000e+00,9.2342e+00,-1.9024e+05,-1.9025e+05,-1.0237e-01,-1.9025e+05,1.3015e-01,6.7838e+00,1.4180e+05,6.1715e+01,-9.7244e-01,-7.1682e-01,-4.7533e-01,1.8630e+00,1.7929e+00,3.9896e+00,4.5034e+00,2.4545e+01
4.2000e+01,1.0000e+00,9.4382e+00,-1.9010e+05,-1.9011e+05,-1.0487e-01,-1.9011e+05,1.3020e-01,6.7895e+00,1.4179e+05,6.3025e+01,-8.7284e-01,-1.5005e+00,1.4740e-01,-1.1640e+00,1.0861e+00,1.2008e+00,4.8335e+00,2.5339e+01
4.3000e+01,1.0000e+00,9.6413e+00,-1.9003e+05,-1.9003e+05,-1.0737e-01,-1.9003e+05,1.3023e-01,6.7920e+00,1.4166e+05,6.4448e+01,-9.4275e-01,-1.5514e+00,-1.2792e+00,7.5289e-01,-1.0158e+00,3.7868e+00,1.8910e+00,2.2687e+01
4.4000e+01,1.0000e+00,9.8434e+00,-1.9001e+05,-1.9002e+05,-1.0986e-01,-1.9002e+05,1.3025e-01,6.7945e+00,1.4158e+05,6.5868e+01,-9.9655e-01,-1.2175e+00,2.6797e-01,3.0888e-02,2.4305e+00,2.2259e+00,4.4755e+00,2.4263e+01
4.5000e+01,1.0000e+00,1.0045e+01,-1.9000e+05,-1.9000e+05,-1.1236e-01,-1.9000e+05,1.3027e-01,6.7970e+00,1.4157e+05,6.7167e+01,3.4370e-01,-1.3216e+00,8.5340e-01,-1.1210e+00,1.8221e+00,2.0074e+00,4.8320e+00,2.4628e+01
4.6000e+01,1.0000e+00,1.0245e+01,-1.8996e+05,-1.8997e+05,-1.1486e-01,-1.8997e+05,1.3030e-01,6.7995e+00,1.4155e+05,6.8711e+01,1.3353e-01,-6.0185e-01,-1.2607e+00,-5.4608e-01,3.6405e-01,3.4194e+00,4.5401e+00,2.4137e+01
4.7000e+01,1.0000e+00,1.0444e+01,-1.8992e+05,-1.8993e+05,-1.1735e-01,-1.8993e+05,1.3032e-01,6.8020e+00,1.4151e+05,6.9992e+01,3.5539e-01,-1.5836e+00,-1.7397e+00,1.0650e+00,2.4825e+00,4.0434e+00,3.4992e+00,2.3650e+01
4.8000e+01,1.0000e+00,1.0643e+01,-1.8991e+05,-1.8991e+05,-1.1985e-01,-1.8991e+05,1.3035e-01,6.8044e+00,1.4148e+05,7.1402e+01,3.8252e-01,-1.1271e+00,1.1814e-01,7.3490e-01,1.9131e+00,3.7947e+00,3.8943e+00,2.3040e+01
4.9000e+01,2.0000e+00,1.0817e+01,-1.8990e+05,-1.8991e+05,-1.2235e-01,-1.8991e+05,1.2882e-01,6.6461e+00,1.4146e+05,7.4237e+01,7.2491e-02,-9.1386e-01,-2.6916e+00,-5.9053e-01,1.1982e+00,3.8317e+00,2.2915e+00,2.2600e+01
5.0000e+01,1.0000e+00,1.1013e+01,-1.8989e+05,-1.8990e+05,-1.2484e-01,-1.8990e+05,1.3039e-01,6.8094e+00,1.4146e+05,7.5887e+01,-2.5804e-01,-7.0726e-01,-3.8773e-01,2.0537e+00,2.7429e+00,3.2428e+00,4.5177e+00,2.4304e+01
5.1000e+01,1.0000e+00,1.1209e+01,-1.8983e+05,-1.8984e+05,-1.2734e-01,-1.8984e+05,1.3042e-01,6.8120e+00,1.4144e+05,7.7432e+01,4.4875e-01,-1.7793e+00,-2.6477e+00,6.4179e-01,-6.6747e-01,3.9118e+00,2.2384e+00,2.2968e+01
5.2000e+01,1.0000e+00,1.1404e+01,-1.8981e+05,-1.8982e+05,-1.2984e-01,-1.8982e+05,1.3044e-01,6.8145e+00,1.4139e+05,7.8701e+01,1.9689e-01,-1.5446e+00,-1.1723e+00,6.3389e-02,-1.0416e+00,2.5788e+00,4.1538e+00,2.3171e+01
5.3000e+01,1.0000e+00,1.1597e+01,-1.8975e+05,-1.8975e+05,-1.3233e-01,-1.8975e+05,1.3046e-01,6.8169e+00,1.4136e+05,7.9965e+01,3.6627e-01,-9.6179e-01,-2.5945e+00,1.6006e+00,3.5606e-01,3.8548e+00,2.8677e+00,2.2627e+01
5.4000e+01,1.0000e+00,1.1790e+01,-1.8974e+05,-1.8974e+05,-1.3483e-01,-1.8974e+05,1.3048e-01,6.8184e+00,1.4130e+05,8.1383e+01,-5.7611e-01,-1.5600e+00,-2.2621e+00,1.8389e+00,6.8136e-01,2.7121e+00,4.1728e+00,2.3415e+01
5.5000e+01,1.0000e+00,1.1983e+01,-1.8969e+05,-1.8970e+05,-1.3733e-01,-1.8970e+05,1.3051e-01,6.8219e+00,1.4129e+05,8.2643e+01,-8.4682e-01,-6.3678e-01,-2.1703e+00,1.8965e+00,-1.0819e+00,8.0273e-01,4.2921e+00,2.3551e+01
