logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-4.0823e-01,-7.3503e-01,1.3429e+00,1.3898e+00,8.6712e-01,2.8807e+00,3.5730e+00,2.9292e+01,-1.1548e+05
-2.1445e-02,-9.0556e-01,2.5797e+00,1.3072e+00,1.8048e+00,2.1730e+00,3.8665e+00,3.2204e+01,-1.0948e+05
4.7409e-01,-1.9077e+00,2.3127e+00,2.4233e+00,6.7770e-01,3.4407e+00,3.5700e+00,3.0160e+01,-1.0437e+05
-7.0988e-01,-1.0326e+00,1.6440e+00,1.5980e+00,6.5258e-01,2.9568e+00,4.2143e+00,2.9692e+01,-1.1268e+05
2.0322e-01,-1.7843e+00,1.5507e+00,2.5845e+00,1.2514e+00,5.3081e+00,4.2041e+00,3.2637e+01,-1.1525e+05
-3.5627e-01,-1.2461e+00,2.3670e+00,2.4645e+00,3.1446e+00,1.9629e+00,2.4733e+00,3.2064e+01,-1.1156e+05
-3.7870e-01,-6.4318e-01,2.6584e+00,4.1772e-01,3.5558e+00,2.7749e+00,3.6984e+00,3.1612e+01,-1.1131e+05
1.8579e-01,-5.1188e-01,2.5689e+00,2.9341e+00,1.5173e+00,4.1083e+00,4.3479e+00,2.9783e+01,-1.1832e+05
2.2708e-01,-1.9083e+00,2.1303e+00,3.0358e+00,8.3511e-01,3.9049e+00,2.4857e+00,2.9693e+01,-1.1796e+05
-3.4138e-01,-1.2823e+00,1.3455e-01,9.7433e-01,8.6942e-01,2.7503e+00,4.7395e+00,3.0604e+01,-6.8990e+04
-3.4466e-01,-1.0818e+00,2.4065e+00,2.2692e+00,3.2003e+00,2.2079e+00,5.4198e+00,3.2324e+01,-7.2582e+04
1.6765e-01,-1.2668e+00,-3.7909e-01,7.9153e-01,4.2732e+00,3.3232e+00,5.5547e+00,3.2719e+01,-3.5600e+04
1.4751e-01,-1.4646e+00,1.4451e-01,8.4705e-01,3.9909e+00,2.0241e+00,2.8285e+00,3.0389e+01,-1.1722e+05
-1.4699e-01,-7.9348e-01,1.8674e+00,2.4339e+00,3.7812e-01,3.7792e+00,3.1696e+00,2.9723e+01,-1.1646e+05
-3.5405e-01,-9.2996e-01,1.1260e+00,1.1627e+00,5.7297e-01,4.1149e+00,4.1014e+00,2.9945e+01,-8.0319e+04
8.9988e-02,-6.4987e-01,1.8503e+00,2.1628e+00,1.5408e+00,2.2142e+00,3.7762e+00,3.1630e+01,-1.1676e+05
4.9614e-01,-1.8498e+00,5.9524e-01,2.3430e+00,1.2822e+00,3.2015e+00,4.5674e+00,2.9988e+01,-5.7258e+04
-1.2024e-01,-1.1862e+00,2.3979e+00,1.7434e+00,1.6253e+00,3.5639e+00,3.2909e+00,2.9917e+01,-1.0059e+05
-1.0471e-01,-1.9381e+00,2.5418e+00,2.6948e+00,2.0042e+00,2.3799e+00,2.8776e+00,3.1251e+01,-1.0192e+05
3.0369e-01,-1.4385e+00,2.6156e+00,2.8670e-01,9.5087e-01,3.0243e+00,4.5116e+00,2.9617e+01,-1.1145e+05
-6.5254e-01,-6.3857e-01,1.7042e+00,1.0360e+00,5.4765e-01,2.4844e+00,3.3820e+00,3.1100e+01,-1.1507e+05
6.7521e-02,-1.2420e+00,2.3022e+00,1.0214e+00,8.8975e-01,2.3800e+00,3.7230e+00,3.0080e+01,-9.8772e+04
1.7425e-01,-7.6164e-01,-9.9439e-01,1.3434e+00,7.0557e-01,2.5226e+00,2.7939e+00,2.9493e+01,-1.1859e+05
-7.8543e-02,-1.0319e+00,2.2208e+00,2.0133e+00,9.7259e-01,2.5145e+00,4.1959e+00,2.9384e+01,-1.0893e+05
-7.4280e-01,-8.9437e-01,-7.5819e-01,1.2448e+00,2.7936e+00,2.0210e+00,5.6450e+00,3.2782e+01,-6.9667e+04
4.6856e-01,-6.7815e-01,1.2444e+00,3.4882e+00,3.2754e+00,4.4753e+00,2.5998e+00,3.0758e+01,-1.1213e+05
4.8581e-01,-1.2403e+00,2.6906e+00,3.0862e+00,2.1646e+00,2.6507e+00,4.5719e+00,3.0360e+01,-1.1566e+05
2.7077e-01,-1.9378e+00,-6.8883e-01,2.6766e+00,3.9408e+00,4.8972e+00,3.8322e+00,3.1768e+01,-1.1246e+05
-3.7929e-01,-1.5046e+00,2.0928e+00,-8.6755e-02,1.9931e+00,3.7962e+00,2.7159e+00,3.1927e+01,-1.1561e+05
-4.8804e-01,-1.6893e+00,2.1702e+00,3.0519e+00,1.1302e+00,1.7874e+00,3.2493e+00,3.0202e+01,-1.1053e+05
-7.0333e-01,-1.2798e+00,2.3333e+00,2.7663e+00,3.0945e+00,2.0139e+00,4.1670e+00,3.1182e+01,-1.1754e+05
-1.5261e-01,-1.1201e+00,-1.2497e+00,2.4592e+00,2.0520e+00,3.4168e+00,4.7031e+00,3.0381e+01,-1.0598e+05
2.0247e-02,-1.7255e+00,-7.1534e-01,7.1589e-01,1.9668e+00,3.9767e+00,3.0863e+00,2.9239e+01,-1.1025e+05
-6.3702e-01,-5.9027e-01,2.3550e+00,1.1768e+00,2.8605e+00,3.7240e+00,3.0447e+00,3.0604e+01,-1.1078e+05
-4.3761e-01,-1.9801e+00,2.3909e+00,9.8683e-01,1.6774e+00,2.5072e+00,3.5180e+00,3.2113e+01,-1.0898e+05
2.3272e-02,-1.5596e+00,2.1761e+00,1.4181e+00,2.1378e+00,2.1185e+00,5.3908e+00,3.2029e+01,-8.7920e+04
3.7873e-01,-1.3874e+00,2.1103e+00,1.6478e+00,1.7209e+00,1.7019e+00,3.0420e+00,2.9672e+01,-9.3438e+04
-4.0597e-01,-1.8772e+00,2.1003e+00,5.3630e-01,1.3262e+00,2.2201e+00,3.3452e+00,3.2063e+01,-1.1177e+05
-7.1535e-01,-1.5577e+00,2.7270e+00,2.7902e+00,1.7110e+00,1.7241e+00,3.6480e+00,2.9679e+01,-9.9821e+04
-1.0007e-02,-1.7446e+00,2.7305e+00,3.1524e+00,3.1111e+00,1.7117e+00,2.9592e+00,3.2224e+01,-1.1068e+05
-5.2954e-01,-1.8834e+00,-5.5586e-01,1.0695e+00,2.3466e+00,2.7556e+00,2.6172e+00,2.9846e+01,-1.1872e+05
-3.6077e-01,-1.1037e+00,2.5891e+00,1.5984e-02,1.3864e+00,1.9703e+00,4.1618e+00,3.0276e+01,-1.0408e+05
-2.1595e-01,-6.1734e-01,-2.9297e-01,1.6353e+00,1.7449e+00,1.8531e+00,2.7514e+00,3.2082e+01,-1.1859e+05
1.9531e-01,-1.1757e+00,2.1023e+00,1.7248e+00,3.4638e+00,2.5250e+00,3.2650e+00,3.1303e+01,-1.1437e+05
-6.0488e-01,-7.4679e-01,2.2724e+00,2.7447e+00,1.2186e+00,1.6615e+00,2.8182e+00,3.0838e+01,-1.0651e+05
-5.2816e-01,-5.2318e-01,1.1443e+00,2.7871e+00,3.9885e+00,1.6755e+00,4.2563e+00,3.0307e+01,-4.7093e+04
1.7370e-01,-1.5240e+00,2.0069e+00,1.7964e+00,4.6104e-01,3.3427e+00,4.2208e+00,2.9955e+01,-1.1566e+05
