logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
3.0870e-02,-1.2978e+00,1.6568e+00,2.5354e+00,9.1061e-01,1.9826e+00,3.8678e+00,2.9486e+01,-8.2696e+02
1.2656e-01,-1.5894e+00,1.1563e+00,2.3250e+00,6.7800e-01,1.6128e+00,3.4962e+00,2.8592e+01,-7.2777e+02
1.9835e-02,-1.5540e+00,1.6345e+00,2.1343e+00,1.8859e+00,3.4988e+00,2.6661e+00,2.9107e+01,-8.3553e+02
2.4759e-01,-1.7346e+00,1.5530e+00,2.1920e+00,8.2267e-01,3.2612e+00,3.3798e+00,2.8952e+01,-7.9529e+02
1.1832e-02,-1.8855e+00,1.7150e+00,2.4434e+00,1.9804e+00,2.6538e+00,3.7641e+00,2.9433e+01,-5.5263e+02
1.0747e-01,-1.4731e+00,1.5620e+00,2.2811e+00,1.1546e+00,3.3390e+00,3.1216e+00,2.9006e+01,-7.7477e+02
2.2171e-01,-1.1399e+00,1.7151e+00,2.3466e+00,2.1249e+00,3.5027e+00,2.7292e+00,2.9189e+01,-6.6350e+02
1.5078e-01,-1.3103e+00,1.6241e+00,1.8159e+00,2.3390e+00,2.2612e+00,3.5212e+00,2.8675e+01,-8.7152e+02
1.2319e-01,-1.6373e+00,1.6913e+00,2.5111e+00,5.6591e-01,2.4958e+00,3.8453e+00,2.9446e+01,-5.1748e+02
2.9333e-02,-1.9326e+00,1.6991e+00,2.3940e+00,7.1001e-01,2.9829e+00,3.6860e+00,2.9310e+01,-6.3873e+02
-8.1692e-01,-1.5529e+00,1.7192e+00,2.2683e+00,1.0829e+00,3.0861e+00,3.7075e+00,2.9628e+01,-8.6051e+02
1.2441e-01,-1.3604e+00,1.6010e+00,2.3906e+00,2.7126e+00,3.3689e+00,2.9674e+00,2.9314e+01,-8.1755e+02
1.2810e-01,-1.8834e+00,1.7257e+00,2.1884e+00,2.9610e+00,2.3708e+00,3.5139e+00,2.9310e+01,-6.5087e+02
-1.0837e-02,-1.8738e+00,1.6340e+00,2.4389e+00,2.2168e+00,3.2429e+00,3.5502e+00,2.9437e+01,-6.7047e+02
1.1899e-01,-1.5764e+00,1.7298e+00,2.0482e+00,1.5395e+00,2.1838e+00,3.6986e+00,2.8988e+01,-5.9553e+02
-1.5837e-02,-1.8347e+00,1.3895e+00,2.4922e+00,4.5428e-01,2.5531e+00,3.6904e+00,2.9239e+01,-8.2595e+02
-7.1779e-02,-1.2941e+00,1.7077e+00,2.4333e+00,1.2808e+00,3.5132e+00,3.0896e+00,2.9407e+01,-7.6931e+02
8.4102e-02,-1.5221e+00,1.6805e+00,1.8736e+00,6.5480e-01,2.1442e+00,3.6356e+00,2.8807e+01,-7.7166e+02
1.9926e-01,-1.9538e+00,1.4934e+00,2.2127e+00,2.0764e+00,2.9532e+00,3.4671e+00,2.8890e+01,-6.7071e+02
-6.0716e-02,-1.6181e+00,1.6342e+00,2.3799e+00,6.8184e-01,2.1295e+00,3.7802e+00,2.9346e+01,-8.0263e+02
9.5750e-02,-1.4655e+00,1.2974e+00,2.2114e+00,7.7092e-01,3.0804e+00,3.1265e+00,2.8532e+01,-8.0817e+02
5.2810e-03,-1.6329e+00,1.7125e+00,2.1332e+00,1.8188e+00,3.3546e+00,3.2046e+00,2.9097e+01,-7.8713e+02
-1.7016e-01,-1.9855e+00,1.6640e+00,1.9969e+00,1.1081e+00,2.5399e+00,3.6436e+00,2.9044e+01,-8.2923e+02
1.3772e-01,-1.7648e+00,1.4464e+00,2.4073e+00,1.6005e+00,3.4401e+00,3.1595e+00,2.9204e+01,-8.5090e+02
6.2109e-02,-1.1601e+00,1.6899e+00,2.5757e+00,1.5853e+00,2.2751e+00,3.8729e+00,2.9514e+01,-7.8123e+02
1.8588e-01,-1.2851e+00,9.9553e-01,2.4105e+00,1.4502e+00,1.9855e+00,3.4319e+00,2.8541e+01,-8.3233e+02
-1.2127e-01,-1.0211e+00,1.6278e+00,2.2095e+00,7.7132e-01,3.1533e+00,3.3663e+00,2.8984e+01,-7.5644e+02
1.9361e-01,-1.3243e+00,1.6181e+00,2.1997e+00,1.2528e+00,2.3153e+00,3.6652e+00,2.8889e+01,-5.7209e+02
1.2849e-01,-1.5868e+00,1.5223e+00,2.4259e+00,6.9037e-01,1.9387e+00,3.7638e+00,2.9185e+01,-7.5870e+02
-1.2098e-01,-1.6273e+00,1.6070e+00,2.4834e+00,1.0733e+00,2.9422e+00,3.6445e+00,2.9367e+01,-8.1895e+02
1.1865e-01,-1.5172e+00,1.6430e+00,2.0912e+00,2.7346e+00,2.5396e+00,3.4891e+00,2.9046e+01,-7.0977e+02
-8.5298e-02,-1.1572e+00,1.7014e+00,2.5288e+00,1.4507e+00,2.1837e+00,3.7997e+00,2.9447e+01,-6.2178e+02
1.7155e-02,-1.0980e+00,1.3366e+00,2.3421e+00,1.2844e+00,1.9956e+00,3.4830e+00,2.8675e+01,-8.6374e+02
6.1160e-02,-1.4972e+00,1.6539e+00,2.1138e+00,2.0577e+00,2.9099e+00,3.4922e+00,2.8906e+01,-7.5158e+02
1.0266e-01,-1.0623e+00,1.1745e+00,2.5781e+00,9.9051e-01,2.1319e+00,3.6319e+00,2.9021e+01,-8.3162e+02
-1.1250e-01,-1.8055e+00,1.4817e+00,2.3969e+00,1.4711e+00,2.4044e+00,3.6561e+00,2.9130e+01,-8.5999e+02
1.2579e-01,-1.9734e+00,1.6021e+00,2.1174e+00,7.1213e-01,3.0104e+00,3.5068e+00,2.8900e+01,-5.5970e+02
-2.2823e-01,-1.8864e+00,1.6793e+00,2.0440e+00,1.1752e+00,3.0976e+00,3.4299e+00,2.9063e+01,-8.3622e+02
-7.3957e-02,-1.0453e+00,1.6674e+00,2.2794e+00,1.6811e+00,2.8729e+00,3.5416e+00,2.9037e+01,-6.9400e+02
-9.0762e-01,-1.6054e+00,1.7145e+00,1.7009e-01,9.0746e-01,3.1185e+00,3.5395e+00,2.9223e+01,-8.5887e+02
4.5203e-02,-1.0697e+00,1.6425e+00,2.5449e+00,2.2314e+00,2.7424e+00,3.6956e+00,2.9392e+01,-7.3504e+02
1.5775e-01,-1.4908e+00,1.5676e+00,1.9902e+00,1.2553e+00,2.8282e+00,3.4325e+00,2.8612e+01,-7.0401e+02
2.2662e-01,-1.6646e+00,1.6030e+00,2.5380e+00,2.5821e+00,2.1912e+00,3.8017e+00,2.9452e+01,-7.0203e+02
-7.8313e-02,-1.8544e+00,1.6392e+00,2.2720e+00,1.5299e+00,2.9475e+00,3.6592e+00,2.9270e+01,-7.2398e+02
-1.1626e-01,-1.5155e+00,1.6511e+00,2.2186e+00,1.0393e+00,1.6902e+00,3.6601e+00,2.9024e+01,-6.9611e+02
2.1968e-01,-1.5076e+00,1.5015e+00,1.9377e+00,1.8972e+00,3.1052e+00,3.2054e+00,2.8579e+01,-8.2365e+02
1.1279e-01,-1.5031e+00,1.5754e+00,2.0575e+00,3.9661e-01,3.3460e+00,2.8017e+00,2.8742e+01,-7.1004e+02
2.3583e-01,-1.3617e+00,1.5204e+00,2.6042e+00,1.8512e+00,3.0542e+00,3.6851e+00,2.9321e+01,-8.6453e+02
2.0966e-01,-1.1869e+00,1.4299e+00,2.4064e+00,1.8168e+00,2.6030e+00,3.4864e+00,2.8806e+01,-8.4471e+02
1.6826e-02,-1.5799e+00,1.6957e+00,2.4048e+00,1.5425e+00,3.4172e+00,3.4245e+00,2.9402e+01,-5.8319e+02
