logfeh,logdust,logNpix,tau,dmod,logl
-2.5734e-01,-1.0753e+00,2.9025e+00,3.3437e+00,2.5218e+01,-1.7383e+03
-2.7908e-01,-1.0793e+00,2.8986e+00,3.2846e+00,2.5192e+01,-1.7457e+03
-2.1984e-01,-1.0799e+00,2.8988e+00,3.2883e+00,2.5205e+01,-1.7323e+03
-1.3018e-01,-1.2249e+00,2.8621e+00,3.1913e+00,2.5045e+01,-1.7344e+03
-2.8803e-01,-1.0788e+00,2.8964e+00,3.2735e+00,2.5187e+01,-1.7446e+03
-2.2609e-01,-1.0813e+00,2.8962e+00,3.2523e+00,2.5182e+01,-1.7261e+03
-2.9475e-01,-1.0866e+00,2.8981e+00,3.2948e+00,2.5202e+01,-1.7379e+03
-2.1952e-01,-1.0823e+00,2.8932e+00,3.2683e+00,2.5180e+01,-1.7503e+03
-2.2204e-01,-1.0815e+00,2.9012e+00,3.2170e+00,2.5193e+01,-1.7554e+03
-2.6281e-01,-1.0771e+00,2.9009e+00,3.2918e+00,2.5202e+01,-1.7360e+03
-2.4295e-01,-1.0760e+00,2.8951e+00,3.2984e+00,2.5195e+01,-1.7535e+03
-2.5084e-01,-1.0757e+00,2.8854e+00,3.2920e+00,2.5165e+01,-1.7543e+03
-2.2282e-01,-1.0792e+00,2.8984e+00,3.2893e+00,2.5202e+01,-1.7538e+03
-1.3299e-01,-1.2294e+00,2.8596e+00,3.1637e+00,2.5038e+01,-1.7553e+03
-2.3938e-01,-1.0838e+00,2.8791e+00,3.2001e+00,2.5130e+01,-1.7480e+03
-1.7084e-01,-1.1534e+00,2.8605e+00,3.2770e+00,2.5060e+01,-1.7278e+03
-2.1040e-01,-1.0794e+00,2.8988e+00,3.2529e+00,2.5188e+01,-1.7555e+03
-2.6731e-01,-1.0802e+00,2.9004e+00,3.2279e+00,2.5192e+01,-1.7318e+03
-2.0957e-01,-1.0700e+00,2.9011e+00,3.3085e+00,2.5207e+01,-1.7411e+03
-2.5976e-01,-1.0777e+00,2.8984e+00,3.2575e+00,2.5196e+01,-1.7520e+03
-2.5341e-01,-1.0756e+00,2.8853e+00,3.2889e+00,2.5157e+01,-1.7554e+03
-2.7304e-01,-1.0805e+00,2.8995e+00,3.2571e+00,2.5196e+01,-1.7389e+03
