niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.4403e+05,-1.4404e+05,-1.9980e-03,-1.4404e+05,1.1750e-01,6.9098e+00,inf,5.1401e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,1.3270e+00,2.8358e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.4220e+05,-1.4220e+05,-3.9960e-03,-1.4220e+05,1.1751e-01,6.9118e+00,1.4045e+05,1.2103e+00,-7.6710e-01,-1.4585e+00,5.8652e+00,1.3886e+00,2.8819e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.4147e+05,-1.4148e+05,-5.9940e-03,-1.4148e+05,1.1753e-01,6.9138e+00,1.3862e+05,1.7183e+00,2.6910e-01,-1.7251e+00,5.7389e+00,1.1262e+00,2.8380e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.4125e+05,-1.4125e+05,-7.9920e-03,-1.4125e+05,1.1755e-01,6.9157e+00,1.3789e+05,2.3921e+00,-8.5281e-01,-1.3427e+00,5.8425e+00,5.1179e-01,2.8933e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.4105e+05,-1.4105e+05,-9.9900e-03,-1.4105e+05,1.1757e-01,6.9177e+00,1.3767e+05,3.1227e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,1.6086e+00,2.8357e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.4090e+05,-1.4091e+05,-1.1988e-02,-1.4091e+05,1.1758e-01,6.9197e+00,1.3747e+05,3.8072e+00,2.2353e-01,-5.3953e-01,5.7618e+00,1.0799e+00,2.8355e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.4021e+05,-1.4022e+05,-1.3986e-02,-1.4022e+05,1.1760e-01,6.9217e+00,1.3732e+05,4.3354e+00,-9.8678e-01,-1.0704e+00,5.7371e+00,2.2047e+00,2.8966e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.4016e+05,-1.4017e+05,-1.5984e-02,-1.4017e+05,1.1762e-01,6.9237e+00,1.3663e+05,4.8459e+00,-6.7716e-01,-1.9724e+00,5.5890e+00,1.2009e+00,2.8756e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.4015e+05,-1.4016e+05,-1.7982e-02,-1.4016e+05,1.1762e-01,6.9242e+00,1.3658e+05,5.3466e+00,-9.2180e-01,-1.8609e+00,5.6610e+00,1.7647e+00,2.9089e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.4012e+05,-1.4013e+05,-1.9980e-02,-1.4013e+05,1.1765e-01,6.9277e+00,1.3657e+05,5.8853e+00,-9.7902e-01,-1.0865e+00,5.9657e+00,2.3187e+00,2.9762e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.4001e+05,-1.4001e+05,-2.1978e-02,-1.4001e+05,1.1767e-01,6.9297e+00,1.3654e+05,6.5729e+00,2.0857e-01,-1.2736e+00,5.6300e+00,1.6070e+00,2.8659e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.4000e+05,-1.4001e+05,-2.3976e-02,-1.4001e+05,1.1759e-01,6.9201e+00,1.3642e+05,7.0838e+00,-9.0400e-01,-1.2412e+00,5.8003e+00,1.5747e+00,2.9708e+01
