logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.9212e-01,-5.6518e-01,2.8630e+00,2.5520e+00,1.8018e+00,3.6157e+00,4.6387e+00,3.1603e+01,-4.3793e+02
-3.3560e-01,-6.5898e-01,2.7760e+00,1.1725e+00,3.1525e+00,1.7558e+00,4.5659e+00,3.1428e+01,-4.2017e+02
1.4555e-02,-6.7551e-01,2.8921e+00,1.2386e+00,2.5532e+00,2.5867e+00,4.7142e+00,3.1621e+01,-4.3093e+02
3.8224e-03,-6.6301e-01,2.4763e+00,8.2491e-01,1.0147e+00,4.1575e+00,1.8600e+00,3.0649e+01,-4.6169e+02
1.0842e-01,-1.1118e+00,2.3619e+00,2.3390e-01,2.3155e+00,3.9406e+00,3.7598e+00,3.0518e+01,-4.1230e+02
1.4053e-01,-5.8199e-01,2.7399e+00,2.0608e+00,3.6761e+00,3.4134e+00,4.2522e+00,3.1254e+01,-4.4125e+02
1.6409e-01,-9.7845e-01,2.4489e+00,2.1662e+00,9.1790e-01,4.1079e+00,3.7323e+00,3.0763e+01,-4.5673e+02
1.7379e-01,-1.1746e+00,2.5858e+00,8.1408e-01,2.8760e+00,3.8196e+00,4.3480e+00,3.1131e+01,-4.6324e+02
2.9747e-01,-9.0202e-01,2.5784e+00,1.6088e+00,3.2301e+00,3.6814e+00,4.2485e+00,3.0966e+01,-4.2721e+02
-4.1381e-01,-7.9080e-01,2.7336e+00,1.0182e+00,9.0830e-01,2.1571e+00,4.5962e+00,3.1409e+01,-4.4369e+02
7.4920e-02,-7.8487e-01,2.3266e+00,1.8944e+00,1.6113e+00,4.0474e+00,2.4482e+00,3.0375e+01,-4.4393e+02
-2.2618e-01,-5.5819e-01,2.3934e+00,1.2869e+00,1.4382e+00,4.0085e+00,3.1174e+00,3.0367e+01,-4.5195e+02
-2.4744e-01,-1.3423e+00,2.2611e+00,4.1575e-01,1.2371e+00,2.4253e+00,4.1513e+00,3.0258e+01,-4.5501e+02
-1.0783e-01,-8.3322e-01,2.6252e+00,5.2722e-01,1.1153e+00,2.9007e+00,4.4832e+00,3.1038e+01,-4.3679e+02
3.1328e-01,-1.0789e+00,2.6487e+00,2.3463e+00,1.1762e+00,3.1614e+00,4.5639e+00,3.1201e+01,-4.4749e+02
-4.3440e-01,-6.2461e-01,2.6464e+00,1.6112e+00,3.0789e+00,2.2571e+00,4.3997e+00,3.1047e+01,-4.5763e+02
4.1498e-01,-7.5464e-01,2.7242e+00,9.3934e-01,1.0569e+00,2.5246e+00,4.6013e+00,3.1156e+01,-4.4192e+02
1.5378e-01,-1.7958e+00,2.4288e+00,1.3585e+00,1.1885e+00,2.0533e+00,4.3967e+00,3.0733e+01,-4.1784e+02
2.6975e-01,-6.8602e-01,2.6291e+00,8.6182e-02,1.7767e+00,4.2819e+00,3.3040e+00,3.0976e+01,-3.9935e+02
2.2067e-01,-1.3768e+00,2.1944e+00,1.7754e+00,8.5728e-01,3.7029e+00,3.8513e+00,3.0174e+01,-4.6082e+02
-3.5725e-01,-7.3419e-01,2.5398e+00,-1.3043e-03,1.0429e+00,3.2053e+00,4.3209e+00,3.0786e+01,-4.1715e+02
-9.1233e-02,-1.4125e+00,2.1600e+00,6.9263e-01,1.5184e+00,3.5432e+00,3.8711e+00,3.0081e+01,-4.5008e+02
3.1303e-01,-1.2470e+00,2.3276e+00,6.9335e-01,2.6772e+00,2.9146e+00,4.2066e+00,3.0362e+01,-4.5546e+02
-2.4133e-01,-1.4046e+00,2.3531e+00,7.0845e-02,2.3032e+00,3.3477e+00,4.2013e+00,3.0608e+01,-4.3279e+02
-7.8953e-02,-1.3470e+00,2.5186e+00,1.8856e+00,1.2945e+00,2.1890e+00,4.4657e+00,3.1008e+01,-4.2966e+02
3.6756e-01,-9.5042e-01,2.4316e+00,5.5784e-01,1.3466e+00,4.1582e+00,3.0639e+00,3.0603e+01,-4.5444e+02
-3.2695e-01,-1.3051e+00,2.4348e+00,1.0350e+00,2.5856e+00,2.4606e+00,4.3416e+00,3.0824e+01,-4.3596e+02
-1.2927e-01,-5.1101e-01,2.9406e+00,2.2992e-01,2.3682e+00,3.5802e+00,4.6841e+00,3.1663e+01,-4.1133e+02
-7.1141e-01,-6.5520e-01,2.4071e+00,7.1098e-02,2.5735e+00,3.4845e+00,4.0896e+00,3.0525e+01,-4.6114e+02
-2.9155e-01,-1.3675e+00,2.4703e+00,7.2333e-01,2.5222e+00,2.4705e+00,4.3903e+00,3.0936e+01,-4.3557e+02
1.3279e-03,-8.6351e-01,2.6439e+00,1.6538e+00,2.0710e+00,4.0986e+00,4.2098e+00,3.1189e+01,-4.3694e+02
1.7902e-01,-1.2033e+00,2.3982e+00,1.3961e+00,1.3889e+00,2.5393e+00,4.3188e+00,3.0552e+01,-4.3461e+02
3.4011e-01,-1.3940e+00,2.5239e+00,8.1008e-01,2.3642e+00,2.7208e+00,4.4613e+00,3.0905e+01,-4.3570e+02
-2.3548e-01,-9.7725e-01,2.5776e+00,1.2579e+00,7.1641e-01,3.7865e+00,4.3270e+00,3.1072e+01,-4.4657e+02
-1.7136e-03,-5.8332e-01,2.5002e+00,5.9948e-01,2.5253e+00,3.8567e+00,3.9361e+00,3.0532e+01,-4.6384e+02
-1.7200e-02,-1.6344e+00,2.3750e+00,1.9837e+00,2.6228e+00,3.1182e+00,4.2784e+00,3.0698e+01,-4.4086e+02
