logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.3892e-01,-1.7834e+00,-1.3927e+00,4.5570e-01,1.4986e+00,1.4039e+00,3.5170e+00,-1.4968e+03
1.6872e-01,-1.8743e+00,-1.9438e+00,5.8816e-01,1.5505e+00,1.7158e+00,3.5132e+00,-1.5259e+03
1.4737e-01,-1.2709e+00,-1.8560e+00,7.3294e-01,1.5156e+00,2.8195e+00,3.3786e+00,-1.4238e+03
1.6845e-01,-1.6236e+00,-1.1843e+00,6.6139e-01,1.4752e+00,2.2710e+00,3.4936e+00,-1.5215e+03
1.3383e-01,-1.7073e+00,-1.6681e+00,6.4012e-01,1.3488e+00,1.4349e+00,3.5221e+00,-1.4970e+03
1.3343e-01,-1.5992e+00,-1.7904e+00,5.4901e-01,1.3481e+00,2.2865e+00,3.4880e+00,-1.4924e+03
1.4367e-01,-1.5103e+00,-2.1211e+00,5.4483e-01,1.4989e+00,2.4195e+00,3.4714e+00,-1.4566e+03
1.2156e-01,-1.6659e+00,-1.8070e+00,5.2292e-01,1.4605e+00,1.7374e+00,3.5101e+00,-1.4797e+03
1.3625e-01,-1.6118e+00,-1.9357e+00,5.1281e-01,1.5354e+00,2.0520e+00,3.5010e+00,-1.4913e+03
9.3742e-02,-1.3426e+00,-1.7923e+00,5.3852e-01,1.5162e+00,2.4806e+00,3.4566e+00,-1.5163e+03
1.5384e-01,-1.7430e+00,-1.5095e+00,6.8234e-01,1.4316e+00,1.3818e+00,3.5229e+00,-1.5150e+03
1.4214e-01,-1.7390e+00,-2.0623e+00,6.0172e-01,1.4369e+00,1.5864e+00,3.5172e+00,-1.4286e+03
1.5046e-01,-1.6856e+00,-1.2231e+00,6.5225e-01,1.4701e+00,1.8709e+00,3.5125e+00,-1.5247e+03
1.5159e-01,-1.8230e+00,-1.6822e+00,4.8885e-01,1.5225e+00,1.3285e+00,3.5222e+00,-1.5213e+03
1.5175e-01,-1.5870e+00,-1.9509e+00,5.9903e-01,1.5441e+00,2.2130e+00,3.4931e+00,-1.4086e+03
1.6776e-01,-1.8500e+00,-1.6978e+00,5.6489e-01,1.5274e+00,1.5127e+00,3.5196e+00,-1.5046e+03
1.4158e-01,-1.6439e+00,-1.8410e+00,5.5039e-01,1.4665e+00,2.0740e+00,3.5041e+00,-1.5123e+03
1.3186e-01,-1.5870e+00,-1.3854e+00,5.4831e-01,1.5302e+00,2.0850e+00,3.4981e+00,-1.5103e+03
1.3549e-01,-1.4023e+00,-1.5527e+00,7.2643e-01,1.1943e+00,2.6255e+00,3.4430e+00,-1.4592e+03
1.3903e-01,-1.6127e+00,-1.6683e+00,5.9800e-01,1.2452e+00,2.2785e+00,3.4915e+00,-1.4727e+03
1.3306e-01,-1.4499e+00,-2.0154e+00,5.5043e-01,1.4925e+00,2.4850e+00,3.4634e+00,-1.4990e+03
1.6617e-01,-1.2197e+00,-1.8386e+00,8.0137e-01,1.5398e+00,2.9206e+00,3.3358e+00,-1.4544e+03
1.0358e-01,-1.4921e+00,-1.9960e+00,5.9690e-01,1.3269e+00,2.1925e+00,3.4952e+00,-1.5103e+03
1.6296e-01,-1.3897e+00,-1.9121e+00,5.9227e-01,1.4958e+00,2.7584e+00,3.4031e+00,-1.5222e+03
8.5285e-02,-1.4766e+00,-2.0391e+00,4.9116e-01,1.5548e+00,1.7344e+00,3.5061e+00,-1.5259e+03
7.4660e-02,-1.2058e+00,-1.3573e+00,6.6435e-01,1.5483e+00,2.6811e+00,3.4145e+00,-1.5070e+03
1.5550e-01,-1.5869e+00,-1.9522e+00,7.0870e-01,1.1491e+00,2.4147e+00,3.4826e+00,-1.5189e+03
1.1136e-01,-1.4564e+00,-1.0810e+00,5.6027e-01,1.4211e+00,2.3067e+00,3.4841e+00,-1.5096e+03
1.2817e-01,-1.3183e+00,-1.7316e+00,6.4210e-01,1.4957e+00,2.6979e+00,3.4146e+00,-1.5008e+03
1.5966e-01,-1.2276e+00,-2.0846e+00,7.0982e-01,1.4696e+00,2.9365e+00,3.3263e+00,-1.4612e+03
1.0147e-01,-1.4703e+00,-1.5342e+00,4.0705e-01,1.5550e+00,2.1854e+00,3.4859e+00,-1.4759e+03
9.7904e-02,-1.4337e+00,-1.7307e+00,5.3042e-01,1.5510e+00,2.2150e+00,3.4845e+00,-1.5101e+03
1.4322e-01,-1.6029e+00,-1.9918e+00,6.0557e-01,1.4340e+00,2.1483e+00,3.4985e+00,-1.4995e+03
1.8189e-01,-1.3348e+00,-1.6805e+00,5.9703e-01,1.4517e+00,2.8912e+00,3.3533e+00,-1.5042e+03
1.0248e-01,-1.5034e+00,-2.2219e+00,6.3664e-01,1.4518e+00,1.9484e+00,3.5025e+00,-1.4799e+03
1.4609e-01,-1.8038e+00,-2.1687e+00,4.4296e-01,1.5064e+00,1.4262e+00,3.5198e+00,-1.4940e+03
9.3742e-02,-1.4666e+00,-1.7062e+00,6.4920e-01,1.5214e+00,1.4633e+00,3.5156e+00,-1.4485e+03
1.3690e-01,-1.5221e+00,-1.8984e+00,6.6786e-01,1.4313e+00,2.3419e+00,3.4821e+00,-1.5098e+03
1.6089e-01,-1.8145e+00,-2.0536e+00,6.7404e-01,1.4290e+00,1.6259e+00,3.5195e+00,-1.4986e+03
1.0583e-01,-1.4542e+00,-2.1835e+00,7.0742e-01,1.5070e+00,2.0072e+00,3.5019e+00,-1.4662e+03
1.5231e-01,-1.3821e+00,-2.2059e+00,7.5078e-01,1.3196e+00,2.6590e+00,3.4401e+00,-1.4817e+03
1.7975e-01,-1.6061e+00,-1.2446e+00,5.8737e-01,1.4004e+00,2.5168e+00,3.4648e+00,-1.4883e+03
1.4201e-01,-1.6198e+00,-1.8790e+00,6.6973e-01,1.4403e+00,2.0554e+00,3.5043e+00,-1.5003e+03
1.9255e-01,-1.4811e+00,-2.0087e+00,6.7664e-01,8.7620e-01,2.8188e+00,3.3957e+00,-1.5129e+03
1.5372e-01,-1.7681e+00,-1.3999e+00,6.0593e-01,1.4626e+00,1.4814e+00,3.5209e+00,-1.4864e+03
1.5693e-01,-1.8321e+00,-1.5647e+00,5.5972e-01,1.5137e+00,1.6049e+00,3.5148e+00,-1.5088e+03
1.1525e-01,-1.5112e+00,-1.6166e+00,5.2672e-01,1.5218e+00,2.1359e+00,3.4919e+00,-1.4832e+03
9.5346e-02,-1.4554e+00,-1.5231e+00,5.4244e-01,1.5102e+00,2.0169e+00,3.5021e+00,-1.5254e+03
1.6992e-01,-1.4734e+00,-1.1032e+00,5.7988e-01,1.5197e+00,2.6212e+00,3.4407e+00,-1.5255e+03
1.4604e-01,-1.7681e+00,-1.9903e+00,4.2474e-01,1.5290e+00,1.9334e+00,3.5022e+00,-1.5092e+03
1.3576e-01,-1.4789e+00,-1.6112e+00,6.6477e-01,8.9585e-01,2.5857e+00,3.4508e+00,-1.4924e+03
1.9936e-01,-1.7873e+00,-1.6044e+00,6.5633e-01,1.4007e+00,2.3717e+00,3.4883e+00,-1.4967e+03
1.2234e-01,-1.5746e+00,-1.6084e+00,5.8659e-01,1.4732e+00,1.9665e+00,3.5059e+00,-1.4520e+03
1.1935e-01,-1.4909e+00,-2.1046e+00,5.7739e-01,1.4222e+00,2.3228e+00,3.4821e+00,-1.4380e+03
1.2883e-01,-1.5508e+00,-1.8409e+00,4.1924e-01,1.5269e+00,2.2478e+00,3.4879e+00,-1.5236e+03
1.6651e-01,-1.6126e+00,-1.4961e+00,6.0425e-01,1.4671e+00,2.2907e+00,3.4950e+00,-1.4780e+03
