logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
9.0776e-02,-1.2694e+00,-1.1233e+00,4.8010e-01,1.2350e+00,2.0406e+00,3.2038e+00,-2.7755e+03
1.3644e-01,-1.3252e+00,-1.9594e+00,3.9110e-01,1.2411e+00,2.2704e+00,3.1765e+00,-2.8421e+03
-2.1669e-02,-1.1566e+00,-1.1146e+00,4.1591e-01,1.2623e+00,1.5304e+00,3.2250e+00,-2.6979e+03
-4.7393e-03,-1.1842e+00,-1.7550e+00,4.7856e-01,1.2327e+00,1.1172e+00,3.2311e+00,-2.7574e+03
1.2434e-01,-1.4110e+00,-2.4388e+00,4.7707e-01,1.1935e+00,1.7875e+00,3.2221e+00,-2.7923e+03
1.2858e-01,-1.3571e+00,-1.8023e+00,4.9005e-01,1.1244e+00,2.1017e+00,3.2030e+00,-2.7850e+03
7.8091e-02,-1.2689e+00,-1.4478e+00,5.0020e-01,1.2167e+00,1.8247e+00,3.2217e+00,-2.7160e+03
1.4130e-01,-1.3513e+00,-1.2117e+00,3.1464e-01,1.2565e+00,2.2574e+00,3.1800e+00,-2.7635e+03
6.4681e-02,-1.2228e+00,-1.9377e+00,5.1594e-01,9.1639e-01,2.1764e+00,3.1885e+00,-2.8549e+03
-2.2224e-02,-1.1588e+00,-1.5621e+00,5.0565e-01,1.2550e+00,1.3091e+00,3.2311e+00,-2.6366e+03
2.3165e-02,-1.0994e+00,-2.2611e+00,4.8253e-01,1.0877e+00,2.1863e+00,3.1822e+00,-2.8470e+03
9.7573e-02,-1.2110e+00,-1.5610e+00,5.3328e-01,1.9277e-01,2.4421e+00,3.1466e+00,-2.7507e+03
-4.7833e-02,-1.1620e+00,-1.9501e+00,4.2685e-01,1.2098e+00,1.3704e+00,3.2341e+00,-2.8159e+03
1.4368e-01,-1.3508e+00,-1.7886e+00,4.3663e-01,1.1634e+00,2.2427e+00,3.1878e+00,-2.6858e+03
8.4211e-02,-1.3322e+00,-1.4116e+00,3.2741e-01,1.2439e+00,1.7455e+00,3.2225e+00,-2.8128e+03
7.3425e-02,-1.2553e+00,-1.7847e+00,5.0298e-01,7.5882e-01,2.1621e+00,3.1965e+00,-2.8444e+03
1.6719e-01,-1.4007e+00,-2.0701e+00,4.1623e-01,1.1512e+00,2.2757e+00,3.1849e+00,-2.8122e+03
3.2345e-03,-1.1819e+00,-2.1363e+00,4.0941e-01,1.1831e+00,1.3767e+00,3.2312e+00,-2.8113e+03
-3.2837e-02,-1.1605e+00,-1.9555e+00,4.9767e-01,1.1951e+00,1.0162e+00,3.2353e+00,-2.8075e+03
6.1797e-02,-1.2624e+00,-1.3167e+00,4.8329e-01,1.2519e+00,1.3431e+00,3.2332e+00,-2.7231e+03
-1.6348e-02,-1.1763e+00,-1.8349e+00,4.0901e-01,1.1755e+00,1.6719e+00,3.2208e+00,-2.7211e+03
-3.0856e-03,-1.1449e+00,-1.7242e+00,4.8173e-01,1.1839e+00,1.8082e+00,3.2138e+00,-2.7583e+03
1.3672e-01,-1.3750e+00,-2.3640e+00,5.2788e-01,1.1718e+00,1.8895e+00,3.2256e+00,-2.8232e+03
9.7573e-02,-1.2184e+00,-1.2829e+00,5.1234e-01,9.8830e-01,2.3719e+00,3.1604e+00,-2.7943e+03
1.4478e-01,-1.5248e+00,-1.8044e+00,3.3815e-01,1.2473e+00,1.5646e+00,3.2374e+00,-2.8126e+03
9.6403e-02,-1.2884e+00,-2.1631e+00,5.0809e-01,1.0357e+00,2.1172e+00,3.2031e+00,-2.7839e+03
1.9154e-02,-1.1970e+00,-2.1549e+00,4.1421e-01,1.1171e+00,1.4146e+00,3.2289e+00,-2.8468e+03
6.7755e-02,-1.2521e+00,-2.4368e+00,4.5177e-01,9.9276e-01,2.0325e+00,3.2095e+00,-2.8397e+03
9.4870e-02,-1.2679e+00,-1.8004e+00,5.3233e-01,5.8555e-01,2.2705e+00,3.1840e+00,-2.8487e+03
9.3874e-02,-1.3912e+00,-2.5108e+00,4.4527e-01,1.1437e+00,1.0931e+00,3.2421e+00,-2.8310e+03
7.8101e-02,-1.2178e+00,-2.1251e+00,5.2055e-01,1.0312e+00,2.2444e+00,3.1849e+00,-2.7731e+03
9.6641e-02,-1.4114e+00,-1.8457e+00,4.1876e-01,1.2257e+00,9.8374e-01,3.2375e+00,-2.8334e+03
1.1070e-01,-1.1993e+00,-1.7174e+00,3.8081e-01,1.1031e+00,2.4905e+00,3.1259e+00,-2.8330e+03
1.5864e-01,-1.5272e+00,-1.5397e+00,4.1570e-01,1.2356e+00,1.6681e+00,3.2339e+00,-2.8146e+03
1.7062e-01,-1.4133e+00,-1.5802e+00,4.4755e-01,1.0750e+00,2.2890e+00,3.1856e+00,-2.8414e+03
-4.0339e-02,-1.1433e+00,-1.3748e+00,3.4426e-01,1.2521e+00,1.8860e+00,3.2100e+00,-2.7618e+03
1.4263e-01,-1.3802e+00,-2.3652e+00,4.1463e-01,1.2270e+00,2.1681e+00,3.1910e+00,-2.7595e+03
1.1379e-01,-1.4277e+00,-2.1405e+00,4.7384e-01,1.2018e+00,1.2617e+00,3.2379e+00,-2.7620e+03
8.0823e-02,-1.2067e+00,-2.2609e+00,4.4234e-01,1.1360e+00,2.2746e+00,3.1737e+00,-2.7674e+03
1.1270e-01,-1.4048e+00,-2.1913e+00,4.2583e-01,1.1945e+00,1.7789e+00,3.2233e+00,-2.8447e+03
2.0955e-02,-1.1885e+00,-1.3248e+00,2.7190e-01,1.2460e+00,1.3085e+00,3.2311e+00,-2.8291e+03
8.2796e-02,-1.2204e+00,-1.9848e+00,5.2485e-01,5.0583e-01,2.3230e+00,3.1737e+00,-2.8191e+03
5.3091e-02,-1.3178e+00,-2.1602e+00,4.7056e-01,1.1363e+00,1.1383e+00,3.2342e+00,-2.7756e+03
5.4827e-02,-1.1614e+00,-1.7275e+00,4.9590e-01,1.2386e+00,2.1199e+00,3.1963e+00,-2.7655e+03
9.5333e-02,-1.2283e+00,-1.6171e+00,4.2383e-01,1.1021e+00,2.3270e+00,3.1692e+00,-2.8394e+03
2.0728e-02,-1.1836e+00,-1.4771e+00,5.2585e-01,1.1479e+00,1.3390e+00,3.2303e+00,-2.7997e+03
5.2472e-02,-1.2220e+00,-1.7773e+00,4.6350e-01,1.2251e+00,1.7628e+00,3.2204e+00,-2.8509e+03
5.9843e-02,-1.2342e+00,-1.4277e+00,3.7856e-01,1.2563e+00,2.0076e+00,3.2041e+00,-2.7465e+03
1.3169e-01,-1.5012e+00,-2.0059e+00,4.5135e-01,1.1763e+00,1.1510e+00,3.2429e+00,-2.7118e+03
-5.4362e-03,-1.1623e+00,-1.5157e+00,3.4776e-01,1.2501e+00,1.6118e+00,3.2238e+00,-2.8555e+03
5.8889e-02,-1.3126e+00,-2.0937e+00,3.5449e-01,1.1564e+00,1.1492e+00,3.2371e+00,-2.8469e+03
-6.5443e-04,-1.2134e+00,-1.5960e+00,4.1734e-01,1.0585e+00,1.3022e+00,3.2334e+00,-2.8257e+03
1.4789e-01,-1.3538e+00,-1.4984e+00,4.1019e-01,1.2413e+00,2.2772e+00,3.1771e+00,-2.8094e+03
1.0307e-01,-1.2505e+00,-1.6686e+00,5.0748e-01,1.1967e+00,2.1852e+00,3.1879e+00,-2.7109e+03
