niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.3381e+05,-1.3382e+05,-1.9980e-03,-1.3382e+05,1.1750e-01,6.9098e+00,inf,4.7467e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,1.3270e+00,2.8358e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.3119e+05,-1.3120e+05,-3.9960e-03,-1.3120e+05,1.1751e-01,6.9118e+00,1.1902e+05,1.1155e+00,2.6910e-01,-1.7251e+00,5.7389e+00,1.1262e+00,2.8380e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.3102e+05,-1.3102e+05,-5.9940e-03,-1.3102e+05,1.1753e-01,6.9138e+00,1.1640e+05,1.5800e+00,-7.6710e-01,-1.4585e+00,5.8652e+00,1.3886e+00,2.8819e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.2953e+05,-1.2954e+05,-7.9920e-03,-1.2954e+05,1.1755e-01,6.9157e+00,1.1623e+05,2.2000e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,1.6086e+00,2.8357e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.2942e+05,-1.2943e+05,-9.9900e-03,-1.2943e+05,1.1757e-01,6.9177e+00,1.1474e+05,2.8681e+00,-8.5281e-01,-1.3427e+00,5.8425e+00,5.1179e-01,2.8933e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.2925e+05,-1.2926e+05,-1.1988e-02,-1.2926e+05,1.1758e-01,6.9197e+00,1.1463e+05,3.5058e+00,2.2353e-01,-5.3953e-01,5.7618e+00,1.0799e+00,2.8355e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.2904e+05,-1.2905e+05,-1.3986e-02,-1.2905e+05,1.1760e-01,6.9217e+00,1.1446e+05,4.0070e+00,4.6108e-01,-8.6868e-01,5.7500e+00,4.7326e-01,2.8858e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.2897e+05,-1.2898e+05,-1.5984e-02,-1.2898e+05,1.1762e-01,6.9237e+00,1.1425e+05,4.4770e+00,2.0857e-01,-1.2736e+00,5.6300e+00,1.6070e+00,2.8659e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.2861e+05,-1.2861e+05,-1.7982e-02,-1.2861e+05,1.1763e-01,6.9257e+00,1.1418e+05,4.9351e+00,-9.0400e-01,-1.2412e+00,5.8003e+00,1.5747e+00,2.9708e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.2851e+05,-1.2852e+05,-1.9980e-02,-1.2852e+05,1.1765e-01,6.9277e+00,1.1381e+05,5.5247e+00,-9.7902e-01,-1.0865e+00,5.9657e+00,2.3187e+00,2.9762e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.2826e+05,-1.2827e+05,-2.1978e-02,-1.2827e+05,1.1767e-01,6.9297e+00,1.1372e+05,6.1233e+00,-9.8678e-01,-1.0704e+00,5.7371e+00,2.2047e+00,2.8966e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.2807e+05,-1.2808e+05,-2.3976e-02,-1.2808e+05,1.1768e-01,6.9317e+00,1.1347e+05,6.5764e+00,-9.2180e-01,-1.8609e+00,5.6610e+00,1.7647e+00,2.9089e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.2784e+05,-1.2785e+05,-2.5974e-02,-1.2785e+05,1.1770e-01,6.9337e+00,1.1328e+05,7.1977e+00,-2.2055e-01,-1.6883e+00,5.6253e+00,2.3191e+00,2.8416e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.2725e+05,-1.2726e+05,-2.7972e-02,-1.2726e+05,1.1772e-01,6.9357e+00,1.1305e+05,7.8527e+00,-1.0454e-01,-1.0573e+00,5.9480e+00,1.8455e+00,3.0400e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.2688e+05,-1.2689e+05,-2.9970e-02,-1.2689e+05,1.1774e-01,6.9377e+00,1.1246e+05,8.4613e+00,-6.7716e-01,-1.9724e+00,5.5890e+00,1.2009e+00,2.8756e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.2658e+05,-1.2659e+05,-3.1968e-02,-1.2659e+05,1.1775e-01,6.9397e+00,1.1209e+05,9.1623e+00,2.6904e-01,-1.2900e+00,5.7077e+00,2.3374e+00,2.8912e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.2651e+05,-1.2652e+05,-3.3966e-02,-1.2652e+05,1.1777e-01,6.9417e+00,1.1179e+05,9.7936e+00,-2.7542e-01,-1.8120e+00,5.8934e+00,2.6856e-01,3.0030e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.2620e+05,-1.2620e+05,-3.5964e-02,-1.2620e+05,1.1779e-01,6.9437e+00,1.1172e+05,1.0453e+01,-3.7547e-01,-1.0582e+00,5.7221e+00,7.8729e-01,2.9651e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.2515e+05,-1.2516e+05,-3.7962e-02,-1.2516e+05,1.1780e-01,6.9457e+00,1.1140e+05,1.0924e+01,-4.4195e-02,-1.7511e+00,5.6224e+00,1.0461e+00,2.9770e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.2491e+05,-1.2492e+05,-3.9960e-02,-1.2492e+05,1.1782e-01,6.9477e+00,1.1036e+05,1.1586e+01,-4.3918e-01,-1.3977e+00,5.7753e+00,2.5241e+00,2.9992e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.2471e+05,-1.2472e+05,-4.1958e-02,-1.2472e+05,1.1784e-01,6.9497e+00,1.1012e+05,1.2215e+01,-9.5627e-01,-6.7899e-01,5.7350e+00,9.9579e-01,2.9798e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.2415e+05,-1.2416e+05,-4.3956e-02,-1.2416e+05,1.1785e-01,6.9517e+00,1.0992e+05,1.2748e+01,1.7362e-01,-1.4763e+00,5.2490e+00,6.4404e-01,2.8235e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.2395e+05,-1.2396e+05,-4.5954e-02,-1.2396e+05,1.1787e-01,6.9537e+00,1.0936e+05,1.3291e+01,-1.4938e-01,-7.7248e-01,5.8170e+00,2.0097e+00,3.0139e+01
2.4000e+01,1.0000e+00,4.5802e+00,-1.2381e+05,-1.2382e+05,-4.7952e-02,-1.2382e+05,1.1789e-01,6.9557e+00,1.0916e+05,1.3765e+01,-9.6094e-01,-1.8232e+00,5.4881e+00,1.4709e+00,2.9708e+01
2.5000e+01,1.0000e+00,4.7619e+00,-1.2364e+05,-1.2365e+05,-4.9950e-02,-1.2365e+05,1.1790e-01,6.9577e+00,1.0902e+05,1.4394e+01,-9.5802e-01,-7.0461e-01,5.9959e+00,3.3206e+00,3.0551e+01
2.6000e+01,1.0000e+00,4.9430e+00,-1.2348e+05,-1.2348e+05,-5.1948e-02,-1.2348e+05,1.1792e-01,6.9597e+00,1.0885e+05,1.5027e+01,-5.3673e-01,-1.4485e+00,5.2899e+00,1.8864e+00,2.8413e+01
2.7000e+01,1.0000e+00,5.1233e+00,-1.2331e+05,-1.2332e+05,-5.3946e-02,-1.2332e+05,1.1794e-01,6.9617e+00,1.0869e+05,1.5517e+01,-5.1521e-01,-1.1143e+00,5.5617e+00,2.9419e+00,2.8519e+01
2.8000e+01,1.0000e+00,5.3030e+00,-1.2329e+05,-1.2330e+05,-5.5944e-02,-1.2330e+05,1.1796e-01,6.9637e+00,1.0852e+05,1.5980e+01,3.9493e-01,-1.9141e+00,5.4549e+00,1.7298e+00,2.9319e+01
2.9000e+01,1.0000e+00,5.4820e+00,-1.2302e+05,-1.2303e+05,-5.7942e-02,-1.2303e+05,1.1797e-01,6.9657e+00,1.0850e+05,1.6472e+01,-1.6100e-01,-1.5066e+00,5.4978e+00,2.5271e+00,2.8864e+01
3.0000e+01,1.0000e+00,5.6604e+00,-1.2270e+05,-1.2270e+05,-5.9940e-02,-1.2270e+05,1.1799e-01,6.9677e+00,1.0823e+05,1.7120e+01,-9.8598e-01,-6.4903e-01,5.9317e+00,5.6133e+00,2.8254e+01
