niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.6845e+05,-1.6846e+05,-1.9980e-03,-1.6846e+05,1.1750e-01,6.9098e+00,inf,3.6673e-01,-9.8858e-01,-1.1037e+00,7.4853e+00,1.0064e+01,2.5302e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6712e+05,-1.6712e+05,-3.9960e-03,-1.6712e+05,1.1751e-01,6.9118e+00,1.6672e+05,7.4781e-01,-9.1919e-01,-1.5484e+00,7.3920e+00,9.5868e+00,2.6194e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6691e+05,-1.6692e+05,-5.9940e-03,-1.6692e+05,1.1753e-01,6.9138e+00,1.6539e+05,1.1163e+00,-3.8559e-01,-1.9943e+00,7.2241e+00,9.9237e+00,2.5065e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.6647e+05,-1.6648e+05,-7.9920e-03,-1.6648e+05,1.1755e-01,6.9157e+00,1.6518e+05,1.4792e+00,3.8747e-01,-1.4709e+00,7.3271e+00,9.8831e+00,2.5064e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.6596e+05,-1.6596e+05,-9.9900e-03,-1.6596e+05,1.1757e-01,6.9177e+00,1.6474e+05,1.8443e+00,-9.8598e-01,-1.0994e+00,7.3634e+00,9.8898e+00,2.5848e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.6259e+05,-1.6260e+05,-1.1988e-02,-1.6260e+05,1.1758e-01,6.9197e+00,1.6423e+05,2.2201e+00,-7.0184e-01,-1.5560e+00,7.0486e+00,9.9700e+00,2.5815e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.6205e+05,-1.6206e+05,-1.3986e-02,-1.6206e+05,1.1760e-01,6.9217e+00,1.6086e+05,2.5779e+00,-1.4544e-01,-1.1107e+00,7.0089e+00,9.6067e+00,2.6190e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.6183e+05,-1.6183e+05,-1.5984e-02,-1.6183e+05,1.1762e-01,6.9237e+00,1.6032e+05,2.9423e+00,3.7338e-01,-1.8223e+00,7.3926e+00,9.9581e+00,2.6420e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6099e+05,-1.6100e+05,-1.7982e-02,-1.6100e+05,1.1763e-01,6.9257e+00,1.6010e+05,3.3058e+00,2.2353e-01,-1.0264e+00,7.0237e+00,9.5693e+00,2.6185e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6054e+05,-1.6054e+05,-1.9980e-02,-1.6054e+05,1.1765e-01,6.9277e+00,1.5926e+05,3.8092e+00,-2.0991e-01,-1.3703e+00,6.7891e+00,9.9488e+00,2.5227e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.6038e+05,-1.6039e+05,-2.1978e-02,-1.6039e+05,1.1767e-01,6.9297e+00,1.5881e+05,4.1686e+00,-3.6759e-01,-1.0678e+00,6.7058e+00,9.8116e+00,2.5292e+01
