logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-7.8623e-01,-8.9782e-01,2.4826e+00,2.8759e+00,1.0405e+00,2.7616e+00,2.8215e+00,3.1614e+01,-9.7009e+04
1.0302e-01,-9.3776e-01,1.3500e+00,2.4092e+00,2.4234e+00,2.6696e+00,2.9212e+00,2.9685e+01,-1.0089e+05
-3.1901e-01,-1.0098e+00,-2.3931e-01,3.1557e+00,1.7956e+00,5.3214e+00,4.4388e+00,3.2316e+01,-9.5374e+04
1.2710e-01,-6.4772e-01,-1.1121e+00,8.8611e-01,1.0820e+00,4.7166e+00,3.4504e+00,3.0422e+01,-1.0309e+05
-4.5664e-01,-1.4368e+00,1.9279e+00,1.0755e+00,1.4459e+00,2.8788e+00,2.9554e+00,3.1305e+01,-9.9177e+04
-5.7030e-01,-1.3412e+00,2.6508e+00,2.2595e+00,3.5758e+00,2.4047e+00,4.0796e+00,3.1597e+01,-1.0052e+05
-6.6091e-01,-8.1388e-01,2.2845e+00,1.1288e+00,1.7827e+00,2.9580e+00,2.6417e+00,3.0574e+01,-8.6284e+04
-9.4730e-01,-1.4283e+00,2.6122e+00,1.1634e+00,1.9898e+00,1.6534e+00,3.9781e+00,3.2077e+01,-9.9883e+04
-5.8593e-01,-1.6242e+00,2.4066e+00,1.9776e+00,2.5635e+00,3.0329e+00,3.4083e+00,3.0667e+01,-8.6777e+04
-4.7760e-02,-7.2181e-01,2.0889e+00,8.1825e-01,1.6535e+00,1.6497e+00,2.6101e+00,2.9185e+01,-7.2387e+04
3.9006e-01,-8.6825e-01,2.4586e+00,-2.2972e-01,1.0830e+00,3.8767e+00,2.6791e+00,3.0051e+01,-8.8305e+04
-8.5921e-01,-1.5856e+00,2.3383e+00,8.7464e-01,3.4680e+00,3.4048e+00,3.8242e+00,2.9861e+01,-1.0306e+05
-3.8878e-02,-9.5240e-01,1.7518e+00,2.1701e+00,4.3329e+00,3.3788e+00,5.1966e+00,3.1731e+01,-7.9675e+03
1.4296e-01,-1.3622e+00,-7.1074e-01,6.3096e-01,3.4351e+00,1.8270e+00,4.3960e+00,2.9723e+01,-5.7507e+04
-5.3613e-02,-1.1731e+00,1.0020e+00,3.0396e+00,4.1322e+00,2.3802e+00,5.2869e+00,3.1792e+01,-4.9197e+04
-1.6922e-01,-9.8597e-01,2.6283e+00,2.0842e+00,1.2203e+00,2.5489e+00,3.0045e+00,2.9679e+01,-7.0613e+04
-8.2483e-01,-1.0851e+00,1.6457e+00,2.9587e+00,5.3707e-01,2.8959e+00,2.5450e+00,2.9929e+01,-1.0316e+05
-9.9643e-01,-6.9354e-01,2.6902e+00,1.9577e+00,2.2471e+00,3.4751e+00,3.5838e+00,3.0731e+01,-9.1926e+04
-3.1153e-01,-1.4236e+00,2.4037e+00,1.5168e+00,3.1048e+00,2.9455e+00,3.5820e+00,3.2535e+01,-1.0313e+05
-7.9199e-01,-1.9140e+00,2.2180e+00,1.1557e+00,1.1505e+00,2.2461e+00,3.1081e+00,3.1413e+01,-9.4515e+04
-5.0399e-01,-1.6206e+00,2.6640e+00,2.2345e+00,1.6537e+00,3.3988e+00,2.7088e+00,3.1758e+01,-8.9635e+04
-3.6045e-01,-7.1446e-01,1.7999e+00,1.3338e+00,3.0388e+00,4.0816e+00,2.7037e+00,2.9458e+01,-9.4395e+04
-4.6549e-01,-1.7395e+00,2.6817e+00,3.9022e-01,1.7664e+00,2.1743e+00,3.1104e+00,2.9696e+01,-6.8878e+04
-3.5826e-01,-1.8018e+00,1.7825e+00,1.6277e+00,2.3710e+00,1.8242e+00,2.8305e+00,3.0132e+01,-8.9116e+04
3.6200e-01,-5.2610e-01,1.9056e+00,1.4221e+00,2.1413e+00,2.2364e+00,2.8477e+00,2.9135e+01,-8.2233e+04
-9.7679e-01,-1.1526e+00,2.6085e+00,1.8151e+00,1.4471e+00,2.1178e+00,3.8474e+00,3.1702e+01,-9.7119e+04
2.5081e-01,-1.3255e+00,2.1192e+00,2.0764e-01,5.6793e-01,5.1949e+00,3.2826e+00,3.1742e+01,-7.2519e+04
-3.7366e-01,-1.5257e+00,2.3465e+00,2.1077e+00,1.1585e+00,3.2819e+00,2.5003e+00,3.0144e+01,-8.1007e+04
-6.3281e-01,-8.8059e-01,2.6605e+00,2.7079e+00,1.4717e+00,2.9185e+00,3.9230e+00,3.0229e+01,-8.9400e+04
-4.1565e-01,-7.7591e-01,2.4351e+00,2.4885e+00,2.7381e+00,2.3170e+00,3.9547e+00,3.1267e+01,-9.7583e+04
