logfeh_mean,logdust_med,logNpix,tau,dmod,logl
3.5510e-02,-8.2410e-01,1.2828e+00,1.3452e+00,2.5808e+01,-1.1259e+03
-2.8727e-01,-4.6329e-01,4.0930e+00,7.0547e+00,2.8187e+01,-2.8486e+03
1.3945e-01,-4.0204e-01,3.7754e+00,4.3437e+00,2.9446e+01,-2.8369e+02
-4.6080e-01,-2.1682e-01,1.5807e+00,5.6372e-01,2.5295e+01,-9.0372e+01
-4.6102e-01,-4.8401e-01,2.6200e+00,7.9972e+00,2.5543e+01,-1.4135e+03
-2.5446e-01,-2.1701e-03,2.6045e+00,7.0784e+00,2.7846e+01,-5.7175e+00
2.1493e-01,-1.1461e-01,4.1171e+00,3.5128e-01,2.9813e+01,-3.2509e+02
2.0411e-01,-3.1189e-01,3.2658e+00,5.5674e+00,2.8940e+01,-3.3327e+01
4.3929e-02,-2.6211e-02,3.1419e+00,3.6139e+00,2.5111e+01,-2.6539e+03
1.5044e-01,-2.2716e-03,3.5743e+00,5.8303e+00,2.7564e+01,-1.1714e+03
-3.2778e-02,-5.8704e-01,2.4522e+00,3.8916e-01,2.9341e+01,-1.4584e+03
-4.5318e-01,-7.4064e-01,3.1287e+00,3.9939e+00,2.9662e+01,-1.7523e+01
-4.2078e-01,-4.2272e-01,3.6172e+00,7.7322e+00,2.5983e+01,-4.6290e+03
-3.2089e-01,-1.6975e-01,3.9791e+00,4.7332e+00,2.7464e+01,-2.9977e+03
-1.3448e-01,-7.3326e-01,3.4200e+00,6.0530e+00,2.6353e+01,-2.9470e+03
-1.0827e-01,-9.0167e-01,3.8545e+00,7.0839e+00,2.7835e+01,-2.5483e+03
-4.9239e-01,-4.4045e-01,2.9241e+00,2.4991e+00,2.9954e+01,-3.6907e+02
-2.0147e-02,-9.2506e-01,2.8137e+00,2.2661e+00,2.9417e+01,-2.9252e+02
-2.2314e-01,-7.2248e-01,1.9362e+00,7.3291e+00,2.9045e+01,-2.9738e+03
-1.9243e-01,-5.2314e-01,3.0324e+00,5.0640e+00,2.6941e+01,-8.8691e+02
-4.4087e-01,-9.9107e-01,3.2333e+00,7.6507e+00,2.5173e+01,-4.6242e+03
2.0384e-01,-6.1358e-02,3.9802e+00,7.2948e+00,2.6186e+01,-4.8760e+03
-1.2877e-01,-1.9012e-01,4.8183e+00,5.1361e+00,2.9554e+01,-2.9715e+03
1.9103e-02,-9.5706e-01,4.3343e+00,3.0226e+00,2.9683e+01,-1.2456e+03
-4.2736e-01,-5.4415e-01,3.3585e+00,5.4684e+00,2.8055e+01,-7.8755e+02
-3.9467e-01,-8.4469e-01,3.5982e+00,7.8551e+00,2.8474e+01,-1.1812e+03
-1.2591e-01,-5.8314e-01,1.6088e+00,5.7233e+00,2.5525e+01,-4.0229e+01
-4.5905e-01,-5.0988e-01,1.7228e+00,5.0843e+00,2.7756e+01,-1.2726e+03
-7.4689e-02,-1.8166e-01,4.7559e+00,1.6239e+00,2.8564e+01,-3.7544e+03
-3.7102e-01,-5.2072e-01,2.8011e+00,2.9842e+00,2.6087e+01,-9.9693e+02
-2.5792e-01,-6.6137e-01,2.3292e+00,7.8327e+00,2.6016e+01,-3.8976e+02
2.6955e-04,-4.2522e-01,1.2079e+00,4.3884e+00,2.6040e+01,-3.1368e+03
-1.4562e-02,-4.1316e-01,2.5813e+00,4.6489e+00,2.5923e+01,-5.8969e+02
-4.9409e-01,-3.7437e-01,3.3072e+00,1.9582e+00,2.8428e+01,-2.5681e+02
-4.0080e-01,-2.5519e-02,1.7225e+00,6.1068e+00,2.7411e+01,-1.1600e+03
-4.1363e-01,-7.0686e-01,4.0575e+00,6.8728e-01,2.8142e+01,-2.3301e+03
-4.5047e-01,-3.3099e-01,2.3819e+00,4.7746e+00,2.6145e+01,-2.4293e+02
-2.9932e-01,-6.7173e-02,4.3046e+00,1.2490e+00,2.8235e+01,-2.5414e+03
1.6296e-01,-2.5864e-01,3.0628e+00,1.1685e+00,2.5199e+01,-2.1593e+03
1.2574e-01,-8.8294e-01,3.0924e+00,6.9972e+00,2.5194e+01,-3.3015e+03
1.9293e-02,-5.2373e-01,1.6771e+00,5.9906e-01,2.5161e+01,-2.1252e+01
-3.1818e-01,-8.8729e-01,2.6200e+00,4.3238e-01,2.9633e+01,-6.7584e+02
