logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
8.9172e-02,-1.3960e+00,-1.1869e+00,-1.2465e-01,-1.7113e-01,2.2349e+00,2.5543e+00,2.4703e+01,-1.6233e+03
2.2460e-01,-1.9109e+00,-1.2673e+00,-1.7790e-01,8.3994e-02,2.2413e+00,2.5530e+00,2.4657e+01,-1.3289e+03
8.7118e-02,-1.5649e+00,-3.0350e+00,-8.0439e-02,5.0749e-01,2.1127e+00,2.6430e+00,2.4758e+01,-1.4266e+03
1.6835e-01,-1.4814e+00,-2.1105e+00,-6.8964e-01,4.6078e-01,2.2896e+00,2.4534e+00,2.4591e+01,-1.5129e+03
1.7052e-01,-1.6585e+00,-1.2582e+00,-7.1631e-01,1.8345e-01,2.1824e+00,2.5115e+00,2.4537e+01,-1.5828e+03
1.4784e-01,-1.5539e+00,-1.1456e+00,-1.4896e-01,-1.0886e+00,2.2337e+00,2.5563e+00,2.4670e+01,-1.4744e+03
1.8668e-01,-1.5836e+00,-1.3522e+00,-3.0001e-01,4.1934e-01,2.2051e+00,2.4585e+00,2.4493e+01,-1.4180e+03
1.1117e-01,-1.9866e+00,-2.7914e+00,-1.5060e-01,2.7134e-01,1.9712e+00,2.7094e+00,2.4762e+01,-1.6235e+03
1.4756e-01,-1.5220e+00,-2.4622e+00,-7.9238e-02,-1.2374e-01,2.2879e+00,2.4982e+00,2.4665e+01,-1.3426e+03
2.2198e-01,-1.8401e+00,-1.6916e+00,-1.2620e-01,-7.5801e-01,2.2381e+00,2.4926e+00,2.4586e+01,-1.6155e+03
2.1051e-01,-1.8025e+00,-2.1270e+00,-8.5801e-01,4.8845e-01,2.2894e+00,2.4906e+00,2.4657e+01,-1.6137e+03
2.0812e-01,-1.6600e+00,-3.0210e+00,-3.5976e-01,-7.8552e-01,2.2891e+00,2.4306e+00,2.4551e+01,-1.4070e+03
1.1923e-01,-1.7234e+00,-2.0332e+00,-7.3058e-02,-3.7302e-01,2.1748e+00,2.6442e+00,2.4803e+01,-1.5524e+03
1.0990e-01,-1.3809e+00,-2.5648e+00,-6.5266e-02,-4.0695e-01,2.2655e+00,2.5153e+00,2.4650e+01,-1.4085e+03
1.5325e-01,-1.6876e+00,-3.1064e+00,-2.2162e-01,-1.0708e+00,2.2882e+00,2.5978e+00,2.4799e+01,-1.6093e+03
1.7756e-01,-1.7442e+00,-1.3769e+00,-5.3251e-01,-4.7512e-01,2.2238e+00,2.5191e+00,2.4603e+01,-1.5305e+03
1.4445e-01,-1.5562e+00,-2.5897e+00,-2.9014e-01,-6.1775e-01,2.2191e+00,2.5253e+00,2.4610e+01,-1.6235e+03
2.2721e-01,-1.7170e+00,-2.9400e+00,-2.0940e-01,-3.1110e-01,2.2243e+00,2.4925e+00,2.4522e+01,-1.5946e+03
2.1015e-01,-1.6035e+00,-2.5571e+00,-2.7534e-01,-9.0404e-01,2.2827e+00,2.4457e+00,2.4535e+01,-1.5367e+03
1.3596e-01,-1.6079e+00,-1.3009e+00,-9.6684e-02,2.0410e-02,2.1359e+00,2.6057e+00,2.4659e+01,-1.5070e+03
2.0285e-02,-1.2607e+00,-3.1053e+00,-1.0888e-01,-7.7945e-01,2.2475e+00,2.5322e+00,2.4683e+01,-1.6253e+03
1.1259e-01,-1.4794e+00,-2.1543e+00,-8.6003e-02,5.4421e-01,2.1427e+00,2.6086e+00,2.4679e+01,-1.5022e+03
1.7432e-01,-1.9079e+00,-2.1282e+00,-2.5154e-01,-9.9522e-01,2.2231e+00,2.5876e+00,2.4719e+01,-1.5052e+03
1.2780e-01,-1.4123e+00,-3.0660e+00,-1.2181e-01,1.8881e-01,2.2407e+00,2.4766e+00,2.4569e+01,-1.5770e+03
2.3190e-01,-1.8887e+00,-2.4932e+00,-3.0948e-01,5.2003e-01,2.2115e+00,2.5418e+00,2.4617e+01,-1.4762e+03
2.1194e-01,-1.6255e+00,-1.2726e+00,-3.3620e-01,6.5837e-01,2.1856e+00,2.4793e+00,2.4503e+01,-1.3433e+03
2.1336e-01,-1.8938e+00,-1.8094e+00,-2.5785e-01,-4.6699e-01,2.2682e+00,2.4995e+00,2.4631e+01,-1.3230e+03
1.1612e-01,-1.3937e+00,-1.2151e+00,-2.4437e-01,3.3571e-01,2.2478e+00,2.5466e+00,2.4675e+01,-1.5896e+03
1.9369e-01,-1.4138e+00,-2.3616e+00,-3.5431e-01,3.2208e-02,2.2984e+00,2.3012e+00,2.4400e+01,-1.6229e+03
1.6405e-01,-1.8683e+00,-2.1005e+00,-9.7211e-02,6.5334e-01,2.1759e+00,2.6385e+00,2.4795e+01,-1.4157e+03
1.6295e-01,-1.5304e+00,-2.0388e+00,-2.7495e-01,-8.2884e-01,2.2899e+00,2.4673e+00,2.4603e+01,-1.4575e+03
2.1135e-01,-1.9668e+00,-2.8124e+00,-6.3421e-01,-1.4738e-01,2.2191e+00,2.4798e+00,2.4543e+01,-1.6152e+03
1.6746e-01,-1.9043e+00,-1.2702e+00,-1.5391e-01,1.3961e-01,2.0418e+00,2.6108e+00,2.4581e+01,-1.5912e+03
2.3932e-01,-1.7491e+00,-2.2750e+00,-3.8763e-01,4.7210e-01,2.2992e+00,2.4425e+00,2.4586e+01,-1.2357e+03
2.0236e-01,-1.6198e+00,-1.3944e+00,-1.8838e-01,-7.6831e-01,2.2636e+00,2.4731e+00,2.4568e+01,-1.3582e+03
2.0031e-01,-1.7783e+00,-2.2057e+00,-2.9531e-01,-1.3076e+00,2.2394e+00,2.4933e+00,2.4557e+01,-1.6020e+03
2.2715e-01,-1.7679e+00,-2.9034e+00,-3.4537e-01,-7.1249e-02,2.3075e+00,2.4100e+00,2.4556e+01,-1.6242e+03
1.0994e-01,-1.4920e+00,-1.5767e+00,-2.7689e-01,1.9111e-01,2.2454e+00,2.5619e+00,2.4715e+01,-1.4557e+03
1.9704e-01,-1.8278e+00,-2.0968e+00,-3.9697e-01,5.5141e-01,2.2106e+00,2.5664e+00,2.4679e+01,-1.5504e+03
2.3224e-01,-1.7327e+00,-1.5005e+00,-1.3632e-01,-1.9342e-01,2.2342e+00,2.4895e+00,2.4536e+01,-1.4066e+03
1.0013e-01,-1.8801e+00,-1.6761e+00,-2.1563e-01,2.2257e-01,2.0321e+00,2.6579e+00,2.4723e+01,-1.5278e+03
2.2368e-01,-1.9314e+00,-1.9349e+00,-1.4181e-01,5.2511e-01,2.1821e+00,2.5586e+00,2.4628e+01,-1.3471e+03
1.1692e-01,-1.5540e+00,-1.5382e+00,-2.8884e-01,2.7664e-02,2.1976e+00,2.5747e+00,2.4669e+01,-1.5854e+03
2.0889e-01,-1.9148e+00,-1.9472e+00,-6.9292e-01,1.5651e-01,2.1650e+00,2.5000e+00,2.4499e+01,-1.6217e+03
1.8635e-01,-1.8158e+00,-2.7939e+00,-2.7001e-01,-7.2945e-01,2.2319e+00,2.5095e+00,2.4607e+01,-1.5062e+03
1.4658e-01,-1.4762e+00,-1.6017e+00,-1.7558e-01,-4.0648e-01,2.2925e+00,2.4857e+00,2.4632e+01,-1.4469e+03
4.0590e-02,-1.4355e+00,-1.3110e+00,-2.2322e-01,3.5159e-01,2.0564e+00,2.6342e+00,2.4694e+01,-1.5494e+03
3.1679e-02,-1.2733e+00,-1.7426e+00,-1.2520e-01,6.5272e-01,2.1743e+00,2.5581e+00,2.4667e+01,-1.4073e+03
-3.1626e-02,-1.2399e+00,-1.8992e+00,-1.1035e-01,5.3710e-01,2.2101e+00,2.6302e+00,2.4851e+01,-1.5639e+03
2.2970e-01,-1.9762e+00,-2.0048e+00,-6.6298e-02,-5.5806e-01,2.2115e+00,2.5083e+00,2.4566e+01,-1.4761e+03
2.4938e-01,-1.7567e+00,-2.1789e+00,-6.4814e-01,1.7396e-01,2.2492e+00,2.3875e+00,2.4425e+01,-1.5624e+03
2.1112e-01,-1.7470e+00,-3.0233e+00,-2.1093e-01,-7.0981e-01,2.3133e+00,2.4928e+00,2.4665e+01,-1.2671e+03
1.3828e-01,-1.3951e+00,-1.8805e+00,-1.8616e-01,-6.0625e-01,2.3081e+00,2.4549e+00,2.4596e+01,-1.5241e+03
1.4574e-01,-1.7988e+00,-3.0787e+00,-3.9728e-01,5.9385e-01,2.1358e+00,2.5948e+00,2.4684e+01,-1.4885e+03
1.8166e-01,-1.5219e+00,-1.2275e+00,-1.1614e-01,-6.2550e-01,2.2600e+00,2.4610e+00,2.4538e+01,-1.5235e+03
1.8294e-01,-1.8231e+00,-2.4200e+00,-1.0701e-01,-3.3552e-01,2.1822e+00,2.6031e+00,2.4670e+01,-1.5889e+03
1.3805e-01,-1.9552e+00,-2.6795e+00,-1.5574e-01,3.9348e-01,2.0170e+00,2.6870e+00,2.4729e+01,-1.5908e+03
1.6300e-01,-1.6078e+00,-1.7612e+00,-1.1952e-01,2.0388e-01,2.1789e+00,2.5416e+00,2.4589e+01,-1.4368e+03
2.1665e-01,-1.8934e+00,-1.3263e+00,-3.5936e-01,3.2670e-01,2.1273e+00,2.4833e+00,2.4439e+01,-1.5601e+03
2.1732e-01,-1.6780e+00,-1.7998e+00,-2.7647e-01,3.0084e-01,2.2511e+00,2.4978e+00,2.4581e+01,-1.4283e+03
1.9223e-01,-1.7834e+00,-2.2028e+00,-2.4606e-01,-2.8851e-01,2.2330e+00,2.5116e+00,2.4599e+01,-1.3435e+03
2.0792e-01,-1.8546e+00,-1.6610e+00,-3.7832e-01,6.0681e-01,2.1055e+00,2.4882e+00,2.4434e+01,-1.6327e+03
1.7472e-01,-1.5573e+00,-2.1012e+00,-6.7211e-02,-7.7551e-01,2.2817e+00,2.4676e+00,2.4588e+01,-1.5329e+03
9.2929e-02,-1.3255e+00,-2.2166e+00,-2.3323e-01,4.3328e-01,2.3138e+00,2.4704e+00,2.4661e+01,-1.6103e+03
8.7117e-02,-1.5777e+00,-1.3516e+00,-9.5661e-02,2.5650e-01,2.1295e+00,2.6594e+00,2.4779e+01,-1.4014e+03
1.6038e-01,-1.5931e+00,-1.3714e+00,-2.5545e-01,-2.5713e-01,2.2954e+00,2.5582e+00,2.4749e+01,-1.5173e+03
2.4545e-01,-1.7636e+00,-1.8255e+00,-1.4240e-01,2.2824e-01,2.2731e+00,2.4463e+00,2.4538e+01,-1.3021e+03
