niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.4027e+05,-1.4028e+05,-2.4969e-03,-1.4028e+05,1.2922e-01,6.6871e+00,inf,8.3755e-01,-2.6831e-02,-1.4816e+00,1.1163e+00,3.4556e+00,3.9445e+00,5.2893e+00,5.7827e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.3986e+05,-1.3987e+05,-4.9938e-03,-1.3987e+05,1.2924e-01,6.6896e+00,1.2595e+05,1.6927e+00,-6.6183e-01,-1.3484e+00,-1.2528e-01,3.2593e+00,4.0279e+00,4.6402e+00,5.7024e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.3963e+05,-1.3964e+05,-7.4906e-03,-1.3964e+05,1.2926e-01,6.6921e+00,1.2555e+05,2.5005e+00,-5.1427e-01,-1.8607e+00,-3.2001e-01,3.2631e+00,7.6673e-01,3.4692e+00,5.7935e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.3945e+05,-1.3946e+05,-9.9875e-03,-1.3946e+05,1.2929e-01,6.6946e+00,1.2531e+05,3.3208e+00,-2.5311e-01,-1.4600e+00,-4.1343e-01,2.8512e+00,3.8032e+00,2.6584e+00,5.7695e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.3934e+05,-1.3935e+05,-1.2484e-02,-1.3935e+05,1.2931e-01,6.6971e+00,1.2514e+05,4.1909e+00,-6.3093e-01,-1.9361e+00,-6.5729e-02,1.2572e-01,3.2840e+00,4.7218e+00,5.5938e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.3927e+05,-1.3928e+05,-1.4981e-02,-1.3928e+05,1.2934e-01,6.6996e+00,1.2503e+05,5.0120e+00,-9.2384e-01,-5.6973e-01,-3.4134e-01,2.5267e-01,4.2093e+00,4.7262e+00,5.7477e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.3904e+05,-1.3905e+05,-1.7478e-02,-1.3905e+05,1.2936e-01,6.7021e+00,1.2496e+05,5.6635e+00,-7.2510e-02,-1.0289e+00,5.1031e-01,3.8653e+00,2.2395e+00,4.6136e+00,5.7358e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.3902e+05,-1.3902e+05,-1.9975e-02,-1.3902e+05,1.2939e-01,6.7046e+00,1.2472e+05,6.3185e+00,8.0521e-02,-6.4461e-01,5.3542e-02,9.7232e-01,3.2609e+00,4.9892e+00,5.7920e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.3870e+05,-1.3870e+05,-2.2472e-02,-1.3870e+05,1.2941e-01,6.7071e+00,1.2470e+05,7.0092e+00,-9.6318e-01,-1.6140e+00,5.8355e-01,-2.0750e-02,2.3483e+00,4.7926e+00,5.5499e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.3847e+05,-1.3848e+05,-2.4969e-02,-1.3848e+05,1.2943e-01,6.7096e+00,1.2438e+05,7.7298e+00,-1.0303e-01,-1.4857e+00,1.2817e-02,3.6097e-01,1.1306e+00,2.3266e+00,5.6605e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.3842e+05,-1.3842e+05,-2.7466e-02,-1.3842e+05,1.2946e-01,6.7121e+00,1.2416e+05,8.5470e+00,1.4539e-01,-1.1995e+00,1.8312e+00,2.3362e+00,2.1536e+00,5.1169e+00,5.8331e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.3841e+05,-1.3842e+05,-2.9963e-02,-1.3842e+05,1.2904e-01,6.6685e+00,1.2410e+05,9.3904e+00,-5.2262e-01,-8.1771e-01,1.2008e+00,1.6080e+00,1.7738e+00,5.0655e+00,5.5791e+00
