logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod,logl
-1.1742e+00,-1.7044e+00,7.5714e-01,2.5052e+00,2.2277e+00,3.1091e+01,-1.4000e+03
-1.1139e+00,-1.7634e+00,2.1453e+00,2.4066e+00,1.7986e+00,3.1173e+01,-1.3859e+03
-1.0615e+00,-1.6233e+00,9.7113e-01,2.6766e+00,1.0560e+00,3.1147e+01,-1.3424e+03
-1.0145e+00,-1.7628e+00,2.4569e+00,2.0915e+00,2.4866e+00,3.1587e+01,-1.4688e+03
-1.1625e+00,-1.8762e+00,9.5750e-01,1.6218e+00,2.7986e+00,3.1146e+01,-1.3589e+03
-1.0348e+00,-1.6689e+00,2.0547e+00,2.5291e+00,2.4832e+00,3.1534e+01,-1.3898e+03
-1.0669e+00,-1.9201e+00,1.9581e+00,1.5711e+00,2.6714e+00,3.1095e+01,-1.5069e+03
-1.0643e+00,-1.5770e+00,2.8782e-02,2.2228e+00,2.5500e+00,3.0887e+01,-1.4492e+03
-1.1478e+00,-1.9683e+00,1.1462e+00,2.2463e+00,2.2513e+00,3.0767e+01,-1.5697e+03
-1.0767e+00,-1.6194e+00,1.7301e+00,2.8642e+00,1.1381e+00,3.1745e+01,-1.5459e+03
-1.1018e+00,-1.5936e+00,2.1465e+00,1.3506e+00,2.5338e+00,3.1024e+01,-1.4875e+03
-1.1927e+00,-1.5611e+00,6.9164e-01,2.1677e+00,2.6953e+00,3.1083e+01,-1.5305e+03
-1.0666e+00,-1.9813e+00,9.3766e-01,2.1113e+00,2.5740e+00,3.0960e+01,-1.3690e+03
-1.2319e+00,-1.6910e+00,1.1290e-01,1.5301e+00,2.4901e+00,3.0415e+01,-1.5892e+03
-1.1603e+00,-1.8308e+00,2.1347e+00,1.5084e+00,2.0797e+00,3.0754e+01,-1.5959e+03
-1.1165e+00,-1.5384e+00,2.9456e-01,1.4782e+00,2.9069e+00,3.1361e+01,-1.3961e+03
-1.0644e+00,-1.7148e+00,3.8692e-01,1.3251e+00,2.6231e+00,3.0710e+01,-1.5463e+03
-1.0371e+00,-1.7569e+00,5.5426e-01,2.8943e+00,1.6102e+00,3.1656e+01,-1.5044e+03
-1.0239e+00,-1.9723e+00,2.3757e+00,1.1622e+00,1.3358e+00,3.0827e+01,-1.5887e+03
-1.0576e+00,-1.9115e+00,1.9326e+00,1.7141e+00,2.7018e+00,3.1288e+01,-1.4619e+03
-1.2029e+00,-1.6623e+00,1.6422e+00,1.4124e+00,2.8666e+00,3.1340e+01,-1.4236e+03
-1.0834e+00,-1.6038e+00,2.0025e+00,2.4251e+00,2.1412e+00,3.1211e+01,-1.3688e+03
