logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.4361e-02,-1.8213e+00,1.6857e+00,2.1872e+00,1.9763e+00,1.8018e+00,3.3133e+00,2.8291e+01,-1.2201e+03
-7.2431e-01,-1.3901e+00,1.6935e+00,3.0315e-01,2.2120e+00,1.8841e+00,3.1965e+00,2.8098e+01,-1.1175e+03
-5.9289e-01,-1.3822e+00,1.7125e+00,1.9622e+00,2.1280e+00,1.8902e+00,3.2157e+00,2.8276e+01,-1.2040e+03
-8.7816e-01,-1.4980e+00,1.6741e+00,9.4945e-01,1.5076e+00,2.8427e+00,2.9976e+00,2.8069e+01,-1.0016e+03
-7.6568e-01,-1.2485e+00,1.5966e+00,2.0105e+00,1.5227e+00,1.6895e+00,3.1958e+00,2.8062e+01,-1.1905e+03
-4.6278e-01,-1.4985e+00,1.6454e+00,1.6178e+00,1.2601e+00,2.8315e+00,2.9314e+00,2.8060e+01,-1.2479e+03
-5.4865e-01,-1.7192e+00,1.6359e+00,1.3182e+00,2.4126e+00,2.4625e+00,2.9834e+00,2.8122e+01,-1.2898e+03
-2.5628e-01,-1.9072e+00,1.6662e+00,1.5720e+00,1.4887e+00,1.7773e+00,3.2733e+00,2.8035e+01,-1.2422e+03
-8.9752e-01,-1.7217e+00,1.5861e+00,2.1503e+00,7.2868e-01,2.9108e+00,3.1225e+00,2.8473e+01,-1.1640e+03
-6.0758e-01,-1.9782e+00,1.6934e+00,1.0200e+00,2.0605e+00,2.8229e+00,3.0479e+00,2.8248e+01,-1.2226e+03
-6.5752e-01,-1.5560e+00,1.6909e+00,1.5790e-01,1.1166e+00,2.5676e+00,3.2217e+00,2.8089e+01,-1.1755e+03
1.5141e-01,-1.9729e+00,1.5541e+00,2.3153e+00,1.9769e+00,2.9031e+00,2.9201e+00,2.8255e+01,-1.2811e+03
-4.4979e-01,-1.3227e+00,1.7329e+00,1.4352e+00,6.9396e-01,2.8450e+00,3.0666e+00,2.8110e+01,-1.0161e+03
-5.0256e-01,-1.1996e+00,1.6570e+00,1.7690e+00,7.9820e-01,2.8135e+00,3.0337e+00,2.8050e+01,-1.1410e+03
-5.4669e-01,-1.9092e+00,1.6749e+00,9.8769e-01,2.0949e+00,2.8960e+00,2.8389e+00,2.8105e+01,-1.2017e+03
-6.0606e-01,-1.0908e+00,1.6289e+00,2.1426e+00,1.0796e+00,2.6705e+00,3.1863e+00,2.8288e+01,-1.2929e+03
-7.1131e-01,-1.7352e+00,1.5089e+00,2.0695e+00,1.8354e+00,2.2395e+00,3.2309e+00,2.8244e+01,-1.1845e+03
1.4660e-01,-1.7402e+00,1.5226e+00,2.2576e+00,1.6522e+00,2.4778e+00,3.2873e+00,2.8218e+01,-1.1327e+03
-9.7631e-01,-1.2597e+00,1.6957e+00,5.8710e-01,1.5939e+00,2.4717e+00,3.2703e+00,2.8138e+01,-1.0230e+03
3.5136e-02,-1.9471e+00,1.6460e+00,1.9623e+00,2.1822e+00,2.5632e+00,3.1857e+00,2.8169e+01,-1.1143e+03
-6.4430e-01,-1.7401e+00,1.7064e+00,5.2144e-01,2.6062e+00,2.6202e+00,2.9340e+00,2.8320e+01,-1.1892e+03
-8.9403e-01,-1.1287e+00,1.5639e+00,2.2488e+00,4.0070e-01,2.8737e+00,3.0186e+00,2.8379e+01,-1.2574e+03
2.0742e-01,-1.0965e+00,1.6982e+00,1.8663e+00,1.8108e+00,2.5411e+00,3.2002e+00,2.8023e+01,-1.2733e+03
-1.8017e-01,-1.0671e+00,1.5238e+00,2.3452e+00,1.0851e+00,1.9366e+00,3.2332e+00,2.8208e+01,-1.1732e+03
-2.0311e-01,-1.6745e+00,1.5619e+00,2.0175e+00,1.9106e+00,2.9517e+00,2.5284e+00,2.8095e+01,-1.1840e+03
-1.9995e-02,-1.5977e+00,1.6167e+00,1.9893e+00,1.6651e+00,2.9542e+00,2.6504e+00,2.8022e+01,-1.2421e+03
-6.6619e-01,-1.5839e+00,1.6566e+00,1.6421e+00,2.0909e+00,2.5818e+00,3.1678e+00,2.8196e+01,-1.1662e+03
-8.2482e-01,-1.7868e+00,1.6558e+00,1.3003e+00,2.5786e+00,2.8640e+00,2.7568e+00,2.8335e+01,-1.2073e+03
-2.8682e-01,-1.1859e+00,1.6813e+00,2.2429e+00,4.3732e-01,2.6029e+00,3.3147e+00,2.8429e+01,-1.3036e+03
-9.5523e-01,-1.0654e+00,1.4634e+00,1.8945e+00,2.2625e+00,2.8728e+00,2.5260e+00,2.8059e+01,-1.2769e+03
-4.5428e-01,-1.1120e+00,1.7176e+00,2.2824e+00,1.6933e+00,2.5112e+00,3.2758e+00,2.8560e+01,-1.2799e+03
-8.9633e-01,-1.4373e+00,1.7266e+00,1.9868e+00,1.1722e+00,2.7507e+00,3.2524e+00,2.8446e+01,-1.0102e+03
-8.0000e-01,-1.6057e+00,1.7302e+00,1.7751e+00,1.7897e+00,2.9048e+00,3.1019e+00,2.8330e+01,-1.2381e+03
-8.7386e-01,-1.4202e+00,1.7236e+00,7.6464e-01,2.3712e+00,2.8496e+00,3.0424e+00,2.8283e+01,-1.3254e+03
-9.5468e-01,-1.6044e+00,1.6542e+00,1.8800e+00,7.3808e-01,3.0679e+00,2.8932e+00,2.8400e+01,-1.1098e+03
-9.7448e-01,-1.9524e+00,1.5976e+00,6.4284e-01,9.0448e-01,2.3788e+00,3.2518e+00,2.8028e+01,-1.1954e+03
-8.6542e-01,-1.1031e+00,1.6392e+00,1.8436e+00,1.7372e+00,2.9040e+00,2.8583e+00,2.8188e+01,-1.0627e+03
-9.1848e-01,-1.1389e+00,1.5582e+00,1.0725e+00,2.6510e+00,2.3043e+00,2.8869e+00,2.8105e+01,-1.3043e+03
5.1727e-02,-1.5939e+00,1.6114e+00,2.0261e+00,7.5621e-01,2.9758e+00,3.0660e+00,2.8202e+01,-1.3164e+03
6.0499e-02,-1.2237e+00,1.6894e+00,1.8305e+00,2.7140e+00,2.1192e+00,2.7500e+00,2.8129e+01,-1.2897e+03
-3.9523e-01,-1.6549e+00,1.5995e+00,1.7883e+00,1.6126e+00,2.7076e+00,2.9469e+00,2.8013e+01,-1.3083e+03
-7.4261e-01,-1.9294e+00,1.5726e+00,2.2554e+00,1.1318e+00,2.5282e+00,3.2366e+00,2.8451e+01,-1.3152e+03
-5.6995e-01,-1.4034e+00,1.6737e+00,1.3111e+00,1.3521e+00,2.9291e+00,2.8293e+00,2.8024e+01,-1.0735e+03
-1.3535e-01,-1.8557e+00,1.5524e+00,2.2286e+00,8.5373e-01,2.0794e+00,3.2959e+00,2.8292e+01,-1.3408e+03
-9.5720e-01,-1.4424e+00,1.6627e+00,2.3323e-01,2.3661e+00,2.2767e+00,3.2099e+00,2.8190e+01,-1.0939e+03
-1.8350e-01,-1.6082e+00,1.6787e+00,1.6635e+00,7.9192e-01,3.0352e+00,2.8780e+00,2.8158e+01,-1.2375e+03
-9.2696e-01,-1.1028e+00,1.6194e+00,1.9404e+00,1.4571e+00,1.8980e+00,3.3120e+00,2.8155e+01,-1.1152e+03
2.5170e-02,-1.0747e+00,1.5722e+00,2.2150e+00,9.9253e-01,1.6237e+00,3.3533e+00,2.8184e+01,-1.1873e+03
-4.4177e-01,-1.2905e+00,1.6414e+00,2.0461e+00,1.0182e+00,1.7135e+00,3.2999e+00,2.8120e+01,-1.3014e+03
-9.8499e-01,-1.8628e+00,1.6491e+00,2.0772e+00,5.6766e-01,2.2497e+00,3.4421e+00,2.8549e+01,-1.0934e+03
