logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-5.9787e-01,-1.5662e+00,1.6396e+00,1.9262e+00,2.1887e+00,3.1995e+00,3.7711e+00,3.0120e+01,-1.1744e+03
-9.0270e-03,-1.1234e+00,1.4917e+00,2.3304e+00,1.4041e+00,1.9493e+00,3.7434e+00,2.9538e+01,-6.0148e+02
6.0049e-02,-1.7437e+00,-3.4369e-01,2.1704e+00,1.8237e+00,3.0040e+00,3.1532e+00,2.8869e+01,-1.3753e+03
-8.5510e-01,-1.2664e+00,1.3904e+00,1.3774e+00,1.1232e+00,3.3000e+00,3.2191e+00,2.9461e+01,-1.4154e+03
-1.1736e-01,-1.8059e+00,-1.0353e-02,2.2760e+00,5.1065e-01,2.8290e+00,3.4237e+00,2.9154e+01,-1.2276e+03
-1.6715e-01,-1.9356e+00,1.2889e+00,2.0824e+00,4.7814e-01,3.1135e+00,3.3827e+00,2.9310e+01,-6.3473e+02
-2.6717e-01,-1.2431e+00,1.6659e+00,2.6513e+00,2.6820e+00,1.7540e+00,3.9098e+00,3.0422e+01,-1.1722e+03
-6.9665e-02,-1.9034e+00,1.3410e+00,2.4896e+00,2.0805e+00,3.7086e+00,2.6385e+00,3.0067e+01,-1.4472e+03
1.5604e-01,-1.6167e+00,1.4034e+00,8.0967e-01,3.1665e+00,1.8879e+00,2.9264e+00,2.9280e+01,-1.2724e+03
-8.5158e-01,-1.1085e+00,1.7092e+00,1.4062e-01,3.0539e+00,1.9842e+00,3.8705e+00,3.0357e+01,-1.4783e+03
2.3201e-01,-1.7898e+00,3.2286e-01,2.1952e+00,1.5632e+00,2.6862e+00,3.3364e+00,2.8680e+01,-1.4346e+03
-5.9790e-01,-1.4458e+00,1.7049e+00,1.9689e+00,2.6651e+00,3.1746e+00,3.8466e+00,3.0322e+01,-1.2821e+03
-4.1452e-01,-1.9589e+00,1.4122e+00,1.9792e+00,1.5628e+00,2.2046e+00,3.5922e+00,2.9393e+01,-1.5093e+03
1.1831e-01,-1.2793e+00,1.3172e+00,1.4770e+00,3.0314e+00,2.6942e+00,2.6991e+00,2.9118e+01,-1.1446e+03
-4.5384e-01,-1.5406e+00,1.6767e+00,1.6634e+00,2.2549e+00,3.5744e+00,3.1074e+00,2.9998e+01,-1.1297e+03
-2.8134e-01,-1.0412e+00,1.2673e+00,1.9885e+00,1.2350e+00,2.9305e+00,3.2630e+00,2.8962e+01,-1.3414e+03
1.0720e-01,-1.5043e+00,1.5971e+00,1.7286e+00,3.2830e+00,1.7802e+00,3.3662e+00,2.9791e+01,-1.3247e+03
-1.8429e-01,-1.0132e+00,1.2942e+00,2.4374e+00,1.6819e+00,3.0931e+00,3.4753e+00,2.9565e+01,-1.2096e+03
1.8042e-01,-1.5371e+00,1.4889e+00,2.0146e+00,1.9530e+00,3.4110e+00,3.0302e+00,2.9352e+01,-1.3788e+03
-8.1531e-01,-1.5235e+00,1.4438e+00,1.9958e+00,7.3066e-01,2.2795e+00,3.6668e+00,2.9589e+01,-1.3882e+03
-4.6069e-01,-1.9588e+00,1.5480e+00,2.7288e-02,2.8186e+00,2.8476e+00,3.3933e+00,2.9591e+01,-1.4001e+03
-4.9907e-01,-1.9591e+00,1.7219e+00,1.3029e+00,2.0937e+00,3.3382e+00,3.5703e+00,2.9939e+01,-8.7187e+02
2.3390e-02,-1.8095e+00,1.6268e+00,2.2202e+00,2.0040e+00,2.5720e+00,3.8394e+00,2.9818e+01,-8.8014e+02
-3.1620e-01,-1.3727e+00,1.5108e+00,2.1156e+00,1.9446e+00,3.5042e+00,2.9145e+00,2.9761e+01,-9.2191e+02
-2.5196e-01,-1.7245e+00,1.4168e+00,2.1246e+00,7.2614e-01,3.4849e+00,3.1943e+00,2.9694e+01,-1.0601e+03
-9.7910e-01,-1.7777e+00,1.5665e+00,5.9789e-02,4.3576e-01,2.8146e+00,3.7887e+00,2.9835e+01,-1.2452e+03
