logfeh,logdust,logNpix,tau,dmod,logl
1.2567e-01,-1.5157e+00,3.7547e+00,2.4581e+00,2.4441e+01,-7.4538e+02
1.6161e-01,-1.6903e+00,3.7475e+00,2.3941e+00,2.4411e+01,-7.5355e+02
1.0386e-01,-1.4825e+00,3.7622e+00,2.4122e+00,2.4472e+01,-7.5379e+02
1.0355e-01,-1.4765e+00,3.7657e+00,2.4216e+00,2.4479e+01,-7.4460e+02
1.6767e-01,-1.6565e+00,3.7485e+00,2.4818e+00,2.4414e+01,-7.5223e+02
1.4158e-01,-1.5858e+00,3.7611e+00,2.4540e+00,2.4456e+01,-7.4449e+02
1.5988e-01,-1.7258e+00,3.7443e+00,2.3957e+00,2.4408e+01,-7.4613e+02
1.6532e-01,-1.7155e+00,3.7462e+00,2.3854e+00,2.4408e+01,-7.5478e+02
1.8668e-01,-1.8547e+00,3.7379e+00,2.3998e+00,2.4383e+01,-7.4422e+02
8.1862e-02,-1.3544e+00,3.7956e+00,2.6245e+00,2.4569e+01,-7.5281e+02
1.8537e-01,-1.8318e+00,3.7040e+00,2.3197e+00,2.4286e+01,-7.4213e+02
1.9325e-01,-1.9258e+00,3.7466e+00,2.3538e+00,2.4400e+01,-7.5127e+02
1.9113e-01,-1.9605e+00,3.7033e+00,2.3214e+00,2.4288e+01,-7.3476e+02
1.5276e-01,-1.7336e+00,3.7580e+00,2.3016e+00,2.4443e+01,-7.3808e+02
1.0780e-01,-1.4835e+00,3.7510e+00,2.4057e+00,2.4438e+01,-7.4219e+02
1.6560e-01,-1.6559e+00,3.7560e+00,2.4978e+00,2.4438e+01,-7.4960e+02
1.2965e-01,-1.5323e+00,3.7612e+00,2.4426e+00,2.4455e+01,-7.3370e+02
1.5565e-01,-1.6859e+00,3.7483e+00,2.3911e+00,2.4420e+01,-7.4463e+02
1.8013e-01,-1.9146e+00,3.7160e+00,2.2588e+00,2.4323e+01,-7.3391e+02
1.3924e-01,-1.6093e+00,3.7330e+00,2.3793e+00,2.4384e+01,-7.5328e+02
1.2280e-01,-1.5458e+00,3.7653e+00,2.4175e+00,2.4476e+01,-7.4901e+02
7.8152e-02,-1.3918e+00,3.7948e+00,2.4879e+00,2.4566e+01,-7.4649e+02
1.6216e-01,-1.7143e+00,3.7438e+00,2.3940e+00,2.4403e+01,-7.2170e+02
1.2986e-01,-1.5879e+00,3.7636e+00,2.4406e+00,2.4476e+01,-7.4995e+02
1.5829e-01,-1.6567e+00,3.7308e+00,2.4086e+00,2.4371e+01,-7.5248e+02
1.8691e-01,-1.8284e+00,3.7201e+00,2.3619e+00,2.4329e+01,-7.4609e+02
1.3834e-01,-1.6425e+00,3.7584e+00,2.3278e+00,2.4449e+01,-7.3973e+02
