niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4231e+05,-1.4232e+05,-2.4969e-03,-1.4232e+05,1.2922e-01,6.6871e+00,inf,4.3816e+00,-5.9412e-01,-1.2165e+00,-6.6360e-01,2.8002e+00,3.9983e+00,3.6511e+00,5.8351e+00,2.8715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4210e+05,-1.4211e+05,-4.9938e-03,-1.4211e+05,1.2924e-01,6.6896e+00,1.3879e+05,7.9719e+00,-1.9678e-01,-1.3328e+00,-9.6847e-01,2.3696e+00,4.3213e+00,5.2533e+00,5.5773e+00,2.8739e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4146e+05,-1.4147e+05,-7.4906e-03,-1.4147e+05,1.2926e-01,6.6921e+00,1.3858e+05,1.1901e+01,1.4012e-01,-7.5109e-01,1.1829e+00,2.1211e+00,2.8140e+00,1.4835e+00,5.8136e+00,2.8283e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4006e+05,-1.4006e+05,-9.9875e-03,-1.4006e+05,1.2929e-01,6.6946e+00,1.3794e+05,1.5927e+01,3.5482e-01,-8.8113e-01,3.3692e-01,-1.6971e-02,3.1071e+00,4.4875e+00,5.5637e+00,2.8438e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4001e+05,-1.4002e+05,-1.2484e-02,-1.4002e+05,1.2931e-01,6.6971e+00,1.3654e+05,1.9469e+01,4.7627e-01,-1.0842e+00,1.5499e+00,2.5635e+00,2.6714e+00,2.1258e+00,5.7811e+00,2.8384e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.3986e+05,-1.3986e+05,-1.4981e-02,-1.3986e+05,1.2934e-01,6.6996e+00,1.3649e+05,2.3446e+01,-9.0637e-01,-1.6110e+00,1.0718e+00,1.9172e+00,4.1919e+00,1.6046e+00,5.6835e+00,2.9360e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.3950e+05,-1.3951e+05,-1.7478e-02,-1.3951e+05,1.2936e-01,6.7021e+00,1.3634e+05,2.7157e+01,-9.0816e-01,-1.9653e+00,9.7264e-01,1.0120e+00,2.2433e+00,5.2774e+00,5.0483e+00,2.9137e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.3929e+05,-1.3930e+05,-1.9975e-02,-1.3930e+05,1.2939e-01,6.7046e+00,1.3598e+05,3.1101e+01,-9.1195e-01,-1.9115e+00,-8.4903e-01,2.0096e+00,2.0821e+00,5.3815e+00,2.2915e+00,2.9310e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.3880e+05,-1.3881e+05,-2.2472e-02,-1.3881e+05,1.2941e-01,6.7071e+00,1.3577e+05,3.5080e+01,-3.7116e-01,-1.1470e+00,-8.9008e-01,3.9282e+00,2.9381e+00,4.5008e+00,5.5826e+00,2.9366e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.3878e+05,-1.3878e+05,-2.4969e-02,-1.3878e+05,1.2943e-01,6.7096e+00,1.3528e+05,3.9404e+01,2.7714e-01,-1.3851e+00,-1.1330e-02,2.9648e+00,3.6264e+00,4.5321e+00,5.6483e+00,2.9601e+01
1.1000e+01,2.0000e+00,2.6699e+00,-1.3871e+05,-1.3872e+05,-2.7466e-02,-1.3872e+05,1.2946e-01,6.7121e+00,1.3526e+05,4.7008e+01,4.9198e-01,-1.7308e+00,2.1327e-01,2.2188e+00,4.9950e-01,4.9855e+00,5.7662e+00,3.0228e+01
1.2000e+01,1.0000e+00,2.9056e+00,-1.3843e+05,-1.3844e+05,-2.9963e-02,-1.3844e+05,1.2948e-01,6.7146e+00,1.3519e+05,5.0537e+01,-4.3809e-01,-1.9054e+00,6.5892e-01,2.8245e+00,3.5342e+00,2.1604e+00,5.3087e+00,2.8115e+01
1.3000e+01,1.0000e+00,3.1401e+00,-1.3833e+05,-1.3834e+05,-3.2459e-02,-1.3834e+05,1.2951e-01,6.7171e+00,1.3491e+05,5.4454e+01,3.5539e-01,-1.5836e+00,-3.0256e-02,2.7445e+00,4.0684e+00,5.3177e+00,4.4209e+00,2.9320e+01
1.4000e+01,1.0000e+00,3.3735e+00,-1.3830e+05,-1.3830e+05,-3.4956e-02,-1.3830e+05,1.2953e-01,6.7196e+00,1.3481e+05,5.7980e+01,-7.3454e-01,-1.3687e+00,-9.7422e-02,4.5577e-01,4.0445e+00,5.0232e+00,4.3727e+00,2.8630e+01
1.5000e+01,1.0000e+00,3.6058e+00,-1.3813e+05,-1.3814e+05,-3.7453e-02,-1.3814e+05,1.2955e-01,6.7221e+00,1.3478e+05,6.2013e+01,-8.6234e-02,-1.0700e+00,7.0908e-01,7.4074e-01,2.2379e+00,5.0820e+00,4.5430e+00,2.8326e+01
1.6000e+01,1.0000e+00,3.8369e+00,-1.3806e+05,-1.3807e+05,-3.9950e-02,-1.3807e+05,1.2958e-01,6.7246e+00,1.3461e+05,6.5957e+01,4.4875e-01,-1.7793e+00,-9.3833e-01,2.3212e+00,9.1837e-01,5.1862e+00,3.1600e+00,2.8774e+01
1.7000e+01,1.0000e+00,4.0670e+00,-1.3793e+05,-1.3794e+05,-4.2447e-02,-1.3794e+05,1.2960e-01,6.7271e+00,1.3454e+05,7.0237e+01,-5.8994e-02,-1.6075e+00,1.2733e+00,2.1653e+00,1.2635e+00,4.0112e+00,5.6300e+00,2.9427e+01
1.8000e+01,1.0000e+00,4.2959e+00,-1.3760e+05,-1.3760e+05,-4.4944e-02,-1.3760e+05,1.2963e-01,6.7296e+00,1.3441e+05,7.3904e+01,7.2491e-02,-9.1386e-01,-9.8221e-01,1.0889e+00,2.7841e+00,5.1061e+00,3.2132e+00,2.8480e+01
1.9000e+01,1.0000e+00,4.5238e+00,-1.3757e+05,-1.3758e+05,-4.7441e-02,-1.3758e+05,1.2965e-01,6.7321e+00,1.3408e+05,7.7856e+01,-3.7174e-01,-1.1661e+00,4.8486e-01,6.6565e-01,2.4545e+00,3.1547e+00,5.4561e+00,2.9393e+01
2.0000e+01,1.0000e+00,4.7506e+00,-1.3756e+05,-1.3756e+05,-4.9938e-02,-1.3756e+05,1.2967e-01,6.7345e+00,1.3405e+05,8.2218e+01,-3.6660e-01,-5.5921e-01,4.5703e-01,3.7185e+00,3.7348e+00,3.6053e+00,5.6205e+00,2.9589e+01
2.1000e+01,1.0000e+00,4.9763e+00,-1.3744e+05,-1.3744e+05,-5.2434e-02,-1.3744e+05,1.2970e-01,6.7370e+00,1.3404e+05,8.6218e+01,1.7782e-01,-1.8480e+00,5.5483e-01,2.9152e+00,5.1184e-01,5.0957e+00,3.6981e+00,2.8279e+01
2.2000e+01,1.0000e+00,5.2009e+00,-1.3727e+05,-1.3728e+05,-5.4931e-02,-1.3728e+05,1.2972e-01,6.7395e+00,1.3392e+05,9.0283e+01,-9.4275e-01,-1.5514e+00,4.3014e-01,2.4323e+00,5.7000e-01,5.0611e+00,2.8127e+00,2.8550e+01
2.3000e+01,1.0000e+00,5.4245e+00,-1.3715e+05,-1.3715e+05,-5.7428e-02,-1.3715e+05,1.2975e-01,6.7420e+00,1.3375e+05,9.3934e+01,-8.6043e-01,-1.2291e+00,-2.6725e-01,1.8667e+00,1.5702e+00,1.4249e+00,5.4083e+00,2.9496e+01
2.4000e+01,2.0000e+00,5.6338e+00,-1.3714e+05,-1.3715e+05,-5.9925e-02,-1.3715e+05,1.2786e-01,6.5477e+00,1.3363e+05,1.0255e+02,4.0289e-01,-7.8436e-01,-3.0355e-01,2.2949e+00,4.0762e+00,5.2523e+00,2.1274e+00,2.9270e+01
2.5000e+01,2.0000e+00,5.8411e+00,-1.3714e+05,-1.3714e+05,-6.2422e-02,-1.3714e+05,1.2955e-01,6.7218e+00,1.3362e+05,1.1003e+02,3.6627e-01,-9.6179e-01,-8.8515e-01,3.2800e+00,1.9419e+00,5.1292e+00,3.7894e+00,2.8501e+01
2.6000e+01,1.0000e+00,6.0606e+00,-1.3701e+05,-1.3702e+05,-6.4919e-02,-1.3702e+05,1.2982e-01,6.7495e+00,1.3362e+05,1.1397e+02,-2.9425e-01,-1.6991e+00,-2.2265e-01,6.5581e-01,1.8791e+00,5.0299e+00,3.5913e+00,2.8713e+01
2.7000e+01,1.0000e+00,6.2791e+00,-1.3675e+05,-1.3676e+05,-6.7416e-02,-1.3676e+05,1.2984e-01,6.7520e+00,1.3349e+05,1.1790e+02,-8.5578e-01,-7.7099e-01,1.4615e+00,3.0802e+00,7.7065e-01,5.2709e+00,5.3886e+00,3.0522e+01
2.8000e+01,1.0000e+00,6.4965e+00,-1.3666e+05,-1.3666e+05,-6.9913e-02,-1.3666e+05,1.2987e-01,6.7545e+00,1.3323e+05,1.2151e+02,1.3353e-01,-6.0185e-01,4.4870e-01,1.1334e+00,1.9499e+00,4.6937e+00,5.4618e+00,2.9709e+01
2.9000e+01,1.0000e+00,6.7130e+00,-1.3663e+05,-1.3664e+05,-7.2410e-02,-1.3664e+05,1.2989e-01,6.7570e+00,1.3313e+05,1.2507e+02,2.6437e-01,-1.0077e+00,1.4122e+00,3.8970e+00,3.1270e+00,2.2448e+00,5.5312e+00,2.9048e+01
3.0000e+01,1.0000e+00,6.9284e+00,-1.3658e+05,-1.3659e+05,-7.4906e-02,-1.3659e+05,1.2991e-01,6.7595e+00,1.3311e+05,1.2867e+02,-8.9826e-01,-1.8475e+00,1.4099e+00,7.5392e-01,3.9814e+00,5.3710e+00,4.9921e+00,3.0901e+01
3.1000e+01,1.0000e+00,7.1429e+00,-1.3620e+05,-1.3621e+05,-7.7403e-02,-1.3621e+05,1.2994e-01,6.7620e+00,1.3306e+05,1.3218e+02,-2.5804e-01,-7.0726e-01,1.3217e+00,3.7332e+00,4.3288e+00,4.5171e+00,5.4394e+00,2.9843e+01
3.2000e+01,1.0000e+00,7.3563e+00,-1.3608e+05,-1.3609e+05,-7.9900e-02,-1.3609e+05,1.2996e-01,6.7645e+00,1.3268e+05,1.3582e+02,-2.1045e-01,-1.9739e+00,6.1262e-01,3.0175e-01,4.4112e+00,5.1809e+00,4.8658e+00,3.0561e+01
3.3000e+01,1.0000e+00,7.5688e+00,-1.3597e+05,-1.3598e+05,-8.2397e-02,-1.3598e+05,1.2999e-01,6.7670e+00,1.3256e+05,1.4007e+02,-8.4949e-01,-1.0955e+00,5.3563e-01,1.2869e+00,3.9311e+00,5.3738e+00,4.4315e+00,3.0901e+01
3.4000e+01,1.0000e+00,7.7803e+00,-1.3585e+05,-1.3586e+05,-8.4894e-02,-1.3586e+05,1.3001e-01,6.7695e+00,1.3245e+05,1.4403e+02,-8.7284e-01,-1.5005e+00,1.8568e+00,5.1540e-01,2.6720e+00,2.4751e+00,5.7552e+00,3.0671e+01
3.5000e+01,1.0000e+00,7.9909e+00,-1.3575e+05,-1.3575e+05,-8.7391e-02,-1.3575e+05,1.3003e-01,6.7720e+00,1.3233e+05,1.4851e+02,-6.7716e-01,-1.9724e+00,2.3950e+00,3.9047e-01,1.4704e+00,5.3528e+00,5.1687e+00,2.8980e+01
3.6000e+01,2.0000e+00,8.1818e+00,-1.3566e+05,-1.3567e+05,-8.9888e-02,-1.3567e+05,1.3006e-01,6.7745e+00,1.3223e+05,1.5656e+02,-6.9246e-01,-1.6479e+00,1.3310e+00,2.4595e+00,4.3927e+00,2.0882e+00,5.0571e+00,2.8621e+01
3.7000e+01,1.0000e+00,8.3900e+00,-1.3564e+05,-1.3565e+05,-9.2385e-02,-1.3565e+05,1.3008e-01,6.7770e+00,1.3214e+05,1.6086e+02,-4.9411e-02,-1.3425e+00,-4.4663e-01,2.2193e+00,2.5750e+00,5.1886e+00,3.7787e+00,3.0010e+01
3.8000e+01,1.0000e+00,8.5973e+00,-1.3563e+05,-1.3564e+05,-9.4881e-02,-1.3564e+05,1.3007e-01,6.7752e+00,1.3212e+05,1.6506e+02,-8.9396e-01,-1.7636e+00,-4.1069e-01,1.0802e+00,2.6089e+00,4.4759e+00,5.3786e+00,3.0550e+01
3.9000e+01,2.0000e+00,8.7838e+00,-1.3556e+05,-1.3557e+05,-9.7378e-02,-1.3557e+05,1.3013e-01,6.7820e+00,1.3211e+05,1.7263e+02,-7.4482e-01,-9.2243e-01,2.4223e+00,4.6289e-01,4.3583e+00,4.3998e+00,5.5239e+00,2.8151e+01
4.0000e+01,1.0000e+00,8.9888e+00,-1.3553e+05,-1.3554e+05,-9.9875e-02,-1.3554e+05,1.3015e-01,6.7845e+00,1.3204e+05,1.7628e+02,-4.9341e-01,-5.0630e-01,7.9138e-01,3.1893e+00,3.2758e+00,5.2256e+00,4.7169e+00,2.9981e+01
4.1000e+01,1.0000e+00,9.1928e+00,-1.3540e+05,-1.3540e+05,-1.0237e-01,-1.3540e+05,1.3018e-01,6.7870e+00,1.3201e+05,1.8028e+02,-6.6678e-01,-1.5617e+00,1.0043e+00,3.4519e+00,4.2982e+00,5.2101e+00,5.3727e+00,3.1619e+01
4.2000e+01,1.0000e+00,9.3960e+00,-1.3531e+05,-1.3531e+05,-1.0487e-01,-1.3531e+05,1.3020e-01,6.7895e+00,1.3188e+05,1.8423e+02,-1.8702e-01,-5.8344e-01,2.3612e-01,3.3542e-01,4.2517e+00,4.8111e+00,1.9614e+00,2.8472e+01
4.3000e+01,1.0000e+00,9.5982e+00,-1.3527e+05,-1.3527e+05,-1.0737e-01,-1.3527e+05,1.3023e-01,6.7920e+00,1.3179e+05,1.8776e+02,-8.9726e-01,-1.2969e+00,3.6084e-01,2.7646e-01,1.0054e+00,5.0338e+00,5.3449e+00,3.1135e+01
4.4000e+01,1.0000e+00,9.7996e+00,-1.3525e+05,-1.3526e+05,-1.0986e-01,-1.3526e+05,1.3025e-01,6.7944e+00,1.3175e+05,1.9204e+02,-9.4816e-01,-1.9023e+00,1.2588e+00,1.0217e+00,2.3789e+00,2.6374e+00,5.3464e+00,2.9628e+01
4.5000e+01,1.0000e+00,1.0000e+01,-1.3521e+05,-1.3521e+05,-1.1236e-01,-1.3521e+05,1.3027e-01,6.7970e+00,1.3173e+05,1.9558e+02,4.4668e-01,-1.9745e+00,1.6494e+00,5.0741e-01,1.0834e+00,3.9812e+00,5.7838e+00,3.0779e+01
4.6000e+01,1.0000e+00,1.0200e+01,-1.3519e+05,-1.3519e+05,-1.1486e-01,-1.3519e+05,1.3030e-01,6.7995e+00,1.3169e+05,1.9957e+02,-4.2835e-01,-1.7102e+00,2.9066e-01,2.4543e+00,2.6118e+00,5.0641e+00,4.6982e+00,3.0145e+01
4.7000e+01,1.0000e+00,1.0398e+01,-1.3515e+05,-1.3516e+05,-1.1735e-01,-1.3516e+05,1.3032e-01,6.8020e+00,1.3167e+05,2.0389e+02,-4.0902e-01,-1.3151e+00,1.6182e+00,1.8492e+00,3.5828e+00,4.7670e+00,5.1204e+00,2.8792e+01
4.8000e+01,1.0000e+00,1.0596e+01,-1.3507e+05,-1.3507e+05,-1.1985e-01,-1.3507e+05,1.3035e-01,6.8045e+00,1.3163e+05,2.0738e+02,-9.3285e-01,-1.8307e+00,6.9525e-01,2.2995e-01,3.7271e+00,4.8474e+00,2.3817e+00,2.8773e+01
4.9000e+01,1.0000e+00,1.0793e+01,-1.3507e+05,-1.3507e+05,-1.2235e-01,-1.3507e+05,1.2000e-01,5.7668e+00,1.3155e+05,2.1170e+02,-5.9823e-01,-1.5645e+00,-4.8374e-02,2.1630e+00,1.4372e+00,5.2011e+00,3.6081e+00,3.0520e+01
5.0000e+01,1.0000e+00,1.0989e+01,-1.3503e+05,-1.3503e+05,-1.2484e-01,-1.3503e+05,1.3039e-01,6.8095e+00,1.3155e+05,2.1610e+02,-2.0914e-01,-1.7035e+00,-3.9408e-01,1.9496e+00,4.4229e+00,2.9589e+00,4.7133e+00,2.8704e+01
