niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4459e+05,-1.4459e+05,-2.4969e-03,-1.4459e+05,1.2922e-01,6.6871e+00,inf,2.8323e+00,-5.9412e-01,-1.2165e+00,-6.6360e-01,2.8002e+00,3.9983e+00,3.6511e+00,5.8351e+00,2.8715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4442e+05,-1.4443e+05,-4.9938e-03,-1.4443e+05,1.2924e-01,6.6896e+00,1.3350e+05,5.1435e+00,-1.9678e-01,-1.3328e+00,-9.6847e-01,2.3696e+00,4.3213e+00,5.2533e+00,5.5773e+00,2.8739e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4390e+05,-1.4391e+05,-7.4906e-03,-1.4391e+05,1.2926e-01,6.6921e+00,1.3333e+05,7.6230e+00,1.4012e-01,-7.5109e-01,1.1829e+00,2.1211e+00,2.8140e+00,1.4835e+00,5.8136e+00,2.8283e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4259e+05,-1.4260e+05,-9.9875e-03,-1.4260e+05,1.2929e-01,6.6946e+00,1.3281e+05,1.0240e+01,3.5482e-01,-8.8113e-01,3.3692e-01,-1.6971e-02,3.1071e+00,4.4875e+00,5.5637e+00,2.8438e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4258e+05,-1.4259e+05,-1.2484e-02,-1.4259e+05,1.2931e-01,6.6971e+00,1.3150e+05,1.2514e+01,4.7627e-01,-1.0842e+00,1.5499e+00,2.5635e+00,2.6714e+00,2.1258e+00,5.7811e+00,2.8384e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.4224e+05,-1.4225e+05,-1.4981e-02,-1.4225e+05,1.2934e-01,6.6996e+00,1.3149e+05,1.5086e+01,-9.0637e-01,-1.6110e+00,1.0718e+00,1.9172e+00,4.1919e+00,1.6046e+00,5.6835e+00,2.9360e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.4199e+05,-1.4200e+05,-1.7478e-02,-1.4200e+05,1.2936e-01,6.7021e+00,1.3115e+05,1.7525e+01,-9.0816e-01,-1.9653e+00,9.7264e-01,1.0120e+00,2.2433e+00,5.2774e+00,5.0483e+00,2.9137e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.4178e+05,-1.4178e+05,-1.9975e-02,-1.4178e+05,1.2939e-01,6.7046e+00,1.3090e+05,2.0055e+01,-9.1195e-01,-1.9115e+00,-8.4903e-01,2.0096e+00,2.0821e+00,5.3815e+00,2.2915e+00,2.9310e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.4142e+05,-1.4143e+05,-2.2472e-02,-1.4143e+05,1.2941e-01,6.7071e+00,1.3069e+05,2.2609e+01,-3.7116e-01,-1.1470e+00,-8.9008e-01,3.9282e+00,2.9381e+00,4.5008e+00,5.5826e+00,2.9366e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.4129e+05,-1.4130e+05,-2.4969e-02,-1.4130e+05,1.2943e-01,6.7096e+00,1.3033e+05,2.5484e+01,-4.3809e-01,-1.9054e+00,6.5892e-01,2.8245e+00,3.5342e+00,2.1604e+00,5.3087e+00,2.8115e+01
1.1000e+01,2.0000e+00,2.6699e+00,-1.4126e+05,-1.4126e+05,-2.7466e-02,-1.4126e+05,1.2946e-01,6.7121e+00,1.3020e+05,3.0379e+01,2.7714e-01,-1.3851e+00,-1.1330e-02,2.9648e+00,3.6264e+00,4.5321e+00,5.6483e+00,2.9601e+01
1.2000e+01,1.0000e+00,2.9056e+00,-1.4116e+05,-1.4116e+05,-2.9963e-02,-1.4116e+05,1.2948e-01,6.7146e+00,1.3017e+05,3.2615e+01,4.9198e-01,-1.7308e+00,2.1327e-01,2.2188e+00,4.9950e-01,4.9855e+00,5.7662e+00,3.0228e+01
1.3000e+01,1.0000e+00,3.1401e+00,-1.4101e+05,-1.4102e+05,-3.2459e-02,-1.4102e+05,1.2951e-01,6.7171e+00,1.3007e+05,3.5115e+01,-7.3454e-01,-1.3687e+00,-9.7422e-02,4.5577e-01,4.0445e+00,5.0232e+00,4.3727e+00,2.8630e+01
