logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.2352e-02,-1.9772e+00,2.0229e+00,1.1047e+00,3.4709e-01,2.0605e+00,4.2663e+00,2.9304e+01,-5.0346e+03
1.4181e-01,-8.7864e-01,1.9238e+00,2.1980e+00,2.9291e+00,1.7307e+00,4.1668e+00,2.9153e+01,-4.8936e+03
1.9136e-01,-1.4869e+00,2.1777e+00,9.3300e-01,2.0250e+00,3.4373e+00,4.3848e+00,2.9683e+01,-4.8913e+03
9.0593e-02,-6.8915e-01,2.0078e+00,5.9729e-01,1.1551e+00,3.9175e+00,3.1780e+00,2.8938e+01,-4.8336e+03
2.5977e-01,-1.1817e+00,1.8372e+00,2.0740e+00,1.3485e+00,2.8445e+00,4.0901e+00,2.8800e+01,-4.9255e+03
-6.9945e-01,-5.3929e-01,2.1285e+00,4.5673e-01,4.5880e-01,2.0025e+00,4.1823e+00,2.9267e+01,-4.8103e+03
1.7242e-01,-1.2082e+00,1.8131e+00,2.0818e+00,1.5306e+00,1.7814e+00,4.0829e+00,2.8742e+01,-4.7666e+03
8.2034e-02,-9.3477e-01,1.8541e+00,1.9151e+00,1.0141e+00,2.6727e+00,4.0513e+00,2.8764e+01,-4.7903e+03
1.7155e-01,-6.6117e-01,2.1872e+00,-6.7974e-01,7.7133e-01,4.1056e+00,2.9670e+00,2.9290e+01,-4.7874e+03
1.9425e-01,-9.2306e-01,1.9145e+00,7.0337e-01,1.5729e+00,3.5788e+00,3.9036e+00,2.8826e+01,-4.9141e+03
2.6773e-01,-5.5765e-01,2.1908e+00,-5.0669e-01,5.8411e-01,3.9649e+00,3.7568e+00,2.9137e+01,-4.9335e+03
1.0581e-01,-1.2526e+00,2.0162e+00,5.6443e-02,1.1429e+00,2.7593e+00,4.1686e+00,2.9013e+01,-4.9190e+03
1.2056e-01,-1.5156e+00,2.0515e+00,-2.2889e-01,9.8633e-01,2.9740e+00,4.2709e+00,2.9317e+01,-4.5758e+03
-3.4876e-01,-1.2581e+00,2.2153e+00,6.4406e-02,1.6819e+00,1.8077e+00,4.4303e+00,2.9932e+01,-5.0481e+03
1.5271e-01,-1.0946e+00,2.1721e+00,6.1170e-01,1.0824e+00,2.8364e+00,4.3242e+00,2.9378e+01,-4.6993e+03
7.9206e-02,-9.3574e-01,2.1928e+00,3.4391e-01,1.0052e+00,2.5781e+00,4.3185e+00,2.9378e+01,-4.6983e+03
1.9180e-01,-1.5090e+00,1.8282e+00,-2.7388e-01,5.5895e-01,2.8326e+00,4.0437e+00,2.8694e+01,-4.9496e+03
7.4666e-02,-1.6058e+00,1.9062e+00,1.4938e-01,2.5620e+00,2.6138e+00,4.1421e+00,2.9088e+01,-4.9537e+03
2.2404e-01,-5.7114e-01,2.1788e+00,-5.0171e-01,1.8122e+00,4.1616e+00,3.0880e+00,2.9363e+01,-4.6712e+03
1.1157e-01,-7.5842e-01,2.1844e+00,1.3125e+00,1.5602e+00,3.2881e+00,4.2321e+00,2.9301e+01,-4.7722e+03
1.8149e-01,-1.8797e+00,1.9128e+00,1.1635e+00,1.9519e+00,3.2685e+00,4.0975e+00,2.8998e+01,-4.7588e+03
1.5198e-01,-9.2599e-01,2.0024e+00,9.4591e-01,2.3606e+00,3.6711e+00,3.9368e+00,2.9111e+01,-4.8386e+03
3.5661e-01,-9.7168e-01,2.0417e+00,1.4750e+00,3.3158e-01,2.4355e+00,4.2207e+00,2.8961e+01,-4.9953e+03
1.1431e-01,-1.0602e+00,1.8434e+00,9.3301e-01,2.9010e+00,2.5022e+00,3.9508e+00,2.8747e+01,-4.9228e+03
1.8294e-01,-1.0785e+00,1.8339e+00,8.3988e-01,1.7900e+00,3.6663e+00,3.7005e+00,2.8734e+01,-4.9790e+03
3.3463e-01,-7.1358e-01,2.1090e+00,8.7759e-01,1.7939e+00,4.0131e+00,3.6083e+00,2.9178e+01,-4.7912e+03
-4.0647e-01,-1.0793e+00,2.2036e+00,1.3079e+00,-5.5908e-03,1.6441e+00,4.3938e+00,2.9841e+01,-4.8467e+03
2.4018e-01,-9.0921e-01,2.1431e+00,4.9527e-01,1.9720e+00,2.2856e+00,4.3573e+00,2.9333e+01,-4.8941e+03
1.8126e-01,-5.8151e-01,2.1234e+00,-4.4723e-01,2.8482e+00,4.1050e+00,2.5196e+00,2.9341e+01,-4.9005e+03
1.4811e-01,-1.9442e+00,1.9233e+00,1.4334e+00,1.0215e+00,2.0892e+00,4.1605e+00,2.8958e+01,-4.6953e+03
1.4414e-01,-1.3030e+00,1.8225e+00,1.1599e+00,2.8479e+00,2.8661e+00,4.0018e+00,2.8845e+01,-5.0063e+03
2.1911e-01,-6.2001e-01,2.0537e+00,1.5378e+00,7.8383e-01,3.2344e+00,4.1105e+00,2.8840e+01,-4.6931e+03
1.2514e-01,-1.2032e+00,1.8019e+00,9.3744e-01,4.3468e-01,3.6772e+00,3.5054e+00,2.8624e+01,-5.0475e+03
3.0190e-01,-7.2070e-01,1.9548e+00,2.1680e+00,3.0917e+00,3.6918e+00,3.6858e+00,2.9010e+01,-4.9031e+03
6.6024e-02,-1.9613e+00,2.0650e+00,-1.6671e-01,2.8310e+00,2.5416e+00,4.3035e+00,2.9511e+01,-5.0047e+03
1.9403e-01,-6.3730e-01,2.1277e+00,5.0875e-01,3.0426e+00,2.9672e+00,4.1124e+00,2.9066e+01,-4.7047e+03
1.3420e-01,-7.9372e-01,2.0244e+00,1.0558e-02,6.1489e-01,1.1822e+00,4.1179e+00,2.8761e+01,-4.9309e+03
5.0812e-02,-7.3321e-01,2.2187e+00,-8.2550e-02,3.6669e-01,3.5358e+00,4.2746e+00,2.9513e+01,-4.6988e+03
1.3614e-01,-7.7657e-01,2.0452e+00,2.0144e+00,7.5389e-01,3.7068e+00,4.0233e+00,2.9200e+01,-4.3994e+03
2.3344e-01,-5.3485e-01,2.2001e+00,-8.1573e-02,2.4209e+00,4.0025e+00,3.8508e+00,2.9329e+01,-4.4767e+03
2.9733e-01,-1.0088e+00,2.1146e+00,1.8932e+00,4.1391e-02,3.5474e+00,4.2412e+00,2.9372e+01,-4.8636e+03
1.3646e-01,-1.5004e+00,1.9970e+00,1.8720e+00,2.4750e+00,3.6118e+00,4.1362e+00,2.9367e+01,-4.9831e+03
9.9083e-02,-1.4512e+00,2.1895e+00,6.3061e-01,2.6164e+00,2.0254e+00,4.3931e+00,2.9644e+01,-5.0144e+03
1.1789e-01,-1.0489e+00,2.1042e+00,1.9030e+00,2.0292e+00,3.4625e+00,4.2237e+00,2.9401e+01,-4.5192e+03
2.3761e-01,-6.5761e-01,2.1748e+00,1.0877e+00,2.3739e+00,4.0149e+00,3.9164e+00,2.9432e+01,-4.8880e+03
1.8104e-01,-1.6460e+00,2.0220e+00,1.3547e-01,1.7531e+00,3.6762e+00,4.0964e+00,2.9310e+01,-4.8132e+03
1.3407e-01,-9.3669e-01,1.9112e+00,7.3452e-01,2.5850e+00,2.2117e+00,4.0347e+00,2.8740e+01,-4.6549e+03
1.3581e-01,-1.4295e+00,2.0640e+00,2.0048e-01,3.8776e-02,2.8730e+00,4.2694e+00,2.9257e+01,-4.7233e+03
1.3119e-01,-6.8213e-01,1.9583e+00,1.2236e+00,1.5837e+00,3.7344e+00,3.5169e+00,2.8688e+01,-4.9824e+03
2.4188e-01,-6.8512e-01,2.2234e+00,-2.0994e-01,2.4040e+00,4.2113e+00,3.2590e+00,2.9550e+01,-4.8238e+03
1.8150e-01,-9.4792e-01,1.9796e+00,1.4908e+00,2.1286e+00,3.7582e+00,3.8130e+00,2.9041e+01,-4.8337e+03
1.1561e-01,-8.4925e-01,2.1846e+00,1.5046e+00,1.8037e+00,4.1004e+00,3.6747e+00,2.9555e+01,-4.6931e+03
1.9384e-01,-1.0867e+00,1.7214e+00,1.5333e+00,2.4973e+00,3.1136e+00,3.8614e+00,2.8531e+01,-5.0473e+03
4.0186e-02,-9.0327e-01,1.9597e+00,2.0213e+00,7.5302e-01,1.9641e+00,4.1328e+00,2.8952e+01,-5.0003e+03
2.1692e-01,-1.1387e+00,1.9426e+00,2.5753e-01,2.1327e+00,3.2450e+00,4.0551e+00,2.8846e+01,-4.9869e+03
