logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.5287e-01,-1.1367e+00,1.6667e+00,1.0139e+00,1.2461e+00,2.5388e+00,3.9045e+00,2.8711e+01,-7.6285e+03
3.0950e-02,-1.4111e+00,1.5895e+00,7.5678e-01,1.3297e+00,2.7002e+00,3.7669e+00,2.8132e+01,-6.3643e+03
3.3592e-02,-1.2587e+00,1.6955e+00,8.5622e-01,2.0230e+00,3.0593e+00,3.9310e+00,2.8686e+01,-7.6019e+03
-3.7866e-01,-1.4361e+00,1.7124e+00,8.0382e-02,1.1526e+00,1.7138e+00,3.9197e+00,2.8560e+01,-7.1378e+03
1.6169e-01,-1.6939e+00,1.3425e+00,2.1969e+00,2.0743e+00,2.6057e+00,3.7791e+00,2.8255e+01,-6.3143e+03
-8.3309e-02,-1.7604e+00,1.6062e+00,-1.4643e-01,2.1800e+00,2.6511e+00,3.7606e+00,2.8238e+01,-7.9185e+03
2.3560e-01,-1.4040e+00,1.6914e+00,2.2673e+00,2.1659e+00,1.6242e+00,4.1201e+00,2.8851e+01,-6.2833e+03
6.1013e-02,-1.0138e+00,1.6416e+00,1.5430e+00,2.4330e+00,2.7887e+00,3.8412e+00,2.8489e+01,-7.4476e+03
-4.0353e-03,-1.3966e+00,1.5391e+00,2.1409e+00,1.7543e+00,2.0495e+00,3.9531e+00,2.8633e+01,-6.5108e+03
2.2065e-01,-1.7729e+00,1.5249e+00,1.9574e+00,1.8291e+00,3.6759e+00,2.7938e+00,2.8352e+01,-6.2934e+03
-1.7134e-01,-1.6426e+00,1.6120e+00,1.6631e+00,1.5050e+00,2.8428e+00,3.9526e+00,2.8758e+01,-7.8151e+03
-6.7990e-02,-1.6905e+00,1.5592e+00,1.3716e+00,6.9077e-01,1.7299e+00,3.8153e+00,2.8164e+01,-7.2005e+03
9.8869e-02,-1.4992e+00,1.6333e+00,2.3629e+00,1.4511e+00,3.4157e+00,3.9618e+00,2.8970e+01,-6.3476e+03
1.8245e-01,-1.3400e+00,1.6004e+00,1.4289e+00,3.0324e+00,2.4006e+00,3.5965e+00,2.8274e+01,-7.3761e+03
1.0811e-01,-1.2291e+00,1.5290e+00,2.2257e+00,2.4478e+00,3.7962e+00,3.2320e+00,2.8860e+01,-7.4960e+03
1.3403e-01,-1.5334e+00,1.4939e+00,1.5812e+00,2.5304e+00,3.5207e+00,3.4296e+00,2.8444e+01,-7.6739e+03
-5.8464e-04,-1.1930e+00,1.6306e+00,1.1225e+00,1.2218e+00,3.6671e+00,3.0914e+00,2.8488e+01,-6.8787e+03
2.1394e-02,-1.3242e+00,1.5527e+00,2.4171e+00,1.5694e+00,3.8853e+00,3.4069e+00,2.9115e+01,-8.0029e+03
-3.1796e-01,-1.2536e+00,1.6400e+00,7.7880e-02,8.2539e-01,3.2783e+00,3.7218e+00,2.8511e+01,-7.6127e+03
1.5768e-01,-1.6753e+00,1.6121e+00,1.4823e+00,1.0397e+00,3.5398e+00,3.6313e+00,2.8544e+01,-6.2412e+03
-4.4772e-01,-1.3058e+00,1.6834e+00,1.2053e+00,1.8584e+00,3.7301e+00,3.6829e+00,2.9146e+01,-8.0391e+03
-3.5069e-01,-1.2653e+00,1.6337e+00,1.8822e+00,2.0490e+00,2.9210e+00,3.8959e+00,2.8804e+01,-7.7204e+03
-6.4653e-02,-1.9830e+00,1.5559e+00,2.1702e-01,9.5166e-01,3.3219e+00,3.3929e+00,2.8077e+01,-7.9157e+03
-5.4338e-01,-1.1550e+00,1.6771e+00,1.4225e+00,1.4534e+00,3.2394e+00,3.9574e+00,2.9017e+01,-7.6346e+03
2.2483e-01,-1.6059e+00,1.6985e+00,1.0418e+00,3.0554e+00,1.9413e+00,3.7897e+00,2.8533e+01,-6.4675e+03
1.4137e-01,-1.3402e+00,1.1943e+00,2.2124e+00,1.0273e+00,2.0238e+00,3.8130e+00,2.8196e+01,-6.6236e+03
5.0046e-02,-1.2885e+00,1.6282e+00,2.0168e+00,1.8331e+00,1.7867e+00,3.8402e+00,2.8287e+01,-6.8475e+03
-5.0198e-01,-1.7404e+00,1.5920e+00,1.7401e+00,2.1145e+00,2.3446e+00,3.9835e+00,2.8922e+01,-7.8329e+03
1.4723e-02,-1.6007e+00,1.6982e+00,1.9644e+00,2.5260e+00,2.3111e+00,4.0657e+00,2.8911e+01,-7.6836e+03
-8.9381e-02,-1.3162e+00,1.6817e+00,1.3956e+00,2.6390e+00,2.8084e+00,3.7201e+00,2.8450e+01,-7.8727e+03
-3.6915e-01,-1.7467e+00,1.6377e+00,2.5617e-01,2.3231e+00,2.0688e+00,3.8133e+00,2.8484e+01,-7.8017e+03
-2.8779e-01,-1.5400e+00,1.7225e+00,3.2559e-01,1.3831e+00,3.8890e+00,2.5122e+00,2.8991e+01,-8.0633e+03
1.2529e-01,-1.8645e+00,1.6587e+00,9.9182e-01,1.7617e+00,3.6777e+00,3.4048e+00,2.8668e+01,-8.0626e+03
7.0596e-03,-1.9058e+00,1.6555e+00,1.5217e+00,1.3534e+00,3.1174e+00,3.7073e+00,2.8317e+01,-7.9212e+03
8.8306e-02,-1.6933e+00,1.5485e+00,-1.6779e-01,2.0129e+00,3.5934e+00,2.4654e+00,2.8169e+01,-6.8459e+03
-6.1808e-01,-1.3978e+00,1.6367e+00,9.5437e-01,9.0161e-01,2.7750e+00,3.9459e+00,2.8811e+01,-7.2003e+03
1.4603e-02,-1.9984e+00,1.7087e+00,1.3812e+00,1.8249e+00,3.9722e+00,3.0342e+00,2.9158e+01,-8.0430e+03
1.9352e-01,-1.7897e+00,1.5209e+00,1.0630e+00,2.3904e+00,3.1465e+00,3.5911e+00,2.8150e+01,-6.5103e+03
2.8307e-02,-1.0758e+00,1.6738e+00,1.9347e+00,2.5927e+00,3.4954e+00,3.5867e+00,2.8650e+01,-6.2410e+03
2.2903e-01,-1.8223e+00,1.4283e+00,2.1530e+00,5.5176e-01,3.6658e+00,2.9620e+00,2.8376e+01,-6.4792e+03
5.8168e-03,-1.3990e+00,1.4657e+00,1.9352e+00,1.9969e+00,3.7306e+00,2.9129e+00,2.8640e+01,-7.4621e+03
1.3108e-01,-1.3186e+00,1.5958e+00,1.8209e+00,5.8783e-01,2.4971e+00,3.7725e+00,2.8068e+01,-6.4323e+03
7.1822e-02,-1.8037e+00,1.5779e+00,2.0626e+00,2.5486e+00,3.2918e+00,3.7479e+00,2.8664e+01,-6.7797e+03
-4.0735e-01,-1.4514e+00,1.6906e+00,6.6709e-01,4.4902e-01,2.2241e+00,3.9620e+00,2.8728e+01,-6.5170e+03
1.5027e-01,-1.0772e+00,1.6593e+00,1.4650e+00,1.4179e+00,3.6022e+00,3.0159e+00,2.8210e+01,-6.3989e+03
9.2201e-02,-1.0689e+00,1.7295e+00,2.0749e+00,1.8231e+00,2.6813e+00,4.0658e+00,2.8876e+01,-6.9481e+03
1.2769e-01,-1.5791e+00,1.5549e+00,1.1539e+00,1.6629e+00,3.6343e+00,3.1061e+00,2.8341e+01,-6.2834e+03
1.0071e-01,-1.3791e+00,1.5522e+00,1.3047e+00,1.3484e+00,3.5254e+00,3.2065e+00,2.8236e+01,-8.0248e+03
8.7279e-02,-1.2441e+00,1.2882e+00,2.0239e+00,1.9770e+00,3.2669e+00,3.4100e+00,2.8073e+01,-7.8647e+03
-5.7392e-01,-1.0657e+00,1.6084e+00,1.8553e+00,1.9265e+00,2.0447e+00,3.9389e+00,2.8785e+01,-7.6735e+03
1.3999e-01,-1.5314e+00,1.5779e+00,2.1793e+00,3.1758e+00,3.0855e+00,3.8199e+00,2.8950e+01,-7.3923e+03
-3.3934e-01,-1.5010e+00,1.6154e+00,1.4370e+00,1.5910e+00,3.3838e+00,3.6137e+00,2.8527e+01,-7.9180e+03
-1.8695e-01,-1.4340e+00,1.4013e+00,1.7647e+00,1.8375e+00,2.8979e+00,3.6189e+00,2.8110e+01,-8.0772e+03
2.9511e-02,-1.2434e+00,1.2802e+00,1.9161e+00,2.3643e+00,2.8015e+00,3.6376e+00,2.8108e+01,-8.0538e+03
-8.2701e-02,-1.4433e+00,1.5509e+00,1.7772e+00,1.6864e+00,3.1129e+00,3.8686e+00,2.8658e+01,-7.8897e+03
-2.9237e-01,-1.5063e+00,1.6034e+00,2.6780e-01,4.5354e-01,3.6865e+00,3.2552e+00,2.8685e+01,-7.5039e+03
-7.4061e-01,-1.4147e+00,1.7004e+00,1.4813e+00,1.5483e+00,2.0440e+00,4.0988e+00,2.9135e+01,-7.5565e+03
2.7054e-02,-1.4693e+00,1.5376e+00,1.5128e+00,1.2236e+00,3.1444e+00,3.6984e+00,2.8245e+01,-6.1184e+03
1.2539e-01,-1.3346e+00,1.5622e+00,2.3645e+00,2.6715e+00,3.2351e+00,3.8809e+00,2.8868e+01,-7.6744e+03
5.2123e-02,-1.6494e+00,1.4388e+00,9.7823e-01,1.8164e+00,3.6204e+00,2.5743e+00,2.8240e+01,-8.0968e+03
-1.1757e-01,-1.6006e+00,1.6968e+00,1.3374e+00,1.9012e+00,2.1552e+00,3.8464e+00,2.8394e+01,-6.8978e+03
2.4604e-01,-1.6536e+00,1.6531e+00,1.7837e+00,1.3974e+00,3.4297e+00,3.7829e+00,2.8583e+01,-5.7585e+03
9.9981e-02,-1.3611e+00,1.2531e+00,2.2093e+00,1.8356e+00,2.2059e+00,3.7107e+00,2.8038e+01,-7.2583e+03
-6.9769e-01,-1.0612e+00,1.6937e+00,4.9335e-01,4.2528e-01,3.1456e+00,3.9704e+00,2.9028e+01,-7.8986e+03
4.8232e-02,-1.8928e+00,1.6273e+00,1.1257e+00,1.6082e+00,3.3756e+00,3.7498e+00,2.8550e+01,-6.2515e+03
2.3696e-03,-1.7728e+00,1.6621e+00,1.9016e+00,8.3527e-01,3.7195e+00,3.2266e+00,2.8675e+01,-7.1587e+03
-2.6737e-01,-1.5909e+00,1.7205e+00,1.0538e+00,1.8792e+00,2.1619e+00,3.8380e+00,2.8403e+01,-8.0233e+03
-2.0697e-01,-1.3776e+00,1.5160e+00,4.7538e-01,1.6364e+00,3.5762e+00,3.0306e+00,2.8354e+01,-7.9598e+03
2.2655e-01,-1.9244e+00,1.6826e+00,1.4181e+00,1.5042e+00,2.4547e+00,3.8124e+00,2.8087e+01,-7.8465e+03
-5.5937e-02,-1.5633e+00,1.6479e+00,1.5967e-01,3.8608e-01,3.7427e+00,3.3094e+00,2.8764e+01,-6.8972e+03
1.9646e-01,-1.1510e+00,1.6382e+00,4.5372e-02,1.8568e+00,3.2315e+00,3.6510e+00,2.8188e+01,-6.3331e+03
4.2602e-02,-1.7819e+00,1.6512e+00,2.3811e-01,1.7364e+00,3.7958e+00,2.6445e+00,2.8680e+01,-6.1518e+03
1.8487e-02,-1.6884e+00,1.7091e+00,1.0729e+00,2.5349e+00,3.3925e+00,3.8685e+00,2.8886e+01,-7.2610e+03
1.7495e-01,-1.8698e+00,1.4969e+00,1.1118e+00,2.2899e+00,2.6833e+00,3.6831e+00,2.8049e+01,-7.1169e+03
-8.5742e-02,-1.3282e+00,1.6570e+00,1.4615e+00,4.7245e-01,3.6773e+00,2.9261e+00,2.8467e+01,-7.0983e+03
-1.6630e-01,-1.1629e+00,1.7152e+00,8.2803e-01,1.6774e+00,2.0444e+00,3.9580e+00,2.8634e+01,-6.5154e+03
2.3345e-01,-1.2617e+00,1.6313e+00,7.0148e-02,5.6239e-01,3.6231e+00,3.3634e+00,2.8379e+01,-6.4968e+03
1.9378e-01,-1.6976e+00,1.5351e+00,2.0179e+00,2.6659e+00,2.2880e+00,3.8108e+00,2.8403e+01,-7.1165e+03
-8.3746e-02,-1.3985e+00,1.7211e+00,1.9362e+00,4.3888e-01,3.6093e+00,3.5542e+00,2.8736e+01,-7.5483e+03
1.3745e-01,-1.6794e+00,1.6927e+00,4.5264e-01,1.4270e+00,3.4719e+00,3.6878e+00,2.8462e+01,-6.2895e+03
2.4913e-01,-1.0567e+00,1.5056e+00,2.0455e+00,2.7384e+00,2.1142e+00,3.8668e+00,2.8461e+01,-6.7500e+03
1.8246e-01,-1.1327e+00,1.6909e+00,1.9119e+00,1.9211e+00,2.6146e+00,4.0046e+00,2.8580e+01,-6.8586e+03
-6.8602e-03,-1.1545e+00,1.6172e+00,1.7119e+00,2.1259e+00,2.8957e+00,3.8244e+00,2.8486e+01,-7.2286e+03
1.1299e-01,-1.2482e+00,1.6797e+00,8.7911e-01,1.3449e+00,3.7749e+00,2.9057e+00,2.8616e+01,-6.1056e+03
-5.4427e-01,-1.9503e+00,1.7051e+00,8.0413e-01,1.2699e+00,2.9345e+00,3.8934e+00,2.8770e+01,-7.3524e+03
2.3637e-01,-1.6617e+00,1.5575e+00,7.6467e-01,1.6051e+00,3.6836e+00,2.7970e+00,2.8258e+01,-7.8428e+03
1.6013e-01,-1.0611e+00,1.3225e+00,1.9161e+00,2.3490e+00,2.6669e+00,3.6672e+00,2.8058e+01,-8.0432e+03
-5.4311e-02,-1.2310e+00,1.7086e+00,1.2953e+00,2.1819e+00,2.8966e+00,3.8774e+00,2.8640e+01,-7.8820e+03
2.2440e-01,-1.5883e+00,1.5738e+00,1.9752e+00,4.2611e-01,3.7240e+00,3.1750e+00,2.8525e+01,-5.6236e+03
-1.8287e-02,-1.1637e+00,1.6194e+00,1.2668e-02,2.1969e+00,3.1104e+00,3.6536e+00,2.8228e+01,-6.9229e+03
1.8263e-01,-1.7677e+00,1.4760e+00,2.2862e+00,2.4527e+00,2.0169e+00,3.8840e+00,2.8474e+01,-6.8979e+03
9.4236e-02,-1.4526e+00,1.4122e+00,2.1817e+00,2.0083e+00,3.6578e+00,3.2618e+00,2.8587e+01,-7.0505e+03
-2.9941e-01,-1.7117e+00,1.6082e+00,9.8323e-01,9.1946e-01,3.6396e+00,3.3842e+00,2.8718e+01,-7.7446e+03
-3.1096e-01,-1.5423e+00,1.6366e+00,-9.3384e-03,1.9936e+00,2.8517e+00,3.7591e+00,2.8386e+01,-7.8464e+03
-5.7142e-01,-1.9254e+00,1.5797e+00,1.4843e+00,1.5909e+00,3.2889e+00,3.8217e+00,2.8838e+01,-8.0496e+03
1.7803e-01,-1.7600e+00,1.6155e+00,4.8458e-02,1.8844e+00,3.6773e+00,2.6250e+00,2.8334e+01,-6.2165e+03
9.6330e-02,-1.4687e+00,1.7026e+00,1.2503e+00,2.6625e+00,2.6388e+00,3.9780e+00,2.8747e+01,-6.9360e+03
1.5040e-01,-1.2380e+00,1.5664e+00,2.1213e+00,3.8422e-01,1.9540e+00,3.9899e+00,2.8575e+01,-6.2414e+03
1.8110e-02,-1.1893e+00,1.6048e+00,1.9304e+00,2.3671e+00,2.1037e+00,3.8708e+00,2.8410e+01,-6.9901e+03
2.0083e-02,-1.5407e+00,1.5104e+00,7.0058e-01,4.7609e-01,3.5554e+00,3.1106e+00,2.8188e+01,-7.1623e+03
-3.2095e-01,-1.9414e+00,1.6457e+00,1.4160e+00,5.8122e-01,3.7847e+00,3.1608e+00,2.8897e+01,-7.9536e+03
1.4061e-01,-1.8351e+00,1.4514e+00,2.1504e+00,6.5639e-01,1.9148e+00,3.8408e+00,2.8281e+01,-7.4487e+03
1.3333e-01,-1.6568e+00,1.7043e+00,2.3419e+00,6.7028e-01,3.8628e+00,3.4888e+00,2.9038e+01,-7.1970e+03
1.2926e-01,-1.7853e+00,1.4499e+00,3.7059e-02,2.6948e+00,3.5560e+00,2.6836e+00,2.8315e+01,-8.0855e+03
4.5806e-02,-1.3161e+00,1.6304e+00,8.3713e-01,2.6095e+00,3.2205e+00,3.5188e+00,2.8237e+01,-7.4794e+03
-2.7531e-01,-1.6016e+00,1.6956e+00,3.2381e-01,1.3387e+00,3.6714e+00,3.7280e+00,2.9031e+01,-7.4986e+03
5.7818e-02,-1.4971e+00,1.5855e+00,8.3983e-01,5.4814e-01,3.4442e+00,3.4199e+00,2.8234e+01,-6.7681e+03
-1.3594e-02,-1.4073e+00,1.6696e+00,1.8447e+00,2.0903e+00,3.0038e+00,3.7899e+00,2.8419e+01,-6.7647e+03
-1.1809e-01,-1.1303e+00,1.7150e+00,1.7764e+00,1.2826e+00,1.7716e+00,3.8900e+00,2.8467e+01,-6.6292e+03
3.8703e-02,-1.5828e+00,1.6030e+00,8.2871e-01,1.3821e+00,3.7738e+00,2.5567e+00,2.8636e+01,-7.4115e+03
1.3924e-01,-1.7960e+00,1.7268e+00,5.6061e-01,1.2773e+00,3.8706e+00,2.6626e+00,2.8758e+01,-6.0811e+03
1.6217e-02,-1.1769e+00,1.5148e+00,2.2191e+00,2.5125e+00,2.4472e+00,3.8346e+00,2.8449e+01,-7.7219e+03
-4.3290e-01,-1.3892e+00,1.6260e+00,9.0645e-01,2.0295e+00,3.2924e+00,3.6628e+00,2.8591e+01,-8.0388e+03
-2.4191e-01,-1.8985e+00,1.5249e+00,1.6723e-01,1.0537e+00,3.0058e+00,3.6318e+00,2.8125e+01,-7.5623e+03
1.8248e-01,-1.2825e+00,1.5759e+00,1.9930e+00,2.9765e+00,3.0721e+00,3.6831e+00,2.8547e+01,-6.2558e+03
2.4858e-01,-1.6186e+00,1.6695e+00,1.4173e+00,9.9979e-01,3.6319e+00,3.5315e+00,2.8498e+01,-5.8959e+03
1.6200e-01,-1.9741e+00,1.5464e+00,1.4746e+00,2.7539e+00,3.0564e+00,3.7486e+00,2.8507e+01,-6.8972e+03
-4.7621e-02,-1.7412e+00,1.6349e+00,1.0318e+00,1.7716e+00,1.7040e+00,3.9578e+00,2.8552e+01,-7.6971e+03
-2.3234e-01,-1.8303e+00,1.5987e+00,6.2495e-01,2.1320e+00,2.9503e+00,3.7028e+00,2.8330e+01,-8.0495e+03
-6.1932e-01,-1.4597e+00,1.6464e+00,7.4740e-01,2.0481e+00,2.9504e+00,3.9237e+00,2.8880e+01,-7.3707e+03
-2.7400e-01,-1.3438e+00,1.6890e+00,-7.3681e-02,1.3491e+00,3.2695e+00,3.7630e+00,2.8555e+01,-7.5442e+03
1.2451e-01,-1.5625e+00,1.7060e+00,5.9013e-01,2.7671e+00,2.4397e+00,3.7568e+00,2.8323e+01,-7.4450e+03
2.1042e-01,-1.2891e+00,1.7062e+00,1.3442e+00,1.0270e+00,3.4929e+00,3.8118e+00,2.8649e+01,-6.6896e+03
1.1051e-01,-1.2434e+00,1.4602e+00,2.3855e+00,1.4192e+00,2.1814e+00,3.9898e+00,2.8620e+01,-6.3057e+03
