# Vega Mags
# Annulus region extracted from X0,Y0=(2413, 2623), R1,R2=(500,600), T1,T2=(pi/2, pi) from M49
# zmag gmag-zmag
# F850LP F475W-F850LP
24.636391 2.152799
24.645578 2.009109
24.598272 2.104417
24.660403 2.052970
24.613163 2.104764
24.610071 2.125696
24.638103 2.081791
24.640747 2.061182
24.619626 2.077979
24.595453 2.083848
24.605583 2.135590
24.566985 2.174206
24.548923 2.146264
24.543262 2.155005
24.618569 2.113440
24.620916 2.052191
24.588337 2.084651
24.573457 2.169426
24.555726 2.127874
24.623094 2.032386
24.642941 2.048689
24.576177 2.111493
24.539361 2.152928
24.559086 2.072144
24.557061 2.059420
24.543783 2.045174
24.511552 2.105468
24.568187 2.108508
24.540433 2.123646
24.523668 2.090347
24.490565 2.096320
24.467493 2.166684
24.496851 2.117469
24.523734 2.067928
24.505503 2.124869
24.485831 2.091623
24.488731 2.137101
24.502039 2.106269
24.491892 2.121008
24.531525 2.067472
24.501685 2.131480
24.513348 2.112662
24.529037 2.034365
24.501647 2.066418
24.471485 2.122202
24.508743 2.052401
24.491718 2.158329
24.490672 2.135039
24.495794 2.124302
24.512962 2.033487
24.474235 1.978143
24.496663 2.080428
24.492162 2.004060
24.507303 2.039764
24.488771 2.060270
24.463023 2.057165
24.393780 2.147103
24.383994 2.222754
24.421553 2.174254
24.468262 2.076625
24.437820 2.119672
24.438549 2.095119
24.427621 2.118369
24.483115 2.083626
24.449051 2.148939
24.425228 2.116309
24.421699 2.141962
24.447450 2.143110
24.447791 2.139587
24.456327 2.068046
24.395691 2.115008
24.411215 2.133869
24.428565 2.132476
24.388709 2.162859
24.383259 2.119373
24.392807 2.078002
24.440083 2.039021
24.454711 2.063115
24.436699 2.094853
24.392430 2.176106
24.374426 2.125032
24.440862 2.072612
24.419021 2.004668
24.419166 2.092796
24.407893 2.098046
24.334778 2.199009
24.350114 2.154177
24.386802 2.086419
24.392422 2.065113
24.350676 2.064763
24.314422 2.105024
24.307057 2.158300
24.369789 2.108977
24.396144 2.073570
24.351920 2.145455
24.334541 2.219013
24.420388 2.045986
24.383958 2.072684
24.391195 2.100091
24.360700 2.051627
24.628302 2.116165
24.653420 2.045706
24.628410 2.072586
24.605393 2.060593
24.594362 2.177441
24.624042 2.121698
24.643362 1.996839
24.582300 2.126873
24.603048 2.081382
24.616135 2.053058
24.605351 2.060246
24.569245 2.105801
24.583102 2.125086
24.579890 2.144537
24.586873 2.097963
24.573271 2.117117
24.535774 2.098255
24.566456 2.080577
24.516680 2.171068
24.539123 2.147890
24.521535 2.154621
24.548787 2.127333
24.568932 2.112245
24.567528 2.052203
24.557790 2.009475
24.587564 2.001117
24.561947 2.085022
24.559248 2.100170
24.561274 2.062647
24.492782 2.063345
24.499688 2.119618
24.452813 2.201663
24.488418 2.080970
24.551488 2.056066
24.516533 2.065287
24.494844 2.132873
24.498333 2.151429
