# Vega Mags
# Elliptical M49 region extracted from isophotes (43.00,45.00]
# Num Pixels: 63962
# Neff ~ 253^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
23.341055 2.104165
23.347481 2.095198
23.334082 2.103354
23.327540 2.121360
23.310952 2.158940
23.349761 2.110773
23.341392 2.120508
23.347649 2.099994
23.350914 2.109181
23.372705 2.065601
23.347102 2.121075
23.319930 2.155952
23.318155 2.150215
23.336767 2.148832
23.353397 2.108815
23.369915 2.074566
23.333002 2.095139
23.332658 2.072668
23.331186 2.117607
23.343133 2.111775
23.319123 2.121915
23.300864 2.142314
23.289135 2.135868
23.326179 2.150745
23.369372 2.075316
23.315430 2.119898
23.316669 2.097510
23.335252 2.111105
23.306091 2.139927
23.287669 2.193290
23.296989 2.196470
23.315017 2.149134
23.330086 2.128402
23.331808 2.105174
23.317787 2.125726
23.304048 2.123028
23.247868 2.203547
23.264996 2.118805
23.267255 2.162342
23.280380 2.140211
23.309548 2.103923
23.296516 2.116789
23.259252 2.189877
23.263421 2.190441
23.263243 2.178867
23.302670 2.123422
23.258624 2.193895
23.303289 2.106805
23.336588 2.081758
23.330872 2.099342
23.294546 2.120027
23.295718 2.126075
23.300067 2.141779
23.286733 2.169556
23.299591 2.131128
23.302782 2.105195
23.290870 2.123493
23.302645 2.147139
23.286863 2.139630
23.301249 2.151462
23.316783 2.135244
23.321205 2.119060
23.297669 2.135287
23.286666 2.123128
23.308222 2.094221
23.325413 2.107952
23.318601 2.118044
23.316537 2.074464
23.285841 2.092885
23.328700 2.063748
23.351817 2.083774
23.326042 2.114194
23.349391 2.068039
23.344172 2.121036
23.350011 2.108746
23.326219 2.081386
23.315611 2.114829
23.320301 2.105638
23.291481 2.133721
23.297506 2.139150
23.295916 2.143436
23.300029 2.124802
23.288019 2.159718
23.328323 2.133199
23.325435 2.120433
23.322220 2.137193
23.339829 2.112827
23.347224 2.099453
23.333808 2.134077
23.323171 2.100481
23.331445 2.102687
23.320721 2.140326
23.305192 2.173512
23.315512 2.164253
23.316133 2.106196
23.280870 2.143332
23.292644 2.130542
23.317786 2.153276
23.327102 2.145288
23.316884 2.118963
23.305774 2.096970
23.303470 2.121816
23.316968 2.112484
23.342225 2.097507
23.330011 2.123373
23.346751 2.056845
23.314297 2.140853
23.329650 2.160072
23.352838 2.116759
23.346362 2.142080
23.340271 2.135049
23.339749 2.121033
23.319140 2.162143
23.322151 2.104983
23.326083 2.139821
23.341515 2.134256
23.348596 2.130226
23.364429 2.076662
23.302452 2.123959
23.343419 2.099197
23.330319 2.118061
23.344199 2.101282
23.330646 2.160368
23.329756 2.141727
23.341341 2.170060
23.312226 2.156209
23.311034 2.134726
23.304458 2.123425
23.306829 2.126691
23.324644 2.123145
23.302289 2.149004
23.297682 2.159670
23.310456 2.152049
23.288041 2.145553
23.328838 2.105161
23.314266 2.125463
23.306701 2.114216
23.324786 2.101889
23.290698 2.147592
