# Vega Mags
# Elliptical M49 region extracted from isophotes (68.08,68.09]
# Num Pixels: 120721
# Neff ~ 347^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
26.939993 1.709793
27.226728 1.191787
27.038610 1.369055
26.534757 2.089006
27.195623 1.263434
27.232074 0.999187
27.276042 1.298630
26.855360 1.767988
27.293955 0.971286
27.079010 1.637059
27.182299 1.287897
27.153039 1.528883
27.068440 1.328446
27.031583 1.685584
27.063010 1.395155
27.321031 1.168910
26.992466 1.462959
26.914254 1.450819
26.956459 1.478498
26.812008 1.608570
27.010655 1.505653
27.198311 1.181088
26.933069 1.407823
26.948000 1.303130
27.078712 1.141939
26.950392 1.508652
27.141732 1.414793
27.056144 1.393829
27.022903 1.306335
26.990162 1.412915
26.882274 1.521820
26.876236 1.439288
27.110214 1.005011
26.855179 1.656761
26.814643 1.787004
27.030172 1.599641
27.088004 1.250263
26.908149 1.392010
26.832736 1.552429
27.088876 1.423616
26.775966 1.747612
26.835223 1.457562
26.906074 1.325413
26.935354 1.431999
26.973372 1.370001
27.100109 1.205167
27.131682 1.204419
27.231646 1.189655
26.933192 1.456952
27.071173 1.325387
27.201981 1.337642
27.166552 1.071183
27.057207 1.012290
26.845083 1.402358
26.815567 1.799842
27.052327 1.323299
26.985346 1.421972
26.869055 1.537171
26.857179 1.436464
27.042486 1.533171
26.976876 1.406004
27.077027 1.272023
27.053544 1.388218
27.087941 1.290611
27.096912 1.324863
26.892601 1.529104
26.645916 1.780777
26.820018 1.575608
27.041001 1.327951
26.699107 1.551471
26.601719 1.649732
26.967510 1.205216
26.805856 1.492514
27.226073 1.255639
27.407460 1.147978
27.158003 1.506545
27.176829 1.278094
27.171522 1.143655
26.941338 1.536305
26.866038 1.587133
27.441371 0.942957
26.789430 1.609552
26.408708 2.007926
27.098073 1.397791
26.770268 1.399510
26.668322 1.665241
26.877907 1.368140
26.871058 1.570249
27.174239 1.526705
27.010052 1.518878
27.266737 1.156721
26.941180 1.475199
27.018692 1.324015
26.886967 1.479202
26.764993 1.798815
27.002533 1.242622
26.875515 1.533450
26.898833 1.544474
26.786377 1.537948
26.656979 1.742802
26.803343 1.505212
26.923615 1.582910
26.941164 1.454028
26.974692 1.470852
27.152522 1.385213
27.084356 1.139248
27.177510 1.360907
27.253819 1.263226
27.007672 1.463003
26.810423 1.529272
26.881710 1.525385
27.052238 1.369549
26.752032 1.671789
26.843686 1.462884
26.758453 1.475103
26.981613 1.444324
27.042251 1.573362
26.838363 1.826948
26.700580 1.649597
26.777973 1.583547
26.836810 1.646112
26.938106 1.514926
27.004498 1.547499
27.066451 1.435243
27.179111 1.280391
26.926133 1.556901
26.922565 1.457688
26.988999 1.444173
27.031150 1.398384
26.961833 1.302300
26.940829 1.481467
26.869778 1.638521
26.845275 1.550719
27.085582 1.248653
26.988501 1.463382
26.830978 1.637234
26.940402 1.448192
27.348704 1.405637
27.015108 1.663088
27.699423 0.392521
26.727556 1.608050
26.631999 1.651091
26.821667 1.742015
26.946756 1.459584
27.007557 1.463300
27.044259 1.377256
26.969169 1.679751
26.994559 1.450362
26.914887 1.506728
26.937393 1.519949
26.984326 1.435089
26.925357 1.501434
26.668297 1.492904
26.854413 1.526914
27.000880 1.439893
26.935592 1.496839
26.852627 1.572937
26.850068 1.521964
27.060695 1.347568
26.981075 1.410570
26.815530 1.615509
26.987761 1.524204
26.409241 1.795519
26.715067 1.634155
26.861374 1.380809
26.948859 1.274937
26.947531 1.415286
26.948165 1.561560
27.094734 1.471633
26.894319 1.319761
26.895564 1.650389
27.172713 1.387231
27.202523 1.233128
26.858485 1.343764
26.709031 1.784254
26.801079 1.716638
26.962238 1.618276
26.824817 1.776294
26.912476 1.552486
26.792498 1.648982
26.803298 1.578251
27.189978 1.414201
27.002361 1.432814
26.836617 1.398682
26.757213 1.548596
26.764631 1.551568
26.833502 1.522152
26.915943 1.573989
26.944525 1.466169
26.993530 1.587114
27.215472 1.135258
27.009943 1.201104
26.900335 1.481287
26.983032 1.382905
27.035739 1.370189
26.773750 1.444733
26.831270 1.569837
26.834822 1.525320
26.840127 1.597854
26.745992 1.751611
26.883805 1.583060
26.941440 1.543395
27.028756 1.501290
26.940319 1.592498
26.883618 1.555088
26.720932 1.581720
26.777439 1.562751
26.755372 1.542792
26.866897 1.718449
27.152857 1.333402
26.907933 1.471102
26.898210 1.467746
26.752243 1.514913
26.952742 1.328480
27.154707 1.305122
27.115521 1.302273
27.044134 1.319063
26.939760 1.397521
26.736741 1.838710
26.820651 1.634703
26.683209 1.648085
26.861094 1.445431
27.062623 1.438226
27.158616 1.129571
27.060978 1.472787
27.201274 1.222591
26.982845 1.469207
26.836841 1.487934
26.762894 1.735045
26.801178 1.840189
26.811250 1.759301
27.023611 1.345761
26.828888 1.495214
27.029689 1.251486
26.998342 1.441655
27.175739 1.262560
27.433654 0.931458
26.995086 1.453444
26.862857 1.491023
26.933557 1.313011
26.854162 1.470080
26.848652 1.587486
26.733171 1.575816
26.838926 1.580352
26.932138 1.445526
27.049781 1.186760
26.956380 1.519622
26.930410 1.553108
27.012410 1.481116
26.942770 1.445746
26.920583 1.512570
26.888050 1.819468
26.867289 1.523315
26.905601 1.384988
26.991100 1.390590
26.793180 1.746492
27.045602 1.281276
26.955657 1.324818
26.976084 1.491704
26.828256 1.766447
26.781998 1.681850
26.962822 1.399446
26.998397 1.408673
27.157067 1.346815
26.933199 1.442706
26.908105 1.426787
27.024855 1.519030
26.946789 1.468114
26.902555 1.452649
26.934708 1.245956
26.925993 1.543253
26.915419 1.445778
26.797691 1.656401
27.122326 1.277278
26.915965 1.487628
26.956986 1.463374
26.999185 1.407409
27.178039 1.456370
27.158289 1.313074
27.105553 1.243633
27.085826 1.410986
26.917530 1.586157
26.615101 1.704891
26.845758 1.436693
27.110247 1.212444
26.977233 1.675745
26.879969 1.668825
26.738320 1.877611
26.893475 1.594355
26.740821 1.663623
26.812818 1.448776
26.795176 1.433349
26.829753 1.605140
26.971861 1.456939
26.850494 1.813372
26.897044 1.431735
26.979529 1.437359
27.255566 1.303768
27.171673 1.243460
27.138984 1.443417
27.215317 1.474227
27.238406 1.065475
27.026384 1.384484
26.977345 1.510474
27.078383 1.256598
26.806986 1.640746
26.817575 1.578817
27.291301 1.204947
27.183014 1.288658
27.187805 1.308514
27.013350 1.639408
26.781370 1.720594
26.943521 1.540846
26.783399 1.553495
26.767331 1.536455
27.045281 1.379035
26.934343 1.640972
26.848273 1.456140
26.969076 1.295571
27.218908 1.245317
26.981166 1.418173
26.977309 1.540189
27.006786 1.695394
27.052971 1.366736
26.905249 1.391652
27.064249 1.412420
27.128496 1.138133
26.943638 1.709136
26.872119 1.307045
26.949219 1.332302
27.074213 1.314270
27.161192 1.204960
27.244648 1.221665
26.944745 1.481250
26.958995 1.562716
26.908230 1.653392
27.102561 1.477742
27.065015 1.493957
26.992267 1.342109
26.971985 1.462661
26.916342 1.498098
27.035617 1.322030
26.914943 1.443456
26.861250 1.487750
26.773525 1.529796
26.805987 1.514868
26.722471 1.595617
27.036165 1.387060
26.971936 1.463800
27.009858 1.493571
27.166835 1.145715
27.382399 1.032772
26.880381 1.488536
26.830742 1.495361
26.894157 1.484745
26.970669 1.303935
27.115893 1.417159
27.084588 1.386268
26.894689 1.625555
26.830993 1.463817
26.910206 1.418225
26.823272 1.697681
26.894822 1.527561
26.786070 1.714908
26.896193 1.551979
26.974044 1.433098
26.964703 1.443260
26.961191 1.873411
26.886600 1.691360
26.848734 1.666481
26.918296 1.465996
27.137016 1.207481
27.015983 1.452039
27.003013 1.616877
27.043117 1.445723
26.975042 1.476210
26.868507 1.557780
27.010911 1.411098
27.099116 1.337682
26.974831 1.418083
26.892857 1.511017
26.842923 1.545890
26.984343 1.360785
26.847661 1.740903
26.935366 1.462566
26.860702 1.567999
26.720799 1.738537
26.974713 1.548152
27.119751 1.384233
26.744567 1.702103
26.774843 1.630221
26.933815 1.498414
27.242342 1.263869
26.999217 1.415123
26.997264 1.340778
26.893766 1.363094
27.155575 1.269597
26.912932 1.572142
26.847970 1.628496
26.911394 1.339987
26.898271 1.486311
26.849552 1.536483
26.814388 1.591078
26.965527 1.348477
27.155822 1.256556
27.085975 1.491616
26.801604 1.590203
26.780873 1.621543
26.926426 1.638971
26.785424 1.682369
26.705256 1.431770
27.006091 1.179643
26.953888 1.469034
26.968444 1.366434
27.014444 1.420731
27.036632 1.341711
27.003156 1.500287
26.866828 1.456371
27.241198 1.219549
27.060398 1.411813
27.001655 1.435591
26.713908 1.560749
26.757974 1.618886
26.698851 1.663087
26.814125 1.602906
27.005799 1.448924
27.049956 1.382029
26.884748 1.801841
26.856832 1.838036
27.113303 1.514757
27.030930 1.541784
26.848633 1.675966
26.697093 1.577905
26.847336 1.446632
26.840421 1.529061
27.158960 1.410812
26.864062 1.633159
27.251855 1.148729
27.264263 1.361630
27.092043 1.322842
27.032852 1.450814
27.035214 1.499580
27.058732 1.443094
27.015333 1.363697
26.715154 1.711459
26.721656 1.732975
27.001524 1.314494
26.940772 1.441725
26.837138 1.600706
26.858066 1.732329
27.055531 1.519455
27.092293 1.307938
26.867931 1.603696
26.759211 1.740901
26.776354 1.611892
26.953248 1.490398
27.186947 1.176109
27.067967 1.321235
27.020622 1.634377
27.169818 1.456809
27.055348 1.530956
26.827704 1.699969
26.646950 1.808974
26.946089 1.456607
27.033856 1.358618
26.731500 1.656700
26.736865 1.692557
26.794830 1.754526
26.880422 1.589224
26.988447 1.464711
27.114243 1.415016
26.975665 1.405078
26.866932 1.493296
26.953824 1.237288
26.734775 1.554937
26.938677 1.565021
26.762551 1.683202
26.979176 1.431216
27.121045 1.134840
27.105811 1.169988
27.228988 1.290818
27.208535 1.349499
27.222829 1.156343
26.930388 1.661354
26.987271 1.410039
26.924751 1.354351
26.908789 1.535386
27.033711 1.493058
26.881344 1.730615
26.943249 1.714296
27.082812 1.500115
26.830696 1.605552
27.219730 1.064328
26.929094 1.355315
26.688779 1.817630
26.734100 1.681495
26.763556 1.506280
26.937676 1.727043
26.981786 1.455706
26.964382 1.406716
26.945781 1.476626
26.807464 1.533758
27.055809 1.293203
27.138674 1.365152
26.828919 1.637257
27.144999 1.247331
26.956758 1.511694
26.692697 1.775892
26.890657 1.580989
27.107131 1.368563
27.210526 1.248546
27.092283 1.466144
26.859763 1.415588
27.058076 1.217905
26.980232 1.376679
27.137292 1.266830
27.075890 1.383182
26.984284 1.403117
26.776032 1.580539
26.971384 1.412694
26.933031 1.466402
26.966850 1.329917
26.887271 1.478118
26.828106 1.517065
26.902300 1.172103
26.972715 1.354440
27.044435 1.381531
27.147553 1.380641
27.034556 1.330921
26.838731 1.597745
26.915648 1.417005
26.826948 1.380738
26.922894 1.294981
26.739151 1.567974
26.794575 1.827112
26.899352 1.778196
26.839763 1.464010
27.282067 1.226449
27.077197 1.358511
26.786677 1.613980
26.992542 1.414779
26.917094 1.584076
27.035054 1.564099
26.876662 1.638389
26.927201 1.551557
27.013381 1.136398
27.016009 1.342650
27.079153 1.333130
27.267044 1.144881
27.284759 1.170212
26.989832 1.400943
26.979878 1.576307
26.745168 1.541947
26.860020 1.524908
26.852298 1.494168
26.786108 1.612394
26.802408 1.697607
26.826167 1.632727
26.858278 1.578003
27.339306 1.129598
26.997015 1.302614
26.964520 1.310726
27.016525 1.467538
27.155501 1.213330
27.144993 1.276495
26.969936 1.491995
26.852909 1.756141
27.256233 1.269121
27.247357 1.001297
27.339473 0.839156
