# Vega Mags
# Elliptical M49 region extracted from isophotes (48.00,49.00]
# Num Pixels: 75908
# Neff ~ 276^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
23.869449 2.091072
23.863101 2.097354
23.870698 2.078526
23.811791 2.161590
23.834195 2.099118
23.846029 2.192688
23.882817 2.041542
23.841207 2.092110
23.863970 2.062497
23.844912 2.103660
23.819685 2.090908
23.794291 2.109712
23.802073 2.141164
23.806163 2.165402
23.790707 2.131441
23.817044 2.136022
23.769780 2.178371
23.848728 2.017977
23.854423 2.002411
23.891932 2.077886
23.866487 2.063158
23.849159 2.057900
23.834615 2.115987
23.824618 2.102221
23.839517 2.073554
23.820267 2.090364
23.810183 2.089245
23.805973 2.073636
23.815009 2.112333
23.868809 2.082892
23.883587 2.089786
23.873034 2.140528
23.846634 2.115496
23.800667 2.132998
23.838206 2.132302
23.828543 2.109032
23.835134 2.112189
23.839870 2.086636
23.863229 2.048393
23.871205 2.082984
23.841697 2.119481
23.808134 2.127100
23.807944 2.106925
23.829831 2.084099
23.845136 2.122281
23.889899 2.048251
23.864565 2.070125
23.841652 2.111108
23.880578 2.096190
23.861600 2.062418
23.807914 2.115721
23.811121 2.139054
23.870686 2.083210
23.870039 2.092463
23.829687 2.145642
23.839229 2.125658
23.842490 2.108436
23.836740 2.060389
23.804297 2.113315
23.812558 2.128807
23.772360 2.226927
23.822061 2.164425
23.795773 2.182524
23.800280 2.110620
23.817805 2.068992
23.820955 1.985303
23.822017 1.971232
23.830998 2.075418
23.807902 2.086703
23.808336 2.103919
23.801042 2.099333
23.822734 2.058699
23.804042 2.113033
23.787985 2.166244
23.796520 2.091354
23.825508 2.098201
23.868389 2.090285
23.871271 2.093321
23.872548 2.087030
23.858336 2.101358
23.785911 2.166284
23.826200 2.130895
23.830793 2.032341
23.824572 2.089533
23.818550 2.160776
23.822808 2.153049
23.815850 2.176046
23.820755 2.167735
23.848976 2.151781
23.848078 2.180924
23.842396 2.185252
23.843040 2.122103
23.817645 2.105214
23.831853 2.072897
23.831373 2.008607
23.804359 2.048189
23.816058 2.019308
23.841447 2.056213
23.849953 2.056102
23.821509 2.092355
23.860707 2.032856
23.848289 2.106187
23.816952 2.137345
23.807953 2.156196
23.816993 2.113368
23.839038 2.065887
23.849513 2.094520
23.835181 2.096532
23.831353 2.061666
23.783880 2.121101
23.816028 2.113543
23.834199 2.076889
23.881178 2.034241
23.877959 2.006520
23.844786 2.064870
23.837010 2.086722
23.848114 2.092439
23.836598 2.080627
23.844773 2.067611
23.808114 2.133291
23.876182 2.078116
23.874467 2.053033
23.824586 2.079670
23.832853 2.110286
23.857150 2.072665
23.851379 2.062113
23.828845 2.091311
23.814092 2.109024
23.780909 2.155600
23.826937 2.159163
23.753012 2.181433
23.777855 2.143132
23.800650 2.104821
23.814588 2.079814
23.794827 2.091890
23.805879 2.122441
23.805428 2.139524
23.817116 2.114590
23.826495 2.144239
23.822813 2.143833
23.805606 2.109951
23.830262 2.130944
23.814538 2.101528
23.834360 2.103196
23.807970 2.130472
23.815225 2.145764
23.830122 2.055766
23.828025 2.115469
23.820040 2.103952
23.830331 2.086194
23.825279 2.067336
23.833630 2.075053
23.852079 2.049745
23.807351 2.130339
23.812980 2.114076
23.811886 2.116570
23.856072 2.099647
23.834802 2.152737
23.850028 2.122461
23.857926 2.079928
23.821485 2.111430
23.814480 2.090280
23.822462 2.103174
23.833374 2.120708
23.801482 2.144577
23.773976 2.077316
23.843538 2.086726
23.844984 2.080820
23.811434 2.172392
23.809332 2.121834
23.838564 2.078285
23.812880 2.128910
23.867122 2.085835
23.859056 2.067395
23.849081 2.060388
23.828771 2.045868
23.795216 2.128377
23.813224 2.084792
23.822851 2.122346
23.850478 2.078941
23.820383 2.122866
23.832686 2.132070
23.846285 2.128388
23.832099 2.135873
23.870630 2.065261
23.852000 2.112255
23.840121 2.121710
23.796437 2.165031
23.824987 2.112032
23.803356 2.182384
23.822418 2.158999
23.817779 2.114192
23.807808 2.087751
23.792609 2.081353
23.845833 2.079098
23.846008 2.079222
23.864523 2.059580
23.850695 2.038451
23.830182 2.153422
23.849333 2.091004
23.846484 2.093799
23.828522 2.100017
23.821716 2.102662
23.816079 2.100007
23.815780 2.094464
23.818191 2.086799
23.806758 2.121256
23.825635 2.162020
23.835590 2.111053
23.771154 2.134904
23.766214 2.107138
23.796339 2.115524
23.813158 2.121474
23.798868 2.132801
23.777067 2.091076
23.790760 2.085203
23.822421 2.108372
23.850908 2.064392
23.784892 2.099203
23.806307 2.124792
23.810751 2.110181
23.814531 2.129052
23.782218 2.150353
23.797264 2.098168
23.810700 2.061142
23.819919 2.077626
23.829810 2.089612
23.812727 2.144089
23.822255 2.160252
23.802701 2.177759
23.819504 2.120192
23.822666 2.123265
23.795323 2.118738
23.846544 2.035443
23.835903 2.084143
23.813682 2.112386
23.820591 2.074723
23.796472 2.101403
23.803984 2.157354
23.821405 2.123119
23.812511 2.107721
23.840221 2.068337
23.846578 2.104675
23.857015 2.105069
23.844620 2.073005
23.815585 2.098032
23.844296 2.076347
23.846686 2.047278
23.848141 2.105796
23.835746 2.099039
23.853094 2.042374
23.860817 2.038410
23.837424 2.080882
23.818766 2.095476
23.834096 2.087795
23.809598 2.119856
23.814172 2.066156
23.846036 2.082064
23.818266 2.096391
23.815269 2.090706
23.834904 2.081084
23.871339 2.063847
23.762717 2.166865
23.787398 2.146690
23.837072 2.110278
23.824482 2.161403
23.827272 2.095472
23.808403 2.063048
23.867127 2.027790
23.888791 2.039897
23.853738 2.050373
23.850196 2.064644
23.848488 2.075398
23.809668 2.101834
23.825033 2.095276
23.900761 2.023451
23.876189 2.057455
23.831568 2.137038
23.832521 2.119668
23.830521 2.104701
23.827126 2.148410
23.829681 2.130475
23.824825 2.139339
23.833027 2.126362
23.808482 2.119408
23.799402 2.153857
23.791499 2.171367
23.803140 2.125620
23.802289 2.116475
23.849577 2.080557
23.837741 2.025828
23.862751 2.077949
23.834098 2.120870
23.829473 2.117762
23.849664 2.072863
23.849365 2.099189
23.868132 2.068859
