  5.05    0.1021    3.5174   -0.7155    0.1042    9.1131    8.3660    6.4728    5.7583    5.4830
  5.05    0.1211    3.5251   -0.5893   -0.3234    8.7087    7.9638    6.1487    5.4622    5.1677
  5.05    0.1451    3.5342   -0.4444   -0.4189    8.2556    7.5161    5.7834    5.1253    4.8033
  5.05    0.1736    3.5446   -0.3062   -0.5293    7.8096    7.0790    5.4376    4.8095    4.4549
  5.05    0.2072    3.5565   -0.1751   -0.6364    7.3556    6.6394    5.1096    4.5154    4.1243
  5.05    0.2471    3.5699   -0.0451   -0.7075    6.8726    6.1796    4.7789    4.2238    3.8039
  5.05    0.3033    3.5867    0.1099   -0.9399    6.2653    5.6146    4.3729    3.8689    3.4468
  5.05    0.3305    3.5938    0.1645   -1.0583    6.0305    5.4016    4.2241    3.7432    3.3317
  5.05    0.3905    3.6106    0.3028   -1.0311    5.4531    4.8799    3.8440    3.4193    3.0497
  5.05    0.4618    3.6297    0.4343   -1.0746    4.8769    4.3659    3.4720    3.1144    2.8118
  5.05    0.5720    3.6525    0.6014   -1.0818    4.2165    3.7665    3.0170    2.7349    2.5120
  5.05    0.7642    3.6727    0.8069   -1.2634    3.5311    3.1276    2.4840    2.2645    2.1081
  5.05    0.9270    3.6835    0.9385   -1.0380    3.1231    2.7436    2.1503    1.9625    1.8399
  5.05    2.6007    3.7214    1.6069   -1.4656    1.2250    0.9299    0.4942    0.4073    0.3908
  5.05    4.8328    3.7542    2.3967   -2.1750   -0.9069   -1.1301   -1.4352   -1.4464   -1.3769
  5.05    5.2661    3.7938    2.5935   -2.9879   -1.5536   -1.6984   -1.8457   -1.7755   -1.6058
  5.05    5.4661    3.8288    2.6847   -3.2566   -1.8989   -1.9810   -1.9851   -1.8486   -1.5891
  5.05    5.6479    3.8623    2.7707   -3.3304   -2.2066   -2.2311   -2.0964   -1.9051   -1.5624
  5.05    5.8141    3.8949    2.8533   -3.3897   -2.4749   -2.4379   -2.1772   -1.9400   -1.5280
  5.05    5.9732    3.9262    2.9329   -3.4381   -2.6639   -2.5904   -2.2377   -1.9605   -1.4991
  5.05    6.1243    3.9572    3.0094   -3.4798   -2.7822   -2.6857   -2.2741   -1.9607   -1.4699
  5.05    6.2721    3.9881    3.0836   -3.5102   -2.8563   -2.7453   -2.2959   -1.9477   -1.4390
  5.05    6.4191    4.0193    3.1551   -3.5337   -2.8997   -2.7789   -2.3021   -1.9214   -1.4011
  5.05    6.5670    4.0508    3.2237   -3.5553   -2.9208   -2.7919   -2.2913   -1.8813   -1.3518
  5.05    6.7152    4.0826    3.2883   -3.5680   -2.9224   -2.7857   -2.2626   -1.8261   -1.2883
  5.05    6.8702    4.1148    3.3497   -3.5711   -2.9064   -2.7619   -2.2167   -1.7563   -1.2107
  5.05    7.0328    4.1475    3.4078   -3.5716   -2.8742   -2.7216   -2.1539   -1.6716   -1.1181
  5.05    7.2055    4.1806    3.4632   -3.5678   -2.8289   -2.6680   -2.0773   -1.5744   -1.0129
  5.05    7.3909    4.2142    3.5160   -3.5609   -2.7721   -2.6027   -1.9887   -1.4662   -0.8964
  5.05    7.5918    4.2481    3.5671   -3.5511   -2.7084   -2.5310   -1.8942   -1.3526   -0.7746
  5.05    7.8118    4.2825    3.6170   -3.5380   -2.6408   -2.4557   -1.7970   -1.2368   -0.6508
  5.05    8.0558    4.3174    3.6662   -3.5184   -2.5707   -2.3781   -1.6987   -1.1203   -0.5266
  5.05    8.3340    4.3529    3.7149   -3.4809   -2.4995   -2.3005   -1.6030   -1.0075   -0.4061
  5.05    8.6734    4.3893    3.7632   -3.4245   -2.4211   -2.2145   -1.4955   -0.8814   -0.2705
  5.05    9.1078    4.4271    3.8134   -3.3415   -2.3387   -2.1222   -1.3769   -0.7429   -0.1207
  5.05    9.7298    4.4667    3.8757   -3.3983   -2.2943   -2.0702   -1.3058   -0.6548   -0.0240
  5.05   10.1656    4.4618    3.8558   -3.3246   -2.2677   -2.0448   -1.2832   -0.6346   -0.0052
  5.05   11.1814    4.4761    3.9232   -3.2565   -2.3699   -2.1448   -1.3778   -0.7237   -0.0916
  5.05   12.2200    4.4906    4.0274   -3.2982   -2.5680   -2.3407   -1.5686   -0.9087   -0.2740
  5.05   13.5055    4.5082    4.1529   -3.3072   -2.8086   -2.5794   -1.8032   -1.1373   -0.5002
  5.05   15.1021    4.5274    4.2905   -3.3283   -3.0704   -2.8401   -2.0622   -1.3913   -0.7527
  5.05   17.0763    4.5478    4.4381   -3.3985   -3.3413   -3.1105   -2.3335   -1.6591   -1.0200
  5.05   19.1052    4.5659    4.5693   -3.4405   -3.5679   -3.3368   -2.5615   -1.8853   -1.2464
  5.05   21.9089    4.5870    4.7247   -3.4497   -3.8217   -3.5898   -2.8160   -2.1380   -1.4991
  5.05   25.6242    4.6100    4.8959   -3.4416   -4.0879   -3.8542   -3.0797   -2.3992   -1.7593
  5.05   31.7598    4.6389    5.1186   -3.5508   -4.4369   -4.2006   -3.4229   -2.7390   -2.0973
  5.05   37.5585    4.6595    5.2835   -3.6740   -4.7223   -4.4855   -3.7073   -3.0227   -2.3810
  5.05   45.6695    4.6812    5.4657   -3.6752   -5.0722   -4.8367   -4.0606   -3.3771   -2.7371
  5.05   60.4093    4.7083    5.7091   -3.7830   -5.5498   -5.3151   -4.5397   -3.8567   -3.2180
  5.05   78.0839    4.7291    5.9160   -4.0082   -5.9507   -5.7148   -4.9366   -4.2521   -3.6125
  5.05   94.6591    4.7425    6.0619   -4.1002   -6.2349   -5.9978   -5.2169   -4.5308   -3.8902
  5.10    0.1127    3.5218   -0.6659    0.1927    8.9325    8.1856    6.3411    5.6449    5.3615
  5.10    0.1344    3.5301   -0.5303   -0.3800    8.5056    7.7627    5.9965    5.3280    5.0222
  5.10    0.1607    3.5397   -0.3892   -0.4859    8.0606    7.3250    5.6423    5.0023    4.6674
  5.10    0.1915    3.5507   -0.2621   -0.5971    7.6323    6.9082    5.3243    4.7158    4.3473
  5.10    0.2275    3.5629   -0.1359   -0.6671    7.1802    6.4738    5.0063    4.4331    4.0314
  5.10    0.2785    3.5787    0.0123   -0.8242    6.6151    5.9421    4.6245    4.0977    3.6758
  5.10    0.3195    3.5902    0.1128   -1.0523    6.2092    5.5688    4.3577    3.8663    3.4515
  5.10    0.3548    3.6000    0.1970   -1.0402    5.8638    5.2548    4.1305    3.6702    3.2722
  5.10    0.4270    3.6199    0.3386   -1.0551    5.2398    4.6978    3.7324    3.3407    3.0029
  5.10    0.5071    3.6400    0.4745   -1.0457    4.6606    4.1788    3.3527    3.0298    2.7635
  5.10    0.6812    3.6655    0.6931   -1.1686    3.8732    3.4537    2.7740    2.5326    2.3530
  5.10    0.8491    3.6792    0.8465   -1.3005    3.3833    2.9945    2.3817    2.1816    2.0459
  5.10    1.1450    3.6944    1.0473   -1.0576    2.7790    2.4235    1.8776    1.7205    1.6302
  5.10    4.4465    3.7466    2.2026   -1.8311   -0.3850   -0.6256   -0.9620   -0.9904   -0.9415
  5.10    5.0266    3.7843    2.5128   -2.8384   -1.3171   -1.4794   -1.6654   -1.6134   -1.4682
  5.10    5.2325    3.8195    2.6119   -3.2128   -1.6858   -1.7846   -1.8282   -1.7081   -1.4734
  5.10    5.4071    3.8536    2.7000   -3.2990   -2.0049   -2.0459   -1.9486   -1.7707   -1.4500
  5.10    5.5703    3.8864    2.7848   -3.3621   -2.2907   -2.2694   -2.0407   -1.8147   -1.4201
  5.10    5.7203    3.9186    2.8658   -3.4170   -2.5038   -2.4386   -2.1062   -1.8382   -1.3875
  5.10    5.8644    3.9500    2.9437   -3.4576   -2.6383   -2.5467   -2.1465   -1.8414   -1.3565
  5.10    6.0044    3.9808    3.0179   -3.4940   -2.7210   -2.6130   -2.1707   -1.8305   -1.3254
  5.10    6.1405    4.0117    3.0885   -3.5221   -2.7681   -2.6494   -2.1783   -1.8054   -1.2876
  5.10    6.2773    4.0429    3.1564   -3.5393   -2.7918   -2.6648   -2.1695   -1.7668   -1.2394
  5.10    6.4168    4.0744    3.2213   -3.5497   -2.7969   -2.6622   -2.1443   -1.7146   -1.1787
  5.10    6.5615    4.1064    3.2827   -3.5585   -2.7840   -2.6416   -2.1017   -1.6476   -1.1039
  5.10    6.7103    4.1387    3.3403   -3.5604   -2.7535   -2.6030   -2.0410   -1.5646   -1.0132
  5.10    6.8696    4.1716    3.3955   -3.5550   -2.7099   -2.5512   -1.9665   -1.4692   -0.9098
  5.10    7.0399    4.2049    3.4482   -3.5484   -2.6542   -2.4873   -1.8794   -1.3624   -0.7948
  5.10    7.2242    4.2386    3.4990   -3.5387   -2.5911   -2.4160   -1.7853   -1.2491   -0.6734
  5.10    7.4253    4.2727    3.5485   -3.5256   -2.5230   -2.3400   -1.6873   -1.1325   -0.5487
  5.10    7.6479    4.3074    3.5971   -3.5053   -2.4523   -2.2618   -1.5881   -1.0149   -0.4235
  5.10    7.9015    4.3427    3.6449   -3.4665   -2.3784   -2.1813   -1.4889   -0.8984   -0.2994
  5.10    8.2112    4.3790    3.6919   -3.4077   -2.2975   -2.0933   -1.3804   -0.7718   -0.1637
  5.10    8.6087    4.4165    3.7401   -3.3206   -2.2114   -1.9978   -1.2599   -0.6316   -0.0127
  5.10    9.1821    4.4558    3.7992   -3.3836   -2.1549   -1.9330   -1.1740   -0.5279    0.1004
  5.10    9.5626    4.4495    3.7738   -3.3033   -2.1226   -1.9023   -1.1470   -0.5040    0.1224
  5.10   10.5040    4.4641    3.8428   -3.2268   -2.2242   -2.0013   -1.2398   -0.5908    0.0385
  5.10   11.4614    4.4785    3.9460   -3.2786   -2.4164   -2.1909   -1.4230   -0.7678   -0.1353
  5.10   12.5892    4.4952    4.0651   -3.2911   -2.6429   -2.4150   -1.6417   -0.9801   -0.3446
