# Vega Mags
# Elliptical M49 region extracted from isophotes (40,43]
# Semi-Minor Axes (pix): (194.9, 259.4]
# Num Pixels: 63771
# Neff ~ 436^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
23.085343 2.148447
23.080368 2.136628
23.065351 2.155721
23.062158 2.139915
23.070431 2.134946
23.078013 2.139756
23.075784 2.116056
23.076833 2.100965
23.086624 2.086288
23.067734 2.127380
23.048755 2.179174
23.058149 2.152323
23.076655 2.149413
23.082393 2.125300
23.056587 2.153444
23.053004 2.189759
23.068617 2.150985
23.074069 2.155330
23.074174 2.149220
23.094245 2.144955
23.088088 2.150476
23.080744 2.123493
23.104237 2.133629
23.117088 2.111135
23.070084 2.174397
23.077847 2.125862
23.106038 2.119750
23.111453 2.157588
23.098172 2.188772
23.103324 2.059922
23.081520 2.117152
23.088653 2.129165
23.089589 2.129742
23.063508 2.155111
23.057750 2.166310
23.076721 2.147676
23.069987 2.125071
23.034022 2.177644
23.042073 2.191063
23.075179 2.105608
23.058638 2.147481
23.054718 2.194680
23.053252 2.137215
23.061376 2.118239
23.069372 2.139476
23.058891 2.164545
23.029364 2.187740
23.016259 2.182865
23.056043 2.163378
23.058135 2.157185
23.029100 2.209816
23.022760 2.166075
23.057350 2.134076
23.050126 2.172149
23.040854 2.182748
23.033297 2.147531
23.051244 2.137063
23.077287 2.142108
23.083447 2.124803
23.077395 2.123243
23.062113 2.161547
23.062186 2.150192
23.041751 2.178912
23.031032 2.202786
23.029687 2.187645
23.034871 2.199683
23.061836 2.144495
23.065581 2.146527
23.078284 2.126877
23.076176 2.127174
23.051908 2.121272
23.043327 2.132115
23.041782 2.143806
23.038502 2.143233
23.056223 2.201531
23.050080 2.150294
23.066700 2.125844
23.037093 2.191388
23.044788 2.139154
23.049670 2.172607
23.050539 2.164585
23.053791 2.158553
23.048236 2.158234
23.087628 2.129870
23.046401 2.172053
23.030802 2.169002
23.042872 2.196413
23.028234 2.175031
23.037071 2.165502
23.068472 2.128515
23.064161 2.148165
23.079968 2.150679
23.091572 2.141617
23.079890 2.175575
23.059651 2.150373
23.078191 2.114106
23.065004 2.148791
23.064768 2.096032
23.072481 2.116802
23.074205 2.137009
23.072611 2.124039
23.054805 2.147749
23.042254 2.183142
23.068983 2.147300
23.079381 2.102562
23.056983 2.153004
23.032542 2.224023
23.067450 2.156726
23.058438 2.177137
23.074011 2.087518
23.074939 2.143949
23.075937 2.169006
23.097428 2.137869
23.095014 2.125292
23.093045 2.125016
23.071421 2.138038
23.060162 2.144824
23.046921 2.178621
23.054061 2.173303
23.088274 2.171463
23.100628 2.144630
23.099397 2.127667
23.101026 2.132643
23.102394 2.116680
23.078783 2.134683
23.088922 2.139388
23.089813 2.168973
23.088839 2.139421
23.102446 2.097917
23.073035 2.127795
23.069610 2.140827
23.069629 2.160765
23.061320 2.182397
23.083901 2.118135
23.088307 2.122828
23.072989 2.162090
23.045060 2.177454
23.048619 2.180683
23.059650 2.140675
23.054486 2.145737
23.046260 2.162928
23.064768 2.137621
23.038431 2.124558
23.029028 2.202922
23.044981 2.181244
23.061388 2.151287
23.052925 2.139432
23.042061 2.158758
23.061511 2.165232
23.056367 2.180538
23.036596 2.160733
23.047009 2.146445
23.045353 2.173237
23.025339 2.162752
23.041716 2.163474
23.040825 2.146969
23.033253 2.155741
23.053944 2.135469
23.034719 2.137607
23.046571 2.146556
23.051000 2.163249
23.035878 2.175832
23.039588 2.133812
23.037437 2.152817
23.048958 2.164421
23.063852 2.138669
23.061000 2.122627
23.083068 2.083246
