# Vega Mags
# m51b region extracted from square X=[2652,2908), Y=[10412, 10668) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.189122 1.339638 0.794119
25.226674 1.375821 0.809093
25.200885 1.356820 0.918611
25.233369 1.364203 0.953226
25.195700 1.316443 1.034029
25.212285 1.313603 1.041742
25.182404 1.406667 1.037523
25.183395 1.344732 0.965641
25.172374 1.330715 0.956876
25.196853 1.322547 0.938844
25.140972 1.329078 0.929967
25.156656 1.252221 0.981102
25.218779 1.216387 0.996666
25.178614 1.223449 0.972091
25.171293 1.274528 0.860756
25.181631 1.292589 0.810651
25.199543 1.340538 0.836398
25.229416 1.266820 0.902663
25.185160 1.277357 0.960341
25.242973 1.231838 0.930386
25.232889 1.271140 0.911558
25.243608 1.307514 0.825517
25.254324 1.348808 0.761225
25.236584 1.368951 0.785462
25.193680 1.384939 0.845480
25.253540 1.248139 0.893530
25.219405 1.296393 0.880084
25.224816 1.268946 0.893052
25.216172 1.280688 0.970287
25.224771 1.268402 0.974950
25.246655 1.253875 0.945514
25.246642 1.319419 0.821834
25.256816 1.217127 0.926927
25.233676 1.231650 0.978285
25.195265 1.336877 0.865476
25.221727 1.294171 0.824232
25.207676 1.292581 0.906505
25.161076 1.345490 0.863314
25.187137 1.344295 0.889286
25.264570 1.267405 0.864156
25.243019 1.355250 0.856821
25.190017 1.374911 0.830272
25.170085 1.329986 0.862475
25.217013 1.287494 0.904428
25.207412 1.328162 0.887499
25.158948 1.322654 0.926534
25.178528 1.290672 0.859725
25.229296 1.247006 0.904278
25.217173 1.306353 0.884435
25.144125 1.161446 0.808154
25.200457 1.139983 0.763645
25.210346 1.147907 0.772053
25.099710 1.170601 0.849438
25.063875 1.289794 0.687308
25.122890 1.207970 0.784903
25.123150 1.140805 0.829234
25.126993 1.193149 0.700691
25.112410 1.222829 0.782506
25.149150 1.172637 0.796831
25.213143 1.164348 0.708602
25.291698 1.107099 0.633885
25.249667 1.123020 0.746455
25.211691 1.130133 0.826605
25.217717 1.132400 0.808356
25.280582 1.063525 0.724503
25.222696 1.159440 0.803326
25.183555 1.146647 0.837978
25.158789 1.184504 0.763417
25.144507 1.182023 0.826006
25.150504 1.161118 0.875951
25.130532 1.200177 0.724886
25.065079 1.244053 0.770358
25.040832 1.264711 0.782206
25.130078 1.143417 0.867148
25.235776 1.075264 0.810601
25.234850 1.082278 0.775275
25.205476 1.075366 0.823988
25.179327 1.141779 0.763758
25.181108 1.128036 0.777333
25.209240 1.112931 0.790769
25.123554 1.164211 0.850535
25.116372 1.143221 0.836263
25.114785 1.090227 0.930885
25.164602 1.129424 0.805131
25.196340 1.132948 0.725284
25.219228 1.132322 0.747593
25.169588 1.155511 0.760699
25.130343 1.180344 0.779181
25.148650 1.118600 0.808652
25.106236 1.157649 0.763217
24.986257 1.108479 0.926827
24.810265 1.162714 0.934708
24.791041 1.058807 0.892929
24.982391 0.996712 0.721492
25.106107 1.090433 0.699754
25.149257 1.110243 0.765257
25.161725 1.127480 0.793404
25.116050 1.234932 0.785872
25.174377 1.225927 0.785884
25.150243 1.224373 0.777243
25.118605 1.205424 0.825759
25.063053 1.286819 0.770952
25.047801 1.256411 0.862324
25.168633 1.122487 0.857243
25.224147 1.101584 0.874920
25.212723 1.161315 0.761716
25.212233 1.142227 0.638387
25.171052 1.152680 0.725274
25.101230 1.257177 0.733732
25.056313 1.304770 0.813952
25.057278 1.330577 0.803989
25.143648 1.272314 0.889329
25.121834 1.210582 0.835614
25.105008 1.218271 0.894710
25.089042 1.224089 0.863968
25.075805 1.189232 0.895170
25.148439 1.172673 0.770906
25.138402 1.177019 0.722570
25.136673 1.198895 0.749714
25.127079 1.159047 0.832767
25.148134 1.170890 0.792265
25.137302 1.151231 0.777774
25.184148 1.096192 0.812370
25.138870 1.185545 0.773538
25.132244 1.147746 0.796628
25.156477 1.146664 0.772686
25.131721 1.135922 0.778692
25.111770 1.199744 0.803439
25.169637 1.197429 0.778093
25.143184 1.214201 0.898198
25.166292 1.215542 0.860918
25.175204 1.194158 0.825993
25.103770 1.232624 0.828690
25.103568 1.215617 0.768967
25.131779 1.152849 0.825005
25.115754 1.265248 0.735375
25.046789 1.265904 0.822958
25.142831 1.176819 0.780187
25.134426 1.170905 0.759140
25.119286 1.245661 0.693322
25.083998 1.197665 0.794915
25.057730 1.299021 0.707661
25.139384 1.215849 0.759870
25.169852 1.230795 0.831143
25.123459 1.267707 0.827588
25.114769 1.345130 0.817511
25.072917 1.284214 0.878259
25.126207 1.183840 0.862154
25.132485 1.173292 0.869728
25.092178 1.195066 0.895447
25.070240 1.233368 0.829577
25.052537 1.222684 0.822080
25.163002 1.209103 0.776777
25.108612 1.289466 0.771808
25.053007 1.319587 0.831304
25.066369 1.330904 0.850114
