# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Magnitudes
-3.008306 0.950347
-3.046260 0.971601
-3.043182 0.984671
-3.077217 0.877863
-3.203610 1.076660
-3.204704 1.124743
-3.044756 0.960890
-3.023540 0.935473
-3.077636 1.145380
-3.049961 1.037013
-3.085139 1.177928
-3.186074 1.156109
-3.295678 1.246237
-3.169251 1.184889
-2.962161 0.822849
-2.997245 1.104074
-3.050537 1.081922
-3.250030 1.143349
-3.400220 1.256474
-3.259983 1.221946
-3.070876 1.131027
-3.053830 1.072318
-3.054151 1.030369
-3.016959 1.046707
-3.081383 1.134538
-2.918233 1.100536
-2.859406 1.012219
-2.891980 1.221949
-3.011295 1.165190
-2.987028 1.202020
-3.013935 1.301138
-3.057350 1.122697
-3.015356 1.043775
-2.851208 1.005506
-3.010034 1.247171
-3.069678 1.075610
-3.103810 1.199583
-3.068313 1.111098
-2.871271 0.971443
-2.898468 1.094148
-2.887954 1.116755
-2.892163 1.140355
-2.798486 0.937552
-3.101436 1.143756
-3.153261 1.180089
-3.098325 1.360984
-3.156209 1.265712
-3.143424 1.270213
-3.008667 1.264365
-2.817836 1.006140
-2.874626 0.979953
-3.027438 1.307375
-3.076242 1.300759
-3.104721 1.336615
-3.106266 1.270705
-3.087121 1.200322
-3.106302 1.383527
-3.119628 1.298463
-3.008513 1.190310
-2.959181 1.109513
-2.862018 1.077705
-2.891035 1.256449
-3.042297 1.230106
-3.131843 1.213270
-3.007888 1.131464
-3.042288 1.166741
-3.063459 1.219489
-2.855377 1.144335
-2.765792 1.026636
-2.812540 0.974603
-2.838840 0.991572
-2.863622 1.080302
-2.890544 1.239149
-2.862711 1.257804
-2.800582 1.226020
-2.888432 1.063590
-2.929166 1.016875
-2.847464 1.097140
-2.828123 1.188909
-2.817765 0.987568
-2.923879 1.045108
-3.016816 0.938703
-2.975112 0.943013
-2.987245 0.871651
-3.045645 0.998026
-3.016589 1.084122
-2.885562 1.156008
-2.965380 1.195830
-2.949252 1.047708
-2.967595 1.079621
-2.971076 1.086566
-2.930805 1.019040
-2.943183 1.156302
-2.970806 1.193519
-3.002141 1.184872
-3.000112 1.274977
-3.092400 1.226132
-2.995502 1.215322
-2.959785 1.154170
-3.005386 1.175767
-2.947423 1.189921
-2.863274 0.992577
-2.892473 1.058070
-2.931280 1.083705
-2.941954 1.153704
-2.966550 1.144537
-3.037832 1.198532
-2.995181 1.155185
-3.052622 1.219701
-3.053597 0.931046
-2.960488 1.175467
-2.912680 1.249407
-2.867743 1.230136
-2.944457 1.221692
-2.944740 1.259762
-2.968267 1.118651
-2.959835 1.112681
-3.117160 1.140585
-3.206975 1.318376
-2.976716 1.065015
-3.106925 1.354905
-2.871546 1.105258
-2.842091 1.066803
-2.952229 1.178813
-3.080938 1.194189
-2.978348 1.212802
-3.045570 1.258210
-3.030426 1.159582
-2.908857 1.156795
-2.837676 1.148422
-2.866923 1.158279
-2.953168 1.295045
-3.014808 1.291790
-3.030215 1.312248
-2.931804 1.121969
-2.879240 1.039469
-2.946289 1.167553
-2.997677 1.135187
-3.157508 1.220636
-3.197828 1.383694
-3.025091 1.101178
-3.017880 1.217466
-2.821350 1.035884
-2.786915 0.993656
-2.825700 1.081332
-2.851160 1.080673
-2.789270 1.119876
-2.830112 1.186889
-2.962015 1.212983
-3.078484 1.295334
-3.070466 1.179515
-2.933554 1.116426
-3.018609 1.168761
-2.966976 1.068094
-2.829390 0.963726
-2.845921 1.088063
-2.828796 1.182753
-2.882677 1.236539
-2.878452 1.138155
-2.899626 1.114822
-3.090355 1.293810
-3.111752 1.313542
-3.075459 1.266402
-3.122257 1.339176
-3.262753 1.404658
-3.043955 1.175701
-2.817298 1.069989
-2.895202 1.022627
-2.808419 0.915898
-2.692912 0.936355
-2.743233 0.951071
-2.900113 1.032956
-2.949708 1.111709
-2.996756 1.075511
-2.889343 0.980904
-2.928074 1.063128
-3.016490 1.111053
-2.989595 1.141571
-3.103262 1.304803
-2.993131 1.109534
-3.037795 1.344739
-3.013980 1.286411
-3.053896 1.210439
-2.992272 1.240046
-2.961019 1.166503
-2.938766 1.323479
-2.875411 1.261289
-2.788098 1.191287
-2.913557 1.301655
-2.992994 1.272319
-2.954231 1.283963
-3.032348 1.205902
-2.922333 1.223615
-2.943603 1.127516
-2.956091 1.050244
-2.965836 1.136015
-3.046321 1.228724
-3.048452 1.212202
-2.926108 0.986739
-2.940960 1.044265
-2.867480 1.156152
-2.923122 1.157730
-2.920164 1.179500
-2.837488 1.127306
-2.930922 1.240693
-3.073300 1.157193
-2.981517 0.938904
-3.016628 0.990713
-2.899098 0.881820
-2.907792 1.099563
-2.926480 1.102706
-2.989975 1.152022
-2.995470 1.108824
-2.852461 0.955630
-2.930900 1.048513
-2.877973 0.963700
-3.041391 1.122004
-3.119271 1.160736
-3.140146 1.213278
-3.134404 1.305895
-3.065295 1.299181
-2.956466 1.119446
-2.811949 1.034564
-2.913009 1.149722
-2.923948 1.011371
-3.063774 1.106431
-3.093062 1.059296
-3.045369 1.046586
-3.137777 1.062392
-3.046779 0.975284
-2.924946 0.924077
-2.907330 0.910821
-2.976955 1.006838
-2.998727 1.010044
-3.148463 1.040072
-3.267110 1.132849
-3.237671 1.185024
-3.131635 0.968543
-2.985297 0.973997
-2.918399 1.059898
-2.898099 1.037672
-3.012214 1.180015
-3.092327 1.110909
-3.132324 1.135463
-2.971672 1.108182
-2.892024 0.974023
-2.927889 1.042700
-3.068655 1.211979
-3.088490 1.269495
-3.033411 1.165037
-3.025483 1.056048
-3.170254 1.068637
-3.208920 1.151374
-3.141706 1.166783
-3.111865 1.073695
-3.139930 1.014334
-3.150376 1.229410
-3.097106 1.022731
-3.084694 0.968133
-3.100716 0.898558
-3.064342 0.911603
-3.158379 1.098109
-3.187154 1.074169
-3.199625 0.913400
-3.344485 0.778529
-3.221553 0.747542
-3.172304 0.840224
-3.118156 1.020585
-3.140806 1.167093
-3.144349 1.086900
-3.130641 0.988758
-3.095798 1.008890
-3.019548 0.987815
-3.067544 1.074823
-3.010939 1.022805
-3.008366 1.014255
-3.061427 0.964784
-3.165236 0.977011
-3.273604 1.031111
-3.329509 1.012073
-3.320568 0.955520
-3.338451 0.895134
-3.389264 0.946447
-3.250896 0.934606
-3.160848 0.979471
-3.201195 1.196343
-3.138529 1.263433
-3.203657 1.134661
-3.223938 0.978039
-3.045732 1.039917
-3.065936 0.943623
-3.169985 1.060759
-3.179325 1.105151
-3.259705 1.206479
-3.317933 1.081765
-3.394758 0.855511
-3.403367 0.611045
-3.254966 0.822134
-3.147374 1.023650
-3.103884 1.116001
-3.038736 1.124235
-3.022564 1.089663
-3.014758 1.080369
-3.082908 1.039580
-3.318643 1.192932
-3.379908 1.146581
-3.290558 1.070075
-3.209866 1.061090
-3.156795 0.965379
-3.218574 1.106094
-3.295916 1.148582
-3.071703 0.951746
-2.929280 0.947359
-2.929252 1.082341
-2.985544 0.972994
-3.070356 0.910400
-3.193786 1.138440
-3.283901 1.258754
-3.182603 1.119950
-3.162940 1.062497
-3.071701 0.830075
-3.068577 0.932595
-3.056045 1.141977
-2.993745 0.986321
-3.008336 1.063915
-2.951746 1.107149
-2.866443 0.922847
-2.959485 0.991515
-3.147345 1.194615
-3.068575 0.931271
-3.078100 1.041414
-3.073682 1.202846
-2.994895 0.952077
-3.089791 1.060521
-3.059729 1.020846
-2.979384 0.872912
-2.979513 0.956266
-2.995187 1.089751
-3.054434 1.155582
-3.011809 1.068727
-3.107908 1.192661
-3.033165 1.210378
-3.001347 1.060995
-3.086051 0.990647
-2.989699 0.902006
-2.992410 0.977114
-3.019522 1.124632
-3.049782 1.210275
-3.105763 1.032662
-2.976764 0.991548
-2.851952 1.046175
-2.842119 0.914015
-2.932917 0.972185
-3.029557 1.126033
-3.044229 1.094485
-2.906519 0.817441
-2.842116 0.857019
-2.942905 0.923421
-2.940869 1.037193
-2.873049 0.946783
-2.967078 1.001843
-3.129371 1.052853
-3.117824 1.098768
-3.065141 0.945953
-2.992024 0.935620
-2.978459 0.945562
-2.930812 0.999672
-2.916930 1.050169
-2.908061 1.011922
-2.909962 0.996890
-2.985661 0.856770
-2.999947 0.786753
