age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.0,0.1091,3.5202,-0.6481,0.169,8.9135,8.1678,6.302,5.5967,5.3128,16.9671,12.556,33.0,21.943
5.0,0.1305,3.5288,-0.5077,-0.3533,8.4708,7.7284,5.9449,5.2685,4.9602,16.5392,12.1202,33.0,33.0
5.0,0.1569,3.5387,-0.3576,-0.461,8.0002,7.2646,5.569,4.9219,4.5813,16.0767,11.6497,33.0,33.0
5.0,0.1876,3.55,-0.2229,-0.5765,7.5502,6.8258,5.2328,4.6179,4.241,15.6245,11.1831,31.045,17.644
5.0,0.2236,3.5627,-0.0901,-0.6594,7.0749,6.3686,4.8987,4.3203,3.9086,15.1261,10.659,30.84,17.44
5.0,0.2721,3.5783,0.0581,-0.7972,6.5083,5.835,4.5161,3.9845,3.5544,14.4481,9.9598,30.326,15.846
5.0,0.3176,3.5913,0.1742,-1.0242,6.0417,5.4051,4.2064,3.716,3.2974,13.7547,9.3137,30.165,15.685
5.0,0.3515,3.6005,0.2537,-1.0366,5.7137,5.107,3.9895,3.5299,3.1306,13.1439,8.8328,30.059,15.579
5.0,0.4239,3.6203,0.3997,-1.0497,5.0798,4.5395,3.5793,3.1887,2.852,11.532,7.8503,28.73,13.86
5.0,0.5027,3.6399,0.535,-1.053,4.5098,4.0275,3.2019,2.8783,2.6115,9.9985,6.9836,24.841,12.092
5.0,0.6671,3.6639,0.7446,-1.1619,3.7579,3.3342,2.6466,2.4001,2.215,8.4047,5.9403,21.884,10.361
5.0,0.8369,3.6775,0.902,-1.2938,3.2575,2.8645,2.2436,2.0383,1.897,7.5446,5.2897,20.73,9.51
5.0,1.1179,3.6917,1.0963,-1.0888,2.6739,2.3124,1.7549,1.5903,1.492,6.6362,4.5614,19.059,8.393
5.0,3.4371,3.7273,1.8333,-1.6554,0.6305,0.3473,-0.0653,-0.1382,-0.1393,3.9549,2.2363,14.711,5.426
5.0,5.2026,3.7652,2.5433,-2.3927,-1.3229,-1.522,-1.7824,-1.7695,-1.671,1.6247,0.1926,10.323,2.769
5.0,5.5044,3.8029,2.6686,-3.1397,-1.7756,-1.9031,-2.0125,-1.9244,-1.7304,0.8833,-0.259,7.451,1.746
5.0,5.7061,3.8372,2.7552,-3.2911,-2.1031,-2.1701,-2.1376,-1.9866,-1.7045,0.3916,-0.5246,5.439,1.133
5.0,5.8948,3.8703,2.8393,-3.3607,-2.4005,-2.408,-2.239,-2.036,-1.6737,0.0001,-0.7478,3.645,0.583
5.0,6.0649,3.9018,2.9187,-3.4135,-2.6446,-2.5968,-2.3116,-2.0653,-1.6398,-0.3581,-0.9771,1.855,0.022
5.0,6.2352,3.9331,2.9984,-3.4524,-2.8169,-2.7365,-2.3676,-2.0823,-1.6124,-0.7393,-1.2363,0.4,-0.548
5.0,6.3967,3.9643,3.0755,-3.4925,-2.9241,-2.8236,-2.4023,-2.0806,-1.5847,-1.1193,-1.5065,-0.485,-1.045
5.0,6.5567,3.9957,3.1505,-3.5221,-2.9922,-2.8786,-2.4227,-2.0661,-1.5543,-1.4789,-1.7772,-1.029,-1.437
5.0,6.7151,4.0272,3.2226,-3.5531,-3.0317,-2.9088,-2.4264,-2.0379,-1.5153,-1.7904,-2.0215,-1.46,-1.785
5.0,6.8702,4.0589,3.2906,-3.5726,-3.0481,-2.9173,-2.4114,-1.9942,-1.4626,-2.0485,-2.2237,-1.799,-2.06
5.0,7.0315,4.091,3.3558,-3.5797,-3.0476,-2.9089,-2.3805,-1.9374,-1.3977,-2.2644,-2.3868,-2.094,-2.293
5.0,7.199,4.1235,3.4173,-3.5848,-3.0287,-2.8821,-2.3314,-1.8649,-1.3173,-2.4407,-2.5099,-2.359,-2.492
5.0,7.375,4.1564,3.4755,-3.5849,-2.995,-2.8402,-2.2669,-1.7788,-1.2233,-2.5827,-2.5991,-2.578,-2.651
5.0,7.5626,4.1897,3.531,-3.5808,-2.9478,-2.7846,-2.1879,-1.6794,-1.1157,-2.6939,-2.6593,-2.767,-2.779
5.0,7.7644,4.2235,3.584,-3.5737,-2.8899,-2.7182,-2.0981,-1.5701,-0.998,-2.7824,-2.6998,-2.929,-2.885
5.0,7.9838,4.2577,3.6353,-3.5638,-2.826,-2.6463,-2.0034,-1.4564,-0.876,-2.8562,-2.73,-3.071,-2.972
5.0,8.2246,4.2923,3.6857,-3.5509,-2.7598,-2.5725,-1.9081,-1.3425,-0.7544,-2.9202,-2.7554,-3.205,-3.051
5.0,8.4922,4.3274,3.7355,-3.532,-2.6899,-2.4953,-1.8104,-1.2268,-0.6307,-2.971,-2.7706,-3.326,-3.117
5.0,8.7975,4.3631,3.7852,-3.4961,-2.6218,-2.4209,-1.7182,-1.1176,-0.5137,-3.0146,-2.7839,-3.44,-3.176
5.0,9.1696,4.3998,3.8352,-3.4423,-2.5461,-2.3369,-1.6113,-0.9916,-0.3775,-3.0534,-2.7878,-3.276,-2.978
5.0,9.6441,4.4377,3.8882,-3.3648,-2.4702,-2.2508,-1.4984,-0.8588,-0.2332,-3.091,-2.7861,-3.365,-3.031
