age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.0,25.3966,4.6011,4.8846,-3.4772,-4.134,-3.9016,-3.1296,-2.4504,-1.8113,-5.0189,-4.6775,-5.568,-5.092
5.0,30.1378,4.6248,5.0644,-3.5641,-4.4131,-4.1782,-3.4036,-2.7211,-2.0801,-5.3193,-4.9712,-5.808,-5.33
5.0,35.9218,4.6469,5.2396,-3.6404,-4.7,-4.4634,-3.6867,-3.0022,-2.36,-5.6206,-5.2688,-6.043,-5.556
5.0,43.5991,4.6689,5.4229,-3.7131,-5.0355,-4.7994,-4.0233,-3.3391,-2.6979,-5.9602,-5.6114,-6.304,-5.806
5.0,53.9086,4.6905,5.6121,-3.7598,-5.4044,-5.1697,-4.3951,-3.7123,-3.0731,-6.3287,-5.9855,-6.586,-6.081
5.0,71.052,4.7146,5.8412,-3.9096,-5.8515,-5.6167,-4.841,-4.1579,-3.5192,-6.7814,-6.439,-7.214,-6.877
5.0,88.623,4.7309,6.0122,-4.1122,-6.1839,-5.948,-5.1696,-4.485,-3.8455,-7.122,-6.7765,-7.569,-7.2
5.0,108.21,4.7436,6.1582,-4.1836,-6.4711,-6.234,-5.4528,-4.7668,-4.1262,-7.417,-7.0677,-7.874,-7.477
5.05,0.1088,3.5089,-0.7002,0.1623,9.3207,8.6448,6.4912,5.6775,5.4064,17.3233,12.838,33.0,22.152
5.05,0.1288,3.517,-0.5681,-0.3534,8.8749,8.1906,6.1447,5.3685,5.0714,16.9195,12.4317,33.0,21.903
5.05,0.1556,3.5267,-0.4117,-0.4286,8.371,7.6783,5.746,5.0074,4.6729,16.452,11.9741,33.0,33.0
5.05,0.1898,3.5382,-0.2632,-0.569,7.8738,7.1735,5.371,4.6743,4.2971,15.9755,11.5188,33.0,33.0
5.05,0.2242,3.5494,-0.1404,-0.6953,7.4359,6.7336,5.0588,4.4024,3.9912,15.5456,11.1014,31.191,17.697
5.05,0.2674,3.5632,-0.0067,-0.8048,6.922,6.227,4.7119,4.1062,3.6684,15.025,10.5721,30.994,17.501
