# Vega Mags
# Elliptical M49 region extracted from isophotes (28,35]
# Semi-Minor Axes (pix): (62.1, 121.0]
# Num Pixels: 25989
# Neff ~ 420^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
22.208125 2.189536
22.224912 2.186379
22.217820 2.181265
22.200637 2.185704
22.205875 2.197487
22.200317 2.181867
22.197761 2.196566
22.204839 2.146020
22.185945 2.216389
22.180666 2.191502
22.192028 2.173900
22.195570 2.187757
22.187097 2.178992
22.181227 2.188267
22.197496 2.198047
22.192907 2.174331
22.206694 2.177926
22.207381 2.200761
22.188914 2.202423
22.218361 2.161729
22.206204 2.159153
22.214378 2.151682
22.205828 2.192881
22.209140 2.178869
22.210916 2.168326
22.206146 2.174186
22.200295 2.173253
22.201721 2.168716
22.205146 2.160489
22.205982 2.169353
22.194358 2.192223
22.204432 2.179104
22.215856 2.141865
22.197582 2.173247
22.188996 2.175169
22.190976 2.183447
22.189378 2.185770
22.179880 2.194874
22.182729 2.203962
22.182302 2.184230
22.183017 2.171355
22.186514 2.183471
22.165940 2.181895
22.174452 2.181743
22.186010 2.193712
22.178410 2.201463
22.190908 2.184713
22.182122 2.192261
22.180130 2.197811
22.213521 2.155072
22.193499 2.151013
22.190721 2.152818
22.195144 2.198368
22.208834 2.179190
22.208866 2.104118
22.202718 2.184930
22.197801 2.182932
22.206215 2.181195
22.219926 2.170070
22.224221 2.173548
22.219176 2.173059
22.200682 2.183880
22.205331 2.158210
22.185057 2.202937
22.186459 2.187182
22.206526 2.164037
22.186722 2.191266
22.200782 2.182410
22.198242 2.147453
22.191344 2.166378
22.168938 2.182950
22.171180 2.197833
22.185746 2.178529
22.204057 2.144453
22.194999 2.166467
22.195023 2.143048
22.172406 2.186748
22.188256 2.178991
22.166148 2.189804
22.173608 2.190882
22.160468 2.200917
22.175282 2.193517
22.188650 2.171519
22.186724 2.187998
22.178465 2.188079
22.167421 2.204300
22.165610 2.230701
22.183648 2.184851
22.170780 2.179788
22.150157 2.195686
22.179264 2.186177
22.171788 2.155416
22.181318 2.165779
22.189902 2.160751
22.188499 2.169469
22.188866 2.169422
22.184600 2.205398
22.185568 2.190101
22.185171 2.181491
22.197234 2.185882
22.210044 2.183357
22.222872 2.154513
22.212075 2.169239
22.220774 2.178131
22.219335 2.172234
22.211318 2.180613
22.203268 2.190953
22.199678 2.190818
22.189624 2.198161
22.207430 2.191519
22.198470 2.187773
22.199529 2.175037
22.174387 2.191362
22.177368 2.198619
22.178661 2.194478
22.183853 2.187244
22.177101 2.177173
22.171473 2.168353
22.186425 2.159486
22.179266 2.170926
22.182437 2.176994
22.158743 2.198183
22.173541 2.176677
22.161921 2.218569
22.174180 2.176892
22.181127 2.154582
22.173290 2.178894
22.173341 2.161478
22.164166 2.172801
22.159345 2.192835
22.144073 2.218712
22.158053 2.198235
22.175435 2.143610
22.166511 2.181893
22.157952 2.202461
22.157662 2.191451
22.157673 2.188878
22.171694 2.180303
22.168709 2.180426
22.147882 2.173517
22.147701 2.181009
