# Vega Mags
# Elliptical M49 region extracted from isophotes (1,28]
# Semi-Minor Axes (pix): (0.0, 62.1]
# Num Pixels: 9478
# Neff ~ 414^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
21.580405 2.199393
21.588413 2.197448
21.568233 2.232568
21.564284 2.218348
21.564785 2.209712
21.551796 2.218086
21.542296 2.222773
21.542794 2.208371
21.526066 2.218737
21.520158 2.230144
21.510893 2.233128
21.506095 2.225388
21.510925 2.206520
21.507201 2.193888
21.498538 2.196762
21.500699 2.204743
21.489900 2.203714
21.482932 2.216525
21.487539 2.207663
21.490513 2.196354
21.482561 2.207749
21.475638 2.224967
21.476424 2.221868
21.486966 2.213559
21.486963 2.199698
21.483192 2.197673
21.478636 2.203836
21.469324 2.222514
21.468470 2.222920
21.466050 2.224150
21.481552 2.201697
21.470093 2.215875
21.459290 2.226074
21.466933 2.197350
21.476533 2.209471
21.466118 2.217276
21.472841 2.208113
21.484646 2.214935
21.489091 2.207488
21.492376 2.215563
21.497214 2.202769
21.503418 2.201006
21.506994 2.204420
21.497464 2.225078
21.505523 2.223606
21.520908 2.213963
21.524660 2.199362
21.533323 2.223169
21.531623 2.219649
21.539375 2.202152
21.548135 2.198804
21.552120 2.200123
21.567196 2.184277
21.566442 2.210657
21.562891 2.242322
21.578538 2.170620
21.591202 2.213544
21.605351 2.205918
21.584952 2.201687
21.574380 2.194672
21.564208 2.219366
21.559439 2.224224
21.559709 2.212591
21.542280 2.215747
21.539981 2.207805
21.539649 2.222430
21.530833 2.209630
21.522385 2.214817
21.514152 2.224441
21.509272 2.236478
21.496130 2.229689
21.492652 2.219780
21.490011 2.210207
21.492484 2.201011
21.492935 2.210018
21.485079 2.209990
21.478390 2.214582
21.474558 2.198948
21.465411 2.217961
21.469706 2.213039
21.460815 2.230401
21.465037 2.220415
21.481118 2.195366
21.477485 2.184375
21.462870 2.192785
21.461802 2.213765
21.455668 2.224844
21.453077 2.216320
21.453369 2.233089
21.455071 2.203634
21.455616 2.203931
21.458603 2.208731
21.453877 2.211102
21.440970 2.228731
21.449245 2.225787
21.465010 2.207150
21.475299 2.196702
21.469147 2.205435
21.454036 2.235887
21.477786 2.201341
21.490990 2.209102
21.484393 2.226450
21.486961 2.238953
21.507083 2.219502
21.509616 2.209479
21.504467 2.215222
21.515074 2.226493
21.517408 2.214200
21.525988 2.221210
21.530533 2.200101
21.536574 2.218610
21.544657 2.215991
21.547716 2.211802
21.553969 2.221794
21.568814 2.210340
21.578968 2.203044
21.593596 2.198887
21.592418 2.193831
21.590299 2.206060
21.559377 2.231383
21.554952 2.231104
21.556145 2.219988
21.537031 2.224637
21.540013 2.201800
21.528872 2.218233
21.520502 2.221220
21.522053 2.216097
21.523011 2.204297
21.517216 2.209171
21.503179 2.215424
21.506761 2.256282
21.496537 2.228287
21.488896 2.226079
21.470846 2.218096
21.482012 2.218087
21.471587 2.227912
21.464233 2.216518
21.467414 2.206108
21.468078 2.205991
21.454587 2.216122
21.456372 2.216103
21.454469 2.225006
21.462858 2.204044
21.457678 2.228679
21.445848 2.204003
21.444463 2.188528
21.449161 2.199994
21.442415 2.211369
21.449623 2.192041
21.456449 2.188596
21.447839 2.200722
21.451614 2.210321
21.447683 2.212216
21.446299 2.201380
21.442912 2.230996
21.438891 2.229910
21.435297 2.223794
21.444609 2.217638
21.455597 2.206135
21.457168 2.210092
21.465655 2.209864
21.468677 2.223444
21.476971 2.227940
21.472766 2.240548
21.491353 2.239213
21.494658 2.222829
21.485474 2.215922
21.496746 2.224483
21.510027 2.211411
21.516918 2.220430
21.514540 2.226356
21.516073 2.233322
21.526078 2.227946
21.532867 2.223946
21.548859 2.229518
21.566059 2.206074
21.570535 2.188115
21.573577 2.214302
21.581551 2.202388
21.608738 2.197353
21.597481 2.180968
21.594022 2.182790
21.574406 2.196747
21.550827 2.229274
21.536835 2.242645
21.537419 2.231572
21.513848 2.242838
21.521955 2.204968
21.521773 2.218423
21.512936 2.225165
21.504037 2.219734
21.500366 2.231117
21.498954 2.214051
21.497601 2.197023
21.494605 2.217303
21.483771 2.228821
21.479450 2.212898
21.474238 2.216281
21.474441 2.217521
21.467672 2.197190
21.467350 2.201957
21.449737 2.210229
21.451934 2.234364
21.449576 2.239135
21.443876 2.233100
21.449425 2.219220
21.455310 2.208614
21.444175 2.207030
21.425472 2.211122
21.432009 2.211435
21.437738 2.210349
21.425422 2.215424
21.435603 2.201684
21.447268 2.198916
21.440296 2.204998
21.444147 2.199497
21.439770 2.218012
21.439335 2.211447
21.430154 2.212088
21.436024 2.232853
21.446577 2.213486
21.446506 2.232895
21.448479 2.235378
21.448886 2.210980
21.444004 2.200445
21.452773 2.220778
21.460537 2.217744
21.467532 2.225788
21.470762 2.226172
