# Imag Gmag-Imag
# F814W F475W-F814W
# Vega apparent mags
# Bulge region extracted by Charlie
25.26638 1.68041
25.20344 1.69957
25.06917 1.78665
25.05130 1.86669
24.59912 2.16306
24.53457 2.10817
24.80712 1.85680
24.59395 1.83969
24.53561 1.75168
24.77563 1.74903
24.80405 1.91008
25.11417 1.89105
25.46568 1.68403
25.49199 1.64482
25.48534 1.65713
25.35999 1.62287
25.19902 1.52587
25.13314 1.53025
25.21424 1.69768
25.03072 1.93052
24.66878 2.12826
24.55978 2.23498
24.96923 1.99177
25.02384 1.82401
24.83346 1.73014
24.65936 1.76878
24.66349 1.75887
24.79202 1.78827
24.85138 1.89797
24.84101 1.88023
25.05102 1.70472
24.99071 1.71938
25.08594 1.64960
25.16279 1.70325
25.25512 1.72149
25.27383 1.76156
25.01328 1.77221
25.02920 1.77598
24.98660 1.79676
24.97629 1.84510
24.75389 1.96075
24.51464 2.14111
24.71810 2.11108
25.07874 1.85061
25.14413 1.75699
25.10815 1.73688
25.08978 1.66936
24.81347 1.77772
24.85015 1.75279
25.16450 1.79563
25.04533 1.85344
24.79663 1.83914
24.64239 1.84015
24.81272 1.71924
24.96239 1.77134
25.01485 1.84861
24.92311 1.86531
24.94423 1.80255
25.05371 1.64221
25.21121 1.61803
25.20947 1.72995
24.94641 1.85659
24.76591 1.92507
24.91659 1.88610
24.98244 1.91171
25.11794 1.88180
25.24169 1.82767
25.27748 1.78360
25.11310 1.81903
24.92430 1.84105
24.82189 1.95689
25.01998 1.84248
25.19997 1.75738
25.11080 1.80938
25.25175 1.72202
25.20088 1.72920
24.96399 1.82658
24.69338 1.96275
24.68912 1.92089
24.83517 1.76657
25.07192 1.64347
25.24827 1.70051
25.32537 1.70476
25.13491 1.74663
24.97249 1.77284
25.20532 1.71407
25.42699 1.66132
25.37115 1.67655
25.25921 1.74749
25.30396 1.72724
25.38706 1.71321
25.35092 1.67811
25.40595 1.67425
25.45141 1.68671
25.33004 1.75403
25.14981 1.83870
25.01823 1.85676
24.88934 1.93519
24.81451 1.97925
25.14874 1.77669
25.33911 1.63963
25.38282 1.61170
25.26893 1.62810
25.20968 1.67272
25.19160 1.69417
24.98491 1.74193
24.66591 1.75590
24.75908 1.64766
25.04594 1.51510
25.38296 1.45302
25.47765 1.63262
25.35093 1.80216
25.22477 1.87111
25.13527 1.79649
25.15801 1.72453
25.27530 1.63874
25.19876 1.75759
25.00016 1.85361
24.95268 1.79909
24.60825 1.93637
24.51555 1.99931
24.74536 1.85469
24.58494 1.95984
24.42986 1.91058
24.67232 1.75284
24.80343 1.83532
25.14022 1.78690
25.29212 1.65733
25.28875 1.65219
25.29712 1.65092
25.14457 1.65753
24.99649 1.57939
24.91768 1.66502
25.15989 1.64261
25.16310 1.82767
25.06585 1.94803
25.00397 2.01071
25.06154 1.90511
24.83607 1.79434
24.33696 1.83916
24.38337 1.74553
24.53927 1.75387
24.71850 1.75797
24.86007 1.86008
24.81044 2.00228
25.06136 1.80689
24.97908 1.79615
24.92913 1.75311
24.87254 1.75882
25.08582 1.69694
25.14566 1.74818
25.19646 1.62939
25.20941 1.57828
25.01419 1.72753
24.99997 1.77357
24.82361 1.86831
24.69526 1.98459
24.72008 2.04373
24.98718 1.87504
24.97476 1.80103
24.84673 1.74463
24.82351 1.69114
24.87470 1.79463
25.03215 1.93678
25.14552 2.00829
25.00029 2.07067
24.72257 2.09689
24.65676 1.93125
24.70543 1.79683
24.96668 1.69384
25.16689 1.77602
25.12003 1.82067
25.11332 1.75625
24.99568 1.69795
25.11831 1.60491
25.30518 1.72305
25.09047 2.01338
24.96202 2.02648
25.08515 1.91381
25.14833 1.93363
25.23867 1.78237
25.24817 1.68481
25.22713 1.70758
25.02498 1.85928
24.94411 1.75443
24.96079 1.66035
24.99503 1.61173
25.13702 1.67975
25.17708 1.74977
25.23876 1.70246
25.18870 1.71136
25.08212 1.84939
25.01260 1.90041
25.02654 1.88556
24.96781 1.85039
25.02613 1.71703
25.22384 1.68855
25.31826 1.72865
25.16707 1.81940
25.00920 1.85051
25.09498 1.73260
25.21038 1.65355
25.26177 1.67677
25.31973 1.69758
25.37026 1.68780
25.37606 1.68051
25.27113 1.63106
25.34947 1.61619
25.41534 1.68804
25.36268 1.72607
25.26937 1.75850
25.16684 1.75258
25.08028 1.81146
25.07195 1.91172
25.24470 1.70501
25.26272 1.60486
25.33454 1.62577
25.31113 1.73126
25.24608 1.80442
25.15773 1.78737
24.86543 1.84544
24.37483 1.99696
24.56173 1.83504
25.07307 1.64945
25.37825 1.59341
25.38377 1.75408
25.26714 1.90055
24.96674 1.98265
24.68737 1.94664
24.89011 1.75398
25.17052 1.65315
25.20650 1.74151
25.06612 1.85448
