age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.0,45.8417,4.7311,5.4716,-3.7342,-4.7971,-4.5599,-3.7791,-3.093,-2.4522,-5.7414,-5.3916,-6.134,-5.635
5.0,56.1668,4.751,5.6476,-3.8405,-5.1308,-4.8922,-4.1082,-3.4204,-2.7783,-6.0851,-5.7313,-6.425,-5.916
5.0,70.2161,4.7705,5.8317,-3.9404,-5.4748,-5.2344,-4.4462,-3.7561,-3.1124,-6.4401,-6.0807,-6.714,-6.194
5.0,88.7833,4.7882,6.0139,-4.0875,-5.8171,-5.575,-4.783,-4.0909,-3.4457,-6.7925,-6.4279,-7.063,-6.528
5.0,109.7373,4.8018,6.1693,-4.1549,-6.1142,-5.8707,-5.076,-4.3823,-3.7361,-7.097,-6.7288,-7.407,-6.86
5.05,0.104,3.5805,-0.5679,0.1139,7.8916,7.2512,5.9989,5.5357,5.2613,14.21,11.0167,27.149,13.935
5.05,0.1213,3.5882,-0.4617,-0.3663,7.5389,6.9229,5.7289,5.2836,5.0061,13.6577,10.5746,26.961,13.746
5.05,0.1432,3.5974,-0.3343,-0.4459,7.1102,6.5269,5.4054,4.982,4.7067,12.9165,10.0076,26.734,13.52
5.05,0.1691,3.6076,-0.2098,-0.5311,6.6754,6.1276,5.0867,4.6891,4.4217,12.1359,9.4133,25.54,13.009
5.05,0.2016,3.6195,-0.086,-0.6009,6.2295,5.7184,4.7663,4.4001,4.1479,11.3369,8.7902,24.34,12.301
5.05,0.2448,3.6338,0.0525,-0.6491,5.733,5.2614,4.4054,4.0798,3.8553,10.4341,8.0841,23.125,11.551
5.05,0.3105,3.6526,0.2284,-0.8765,5.1214,4.6983,3.9492,3.6794,3.5033,9.2928,7.2052,21.886,10.675
5.05,0.3464,3.6617,0.3061,-1.0024,4.8558,4.4539,3.75,3.5066,3.3549,8.792,6.8192,20.976,10.134
5.05,0.4219,3.6793,0.4542,-1.0425,4.3636,4.0027,3.3795,3.1846,3.0769,7.8795,6.1097,19.689,9.286
5.05,0.497,3.6942,0.5759,-1.0768,3.9698,3.6445,3.086,2.928,2.8524,7.1532,5.5462,18.446,8.495
5.05,0.643,3.7084,0.7834,-1.0367,3.3759,3.0846,2.5857,2.4604,2.4119,6.2676,4.8087,16.966,7.561
5.05,0.9637,3.7244,1.114,-1.2437,2.4752,2.2201,1.7857,1.6951,1.6755,5.0918,3.7853,15.195,6.372
5.05,1.2874,3.7348,1.2604,-1.3177,2.0658,1.8317,1.438,1.3699,1.3711,4.5318,3.3183,14.139,5.751
5.05,2.3994,3.7518,1.6271,-1.5876,1.0839,0.8808,0.5521,0.5205,0.5582,3.3615,2.2831,11.885,4.451
